word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
a,66,,1.435e-02,42,1780,1.494e-02,1.515e-02,0.947
abandon,2,,1.610e-05,42,1780,1.873e-05,1.365e-05,1.180
abandoned,2,,2.613e-05,42,1780,3.196e-05,3.115e-05,0.839
able,1,,1.729e-04,42,1780,1.631e-04,1.469e-04,1.177
about,2,,6.197e-04,42,1780,6.736e-04,8.158e-04,0.760
above,4,,3.212e-04,42,1780,3.343e-04,3.528e-04,0.910
absent,1,,2.842e-05,42,1780,2.536e-05,3.051e-05,0.931
absolute,3,,4.177e-05,42,1780,4.592e-05,5.089e-05,0.821
absorb,1,,2.340e-06,38,1783,3.425e-06,4.659e-06,0.502
absorbed,1,,8.375e-06,42,1780,1.085e-05,1.503e-05,0.557
accident,5,,2.925e-05,42,1780,2.656e-05,3.185e-05,0.918
accomplish,2,,1.570e-05,42,1780,2.305e-05,2.065e-05,0.760
accomplished,3,,2.777e-05,42,1780,4.292e-05,4.384e-05,0.634
accomplishment,3,,1.078e-05,42,1780,1.375e-05,7.728e-06,1.395
according,1,,2.918e-04,42,1780,2.598e-04,1.952e-04,1.495
account,2,,3.669e-04,42,1780,3.018e-04,2.475e-04,1.482
accumulated,1,,7.484e-06,42,1780,9.868e-06,1.023e-05,0.732
acknowledge,1,,3.992e-05,42,1780,3.374e-05,2.017e-05,1.979
acquired,1,,5.387e-05,42,1780,5.243e-05,4.413e-05,1.221
actually,1,,5.731e-05,42,1780,6.309e-05,5.627e-05,1.018
add,1,,8.559e-05,42,1780,7.827e-05,6.901e-05,1.240
addressed,1,,3.769e-05,42,1780,5.594e-05,4.343e-05,0.868
admonition,1,,5.488e-06,42,1780,5.490e-06,2.544e-06,2.158
advantage,1,,1.128e-04,42,1780,9.437e-05,7.283e-05,1.549
adventure,1,,9.441e-06,42,1780,9.990e-06,8.507e-06,1.110
advice,4,,6.153e-05,42,1780,4.452e-05,3.573e-05,1.722
affair,4,,3.243e-05,42,1780,2.695e-05,2.056e-05,1.578
affairs,2,,1.427e-04,42,1780,9.762e-05,9.233e-05,1.545
affection,1,,5.625e-05,42,1780,6.322e-05,3.736e-05,1.506
affluence,1,,3.403e-06,40,1780,2.634e-06,1.105e-06,3.079
afford,1,,5.886e-05,42,1780,5.669e-05,3.918e-05,1.502
afforded,2,,3.186e-05,42,1780,3.841e-05,2.341e-05,1.361
affording,1,,9.523e-06,42,1780,1.273e-05,8.571e-06,1.111
after,7,,9.501e-04,42,1780,9.360e-04,9.191e-04,1.034
afterwards,1,,1.622e-04,42,1780,1.432e-04,9.313e-05,1.741
again,3,,2.795e-04,42,1780,3.366e-04,3.287e-04,0.850
age,1,,1.958e-04,42,1780,2.072e-04,1.909e-04,1.025
agent,1,,5.283e-05,42,1780,7.998e-05,1.020e-04,0.518
ago,1,,5.291e-05,42,1780,6.192e-05,1.050e-04,0.504
all,22,,2.820e-03,42,1780,3.021e-03,2.738e-03,1.030
alluded,2,,1.521e-05,42,1780,2.808e-05,1.657e-05,0.918
allusion,1,,8.761e-06,42,1780,1.268e-05,9.891e-06,0.886
almost,2,,1.826e-04,42,1780,2.396e-04,2.373e-04,0.769
alone,4,,1.380e-04,42,1780,1.705e-04,1.527e-04,0.904
alphabet,1,,3.619e-06,40,1780,5.082e-06,4.994e-06,0.725
already,2,,1.771e-04,42,1780,2.043e-04,1.916e-04,0.924
also,1,,6.678e-04,42,1780,6.941e-04,7.343e-04,0.909
always,2,,2.769e-04,42,1780,2.771e-04,2.739e-04,1.011
am,1,,4.508e-04,42,1780,3.551e-04,3.522e-04,1.280
amongst,1,,5.055e-05,42,1780,4.622e-05,2.581e-05,1.959
amount,1,,1.400e-04,42,1780,2.273e-04,3.412e-04,0.410
amounting,1,,1.559e-05,42,1780,1.768e-05,1.755e-05,0.888
an,14,,2.969e-03,42,1780,2.959e-03,2.855e-03,1.040
and,141,,2.816e-02,42,1780,2.824e-02,2.700e-02,1.043
anew,1,,7.820e-06,42,1780,8.330e-06,7.971e-06,0.981
animals,1,,5.729e-05,42,1780,6.171e-05,7.345e-05,0.780
another,2,,4.298e-04,42,1780,4.525e-04,4.078e-04,1.054
answer,1,,1.781e-04,42,1780,1.843e-04,1.943e-04,0.916
answers,1,,2.041e-05,42,1780,2.332e-05,2.242e-05,0.910
anticipate,1,,5.893e-06,42,1780,9.565e-06,6.239e-06,0.945
anticipation,1,,3.869e-06,42,1780,7.086e-06,5.615e-06,0.689
anxiety,1,,2.085e-05,42,1780,2.749e-05,1.953e-05,1.068
anxious,1,,3.067e-05,42,1780,4.349e-05,3.335e-05,0.920
any,4,,2.178e-03,42,1780,1.839e-03,1.658e-03,1.314
apparent,1,,3.589e-05,42,1780,4.488e-05,4.594e-05,0.781
appeal,1,,5.604e-05,42,1780,6.473e-05,9.396e-05,0.596
appear,1,,2.376e-04,42,1780,1.891e-04,1.379e-04,1.723
appreciated,1,,2.484e-06,39,1782,8.017e-06,1.130e-05,0.220
apprehended,1,,2.077e-05,42,1780,1.518e-05,7.290e-06,2.850
appropriate,1,,2.222e-05,42,1780,3.531e-05,3.439e-05,0.646
approval,1,,8.952e-06,41,1780,7.528e-06,2.366e-05,0.378
are,10,,3.634e-03,42,1780,3.712e-03,3.504e-03,1.037
arlington,1,proper,1.361e-06,36,1780,1.292e-06,2.156e-06,0.631
arranged,3,,1.688e-05,42,1780,2.741e-05,6.027e-05,0.280
arrangement,1,,3.659e-05,42,1780,4.439e-05,5.601e-05,0.653
as,49,,6.231e-03,42,1780,6.448e-03,6.478e-03,0.962
ascertained,1,,3.253e-05,42,1780,4.052e-05,3.051e-05,1.066
assailed,1,,3.946e-06,40,1781,8.703e-06,6.191e-06,0.637
assemblages,1,,4.353e-07,28,1786,8.559e-07,7.912e-07,0.550
assembled,1,,7.497e-05,42,1780,4.825e-05,2.926e-05,2.562
assistance,1,,8.259e-05,42,1780,5.556e-05,3.798e-05,2.175
associated,1,,1.764e-05,42,1780,1.999e-05,2.647e-05,0.666
associates,1,,1.242e-05,42,1780,1.484e-05,1.308e-05,0.949
assumed,1,,2.786e-05,42,1780,4.155e-05,4.283e-05,0.651
assuming,1,,7.444e-06,42,1780,1.243e-05,1.522e-05,0.489
assuring,1,,5.653e-06,42,1780,4.637e-06,3.170e-06,1.783
at,21,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
attach,1,,7.755e-06,42,1780,1.059e-05,9.703e-06,0.799
attended,2,,1.065e-04,42,1780,8.429e-05,5.318e-05,2.002
attention,4,,1.778e-04,42,1780,1.800e-04,1.641e-04,1.083
authenticate,1,,4.882e-07,34,1782,5.166e-07,3.970e-07,1.230
avoid,2,,4.909e-05,42,1780,4.752e-05,3.909e-05,1.256
await,2,,4.034e-06,41,1780,6.208e-06,7.210e-06,0.559
