phrase,pre1822_mean,pre1822_nonzero_years,first_nonzero_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
stampede,1.955e-08,10,1800,3.336e-08,5.013e-07,0.039
stampeding,7.823e-10,2,1806,1.685e-09,4.563e-08,0.017
stampeded,5.932e-09,6,1789,3.861e-09,1.428e-07,0.042
improvised,1.311e-07,19,1784,7.601e-08,9.178e-07,0.143
improvise,7.695e-09,10,1800,3.795e-08,1.933e-07,0.040
grizzlies,1.616e-09,3,1800,2.346e-09,6.187e-08,0.026
grizzly bears,2.367e-08,11,1789,2.590e-08,7.909e-08,0.299
grizzly bear,4.386e-08,15,1789,1.755e-07,3.000e-07,0.146
the game is worth,5.779e-10,1,1800,9.106e-10,7.634e-09,0.076
worth the candle,1.722e-08,9,1795,2.691e-08,6.541e-08,0.263
ho for the,7.257e-09,8,1798,6.890e-09,1.116e-08,0.650
punctilio,4.215e-07,35,1781,3.146e-07,1.796e-07,2.347
punctillio,2.918e-09,3,1803,3.104e-09,1.485e-09,1.964
personating,2.903e-07,32,1780,3.104e-07,2.359e-07,1.231
buffalo,3.872e-06,39,1781,1.337e-05,2.519e-05,0.154
buffaloes,8.238e-07,30,1790,1.067e-06,1.176e-06,0.700
outfits,2.598e-07,30,1790,6.696e-07,9.329e-07,0.278
outfit,1.008e-06,34,1782,2.189e-06,3.935e-06,0.256
objective point,1.222e-08,9,1800,7.859e-09,4.268e-07,0.029
well nigh,1.060e-06,36,1781,2.295e-06,1.354e-06,0.783
well-nigh,not in corpus,,,,,
in the meantime,3.938e-06,42,1780,5.822e-06,7.742e-06,0.509
in the mean time,2.825e-05,42,1780,1.945e-05,9.218e-06,3.065
encounter the expense,9.964e-09,11,1800,2.782e-08,5.895e-09,1.690
exhilarating,4.384e-07,31,1787,1.005e-06,9.973e-07,0.440
exhilerating,6.211e-08,25,1796,4.267e-08,2.507e-08,2.478
Santa Fe,7.133e-07,27,1789,1.690e-06,2.700e-06,0.264
Santa Fé,1.255e-07,21,1798,7.520e-07,1.229e-06,0.102
every one,4.492e-05,42,1780,4.996e-05,3.663e-05,1.226
everyone,1.241e-06,37,1783,5.329e-07,2.348e-06,0.529
some one,8.546e-06,42,1780,1.494e-05,2.150e-05,0.397
someone,2.538e-07,31,1784,3.692e-07,8.197e-07,0.310
any one,5.401e-05,42,1780,6.716e-05,6.658e-05,0.811
anyone,1.427e-06,38,1780,1.181e-06,4.231e-06,0.337
such an one,2.857e-06,42,1780,2.543e-06,1.337e-06,2.137
&c.,not in corpus,,,,,
etc.,7.730e-05,42,1780,2.300e-05,1.705e-04,0.453
reliable,1.184e-06,32,1783,1.026e-06,1.565e-05,0.076
appliances,6.333e-07,29,1785,1.245e-06,8.886e-06,0.071
locality,2.274e-06,37,1782,7.241e-06,2.395e-05,0.095
pretense,2.646e-07,27,1780,2.986e-07,3.226e-06,0.082
pretence,2.489e-05,42,1780,1.589e-05,6.814e-06,3.652
favorably,1.784e-06,40,1781,5.181e-06,1.206e-05,0.148
favourably,3.697e-06,40,1780,3.415e-06,1.023e-06,3.615
laborers,3.113e-06,38,1780,1.086e-05,1.891e-05,0.165
labourers,7.841e-06,42,1780,6.955e-06,1.873e-06,4.187
honor,9.031e-05,42,1780,9.281e-05,1.061e-04,0.851
honour,1.341e-04,42,1780,8.173e-05,2.001e-05,6.702
endorsed,4.388e-06,42,1780,7.265e-06,5.353e-06,0.820
enquiring,2.874e-06,42,1780,9.316e-07,3.450e-07,8.330
inquiring,4.713e-06,42,1780,8.599e-06,5.638e-06,0.836
tethered,5.210e-08,24,1785,1.218e-07,2.630e-07,0.198
systematize,9.814e-08,25,1787,1.518e-07,3.054e-07,0.321
excitement,5.878e-06,40,1780,2.785e-05,2.702e-05,0.218
shipment,1.742e-06,38,1782,2.547e-06,7.062e-06,0.247
location,6.742e-06,41,1780,1.487e-05,3.064e-05,0.220
residences,6.317e-07,33,1780,2.116e-06,4.750e-06,0.133
imperative,1.736e-06,33,1780,5.332e-06,7.188e-06,0.241
excavation,1.501e-06,30,1780,4.854e-06,6.393e-06,0.235
ravine,1.027e-06,33,1781,3.585e-06,5.019e-06,0.205
bracing,3.639e-07,32,1781,8.593e-07,1.969e-06,0.185
everything,1.226e-05,42,1780,2.324e-05,6.288e-05,0.195
every thing,7.809e-05,42,1780,6.985e-05,2.079e-05,3.757
vigilance,1.041e-05,42,1780,8.715e-06,6.045e-06,1.722
catastrophe,4.525e-06,41,1780,6.219e-06,4.266e-06,1.061
irreparable,2.183e-06,40,1780,2.365e-06,2.297e-06,0.950
cupidity,1.127e-06,34,1781,2.708e-06,1.526e-06,0.738
depository,2.013e-06,38,1780,3.566e-06,1.987e-06,1.013
tidings,7.483e-06,42,1780,1.050e-05,7.178e-06,1.042
forthwith,1.461e-05,42,1780,1.291e-05,1.046e-05,1.397
the States,8.392e-05,42,1780,7.347e-05,4.908e-05,1.710
winter quarters,4.988e-06,39,1780,1.096e-06,1.255e-06,3.973
joint partners,5.698e-08,20,1790,2.748e-08,1.567e-08,3.638
entertainment,1.690e-05,42,1780,1.107e-05,8.529e-06,1.982
tavern,1.074e-05,42,1780,8.612e-06,6.507e-06,1.651
