,jefferson_1,jefferson_2,jefferson_3,jefferson_4,randolph_1,randolph_2,randolph_3,randolph_4,jackson_1,jackson_2,jackson_3,jackson_4,jqadams_1,jqadams_2,jqadams_3,jqadams_4,ejames_1,ejames_2,ejames_3,ejames_4,flint_1,flint_2,flint_3,flint_4,hall_1,hall_2,hall_3,hall_4,paulding_1,paulding_2,paulding_3,paulding_4,pike_1,pike_2,pike_3,pike_4,biddle_1,biddle_2,biddle_3,biddle_4,gregg_1,gregg_2,gregg_3,gregg_4,pattie_1,pattie_2,pattie_3,pattie_4,tjames_1,tjames_2,tjames_3,tjames_4,irving_1,irving_2,irving_3,irving_4,bagby_1,bagby_2,bagby_3,bagby_4,cooke_1,cooke_2,cooke_3,cooke_4,cooke_lee_1,cooke_lee_2,cooke_lee_3,cooke_lee_4,davis_1,davis_2,davis_3,davis_4,page_1,page_2,page_3,page_4,cable_1,cable_2,cable_3,cable_4,eggleston_1,eggleston_2,eggleston_3,eggleston_4,twain_1,twain_2,twain_3,twain_4,twain_letters_1,twain_letters_2,twain_letters_3,twain_letters_4,lee_1,lee_2,lee_3,lee_4,cabell_1,cabell_2,cabell_3,cabell_4,christian_1,christian_2,christian_3,christian_4,pollock_1,pollock_2,pollock_3,pollock_4,shsp_1,shsp_2,shsp_3,shsp_4,poe_goldbug_1,poe_goldbug_2,poe_letters_1,beale_letters,beale_letter1,beale_b2,narrative,morriss,narrative_A,narrative_B,beale_letters_2000,narrative_2000
jefferson_1,0.0000,0.7126,0.8856,1.0093,0.9470,0.9109,0.9719,0.8576,0.9387,1.0712,0.8230,0.7962,0.7784,0.9214,0.9195,0.8819,1.0312,0.9076,1.0879,1.1623,0.7550,0.8855,0.9038,0.8993,0.8324,0.8465,0.8301,0.9376,0.8546,0.8535,0.8067,0.7295,0.9996,0.8784,0.9540,0.8947,1.0880,0.9978,0.9753,0.9432,0.7846,0.8629,0.9132,1.0035,0.8424,1.1900,0.9259,0.8660,0.8312,0.9020,0.8802,0.9154,0.8138,0.9713,0.9087,0.9530,0.7333,1.0415,0.7955,1.0310,0.7548,0.7367,0.9396,1.1670,0.7177,0.8634,0.8908,0.8440,0.7516,0.8191,0.8475,0.7841,1.0657,1.0828,1.0798,1.0708,0.8503,1.0493,1.0298,1.0387,0.8860,0.9320,0.9311,0.8830,0.9042,0.9823,0.8452,0.8933,0.9432,0.8735,1.0435,0.9407,1.0448,0.8023,0.8933,0.8858,0.7520,0.9163,0.8570,0.7976,0.8418,0.9116,0.9510,0.9572,0.8159,0.8601,0.7112,1.0357,0.8600,0.8466,0.8601,0.8437,1.1041,0.7771,0.9682,0.9233,0.9532,1.3368,0.7480,1.0237,0.8481,0.8572,0.9894,0.8483
jefferson_2,0.7126,0.0000,0.8256,1.0149,0.9637,1.0596,1.0699,0.9110,0.8989,1.0292,0.8122,0.9222,0.9012,0.9224,0.9089,0.9767,1.0346,0.8877,1.1695,1.2728,0.8350,0.9515,0.9769,0.9388,0.8417,0.8253,0.8094,1.0586,0.8479,0.8389,0.9196,0.8928,0.9736,0.8801,0.8992,0.9378,1.1077,1.1296,1.0012,0.9988,0.8733,0.8161,0.9006,1.0332,0.8561,1.1840,0.9644,0.9328,0.9295,0.9703,0.9614,0.9761,0.8788,0.9520,0.8459,0.8947,0.8985,1.1870,0.8325,1.0742,0.9113,0.7235,0.9925,1.2213,0.7775,0.9381,0.9606,0.9341,0.9077,0.9158,0.9082,0.7520,1.1253,1.0516,1.1587,1.1712,0.9675,1.0777,1.1167,1.1214,0.9897,0.9902,1.0859,0.8516,0.9316,1.0415,0.8694,0.9295,1.0066,0.9230,1.1067,1.0178,0.9308,0.7262,0.8891,0.9695,0.8867,1.0096,0.9832,0.8581,0.9109,0.9688,1.0095,1.0186,0.7846,0.8966,0.7914,1.1031,0.9476,0.9954,0.9141,0.8485,1.1289,0.8701,1.0522,0.8120,0.8332,1.3582,0.7577,1.1195,0.8212,0.8741,0.8418,0.8166
jefferson_3,0.8856,0.8256,0.0000,1.0934,1.1333,1.2367,1.1563,1.1080,0.9928,1.2293,1.0250,1.0297,1.0546,0.9732,0.9766,1.1643,1.0063,0.9450,1.2378,1.2331,0.9235,0.9455,1.0573,1.0850,0.8533,0.9370,0.8977,1.1217,1.1479,1.0533,1.1456,1.0029,1.0320,0.8796,0.9698,0.9510,1.0960,1.0582,0.9764,1.0420,1.1087,0.8349,0.9224,1.0552,0.9377,1.1090,1.0295,1.0734,0.9711,0.9034,0.9050,1.1839,0.9524,0.9997,0.9821,0.9656,1.1074,1.2273,1.0336,1.1979,1.0128,0.9052,1.0809,1.3021,0.9363,1.1026,0.9739,1.0562,0.8690,0.9561,0.9821,0.7781,1.1363,1.2387,1.2671,1.1955,1.1285,1.2997,1.2373,1.3001,1.1571,0.9956,1.3106,1.0576,1.1412,1.3429,1.1232,0.9978,1.0881,1.1355,1.3802,1.1775,1.1933,0.9092,1.0264,1.0756,1.0762,1.1554,1.0806,1.0427,1.0599,1.1027,1.0838,1.1573,0.9732,1.0186,0.9629,1.1664,0.9797,1.0245,1.0649,0.8832,1.3314,1.0584,1.1835,0.9488,0.9710,1.4157,1.0150,1.1994,1.1714,1.0768,0.9914,1.1746
jefferson_4,1.0093,1.0149,1.0934,0.0000,1.1898,1.2961,1.3670,1.1291,1.1444,1.3065,1.2444,1.2762,1.1228,1.1690,1.1818,1.2282,1.2400,1.2840,1.2782,1.4855,1.1946,1.3029,1.1304,1.2715,1.0758,1.1735,1.2130,0.9142,0.9889,0.9668,1.1684,0.9959,1.3530,1.1495,1.1849,1.1244,1.3640,1.4222,1.1970,1.2361,1.0021,1.1438,0.9916,1.1258,1.1881,1.4662,1.3051,1.2568,1.2629,1.2800,1.2969,1.3877,1.2407,1.3978,1.2531,1.3041,1.0166,1.4164,1.1834,1.3164,1.1822,1.0994,1.3261,1.4452,1.1453,1.2479,1.2623,1.4171,0.9281,1.1781,1.1436,1.0547,1.3505,1.3433,1.4016,1.3849,1.1626,1.4268,1.3162,1.3547,1.0571,1.2110,1.4116,1.1963,1.2079,1.2497,1.0950,0.9648,1.1984,1.2657,1.4201,1.2187,1.3800,1.2353,1.1507,1.3752,1.3156,1.4085,1.2980,1.2712,1.1201,1.2737,1.2941,1.2705,1.0283,1.1644,1.0846,1.2357,1.2513,1.2933,1.2195,1.2141,1.4137,1.0770,1.3409,1.0597,1.0905,1.6280,1.0854,1.4659,1.2075,1.0954,1.1358,1.2044
randolph_1,0.9470,0.9637,1.1333,1.1898,0.0000,0.7584,0.8862,0.8884,0.9443,0.8536,0.8665,1.1080,1.0381,1.0790,1.1689,1.1118,1.1998,1.2688,1.3763,1.4464,1.1320,1.2410,1.1540,1.2054,1.1332,1.0928,1.1656,1.0932,1.0922,1.0259,1.0731,1.0439,1.2204,1.0604,1.0126,1.1256,1.4153,1.2789,1.1266,1.2616,1.0152,1.1471,1.0773,1.1476,1.1709,1.5353,1.3261,1.1172,1.2130,1.2957,1.1993,1.1249,1.1973,1.2818,1.2308,1.2837,1.0731,1.3383,1.1127,1.1275,1.1486,1.0830,1.3254,1.5244,1.0073,1.2023,1.2479,1.1595,1.1297,1.1696,1.2785,1.0200,1.4814,1.3736,1.3647,1.5146,1.1828,1.1416,1.2370,1.1149,1.1779,1.3058,1.3013,1.1837,1.2440,1.2315,1.1385,1.0869,0.9817,1.0591,1.2626,0.9355,0.9476,0.9762,0.7483,1.3014,1.1633,1.2949,1.2373,1.2762,1.2054,1.2623,1.2646,1.2640,1.0517,1.0760,1.0924,1.3203,1.2261,1.2204,1.1108,0.9975,1.0997,1.1024,0.9925,1.0369,1.0995,1.6118,0.9408,1.2608,1.0771,0.9753,1.1623,1.0814
randolph_2,0.9109,1.0596,1.2367,1.2961,0.7584,0.0000,0.7136,0.8953,0.8317,0.8655,0.8577,1.0078,1.0764,1.1172,1.1472,0.9709,1.1494,1.2749,1.2518,1.3391,1.0651,1.1919,1.1812,1.1051,1.1466,1.0640,1.2411,1.0363,1.0665,1.1059,1.0082,0.9671,1.2262,1.0025,1.0317,1.0592,1.3731,1.2757,1.1523,1.2090,0.9822,1.2317,1.1202,1.1328,1.1791,1.4164,1.2607,0.9933,1.1624,1.2169,1.1362,1.0439,1.1465,1.2395,1.2204,1.2162,0.9927,1.1674,1.0973,1.1217,1.1607,1.0358,1.2337,1.4062,0.8942,1.1898,1.1813,1.1264,1.0825,1.0863,1.2475,0.9665,1.4332,1.3922,1.2885,1.3345,1.0705,1.0944,1.1247,1.0782,1.1904,1.3123,1.1638,1.1829,1.1644,1.2416,1.0810,1.1101,0.9360,1.0408,1.2146,0.9941,0.8837,1.0039,0.7814,1.2175,1.1330,1.3225,1.2224,1.2052,1.1953,1.1477,1.2212,1.2058,0.9438,1.0737,1.0186,1.2021,1.1876,1.1296,1.0493,1.0129,1.0027,1.0649,0.9793,1.1455,1.2271,1.5226,0.9919,1.2910,1.0962,1.0534,1.2796,1.0979
randolph_3,0.9719,1.0699,1.1563,1.3670,0.8862,0.7136,0.0000,0.8177,0.8977,0.9433,0.8194,1.0385,1.1729,1.1980,1.2181,1.0935,1.1465,1.1593,1.3337,1.3312,1.1574,1.0211,1.2473,1.0066,1.0766,1.0052,1.2719,1.1729,1.1017,1.1193,1.0002,0.9966,1.1405,1.0559,1.1502,1.1048,1.3079,1.2335,1.0855,1.2118,1.0848,1.2002,1.1576,1.1704,1.1443,1.3626,1.3456,1.0677,1.0947,1.0888,1.1435,1.0405,1.2026,1.1454,1.1050,1.1372,1.0517,1.1798,1.0300,1.1696,1.2046,1.1355,1.2846,1.4237,0.9662,1.2222,1.1453,1.1626,1.1936,1.1080,1.2100,1.0696,1.3568,1.3685,1.2687,1.2354,1.1806,1.1225,1.0659,1.0636,1.2707,1.3324,1.2513,1.2713,1.1532,1.2392,1.0819,1.0187,0.9575,0.9390,1.1587,1.1085,0.9312,1.0516,0.9312,1.2398,1.1921,1.3103,1.1730,1.1683,1.0921,1.1257,1.1632,1.1723,0.9128,1.0837,0.8678,1.1855,1.1014,1.0117,1.0015,0.9421,1.0696,0.9937,1.0472,1.1308,1.2062,1.5665,1.1104,1.2930,1.2183,1.1202,1.2651,1.2202
randolph_4,0.8576,0.9110,1.1080,1.1291,0.8884,0.8953,0.8177,0.0000,1.0016,0.9251,0.8099,0.8755,0.9300,1.0339,1.1449,0.9609,1.1178,1.0749,1.3139,1.3634,0.9946,0.9552,1.0886,0.9730,1.0162,0.8718,1.1378,1.0119,0.8517,0.8457,0.8159,0.8653,1.0151,0.9202,1.0918,1.0749,1.3509,1.1079,1.0424,1.1200,0.7990,1.0165,1.0194,1.1470,1.0761,1.2698,1.2751,0.9965,1.0818,1.1279,1.0651,0.9487,1.0380,1.0658,1.0154,1.0327,0.7987,1.1793,0.8429,0.9877,1.0957,0.9458,1.2207,1.4151,0.9342,1.0914,1.0738,1.0719,1.0676,1.0767,1.1298,1.0385,1.1219,1.1341,1.1863,1.2133,0.9649,0.9561,0.9510,1.0344,1.0517,1.1504,1.0423,1.1290,0.9708,0.9725,0.8860,0.9872,0.7617,0.8211,1.0135,0.9274,0.9402,0.9846,0.9144,1.0818,1.0381,1.0732,1.0853,1.0765,1.1116,1.0366,1.0874,1.1427,0.9628,1.0235,0.8022,1.2414,0.9982,0.9722,1.0189,0.8493,0.8748,0.8053,1.0202,0.9405,0.9756,1.5439,0.9334,1.0821,1.0475,0.9916,1.0220,1.0510
jackson_1,0.9387,0.8989,0.9928,1.1444,0.9443,0.8317,0.8977,1.0016,0.0000,0.7833,0.6700,1.0162,1.0565,0.9940,1.0439,1.0010,1.1373,1.2043,1.2448,1.2960,1.0905,1.1455,1.1195,1.0585,1.0578,1.0849,1.1043,1.0098,1.0107,0.9808,1.0882,0.8799,1.2070,0.9850,0.8901,0.9982,1.2191,1.1798,1.1603,1.1696,0.9795,1.1439,1.0936,1.0060,1.1122,1.4124,1.1159,1.0857,1.0473,1.1377,1.0778,1.0666,1.1301,1.1989,1.0917,1.1548,0.9911,1.2735,1.0847,1.1775,1.0952,0.9209,1.1524,1.2765,0.8644,1.0751,1.0491,1.0053,1.0196,0.9250,1.1558,0.7696,1.3057,1.2929,1.2622,1.3301,1.1413,1.2246,1.1999,1.1194,1.1999,1.1640,1.2420,1.2177,1.1988,1.2943,1.0824,1.0027,1.0096,1.1200,1.1903,1.0714,1.0196,0.8242,0.8922,1.2165,1.1272,1.2246,1.0883,1.1785,1.0630,1.1664,1.1152,1.1794,0.9658,1.0036,0.9473,1.0912,1.1663,1.1568,0.9301,1.0228,1.1891,1.1374,1.0861,0.8986,1.0051,1.4327,0.9156,1.1536,1.0568,0.9378,1.0552,1.0510
jackson_2,1.0712,1.0292,1.2293,1.3065,0.8536,0.8655,0.9433,0.9251,0.7833,0.0000,0.7775,1.1245,1.1785,1.1386,1.1352,1.1323,1.2391,1.3879,1.5198,1.4805,1.1251,1.2592,1.2818,1.1629,1.2413,1.1644,1.3007,1.2456,1.1121,1.1903,1.2201,1.0618,1.3087,1.1141,1.0813,1.2420,1.5084,1.3554,1.2389,1.3411,1.1314,1.3018,1.2405,1.3394,1.1538,1.5213,1.3569,1.1743,1.2400,1.3552,1.2772,1.0369,1.2686,1.3069,1.2297,1.3386,1.0760,1.3656,1.2506,0.9512,1.2639,1.0859,1.3980,1.5402,1.1137,1.2173,1.2950,1.2214,1.3055,1.1197,1.3404,1.0477,1.4931,1.2840,1.2378,1.4580,1.2029,1.2198,1.2109,1.0258,1.3193,1.3254,1.2657,1.3063,1.2408,1.1737,1.1266,1.0738,0.9494,1.0165,1.2119,0.8448,0.9056,0.9567,0.8630,1.3024,1.2995,1.3836,1.3742,1.3688,1.2785,1.2915,1.3175,1.2849,1.0912,1.2012,1.1133,1.4100,1.2668,1.2735,1.1180,1.0245,1.0463,1.0536,1.1259,1.0193,1.0986,1.6430,1.0605,1.2726,1.1536,1.1236,1.1432,1.1493
