,jefferson_1,jefferson_2,jefferson_3,jefferson_4,randolph_1,randolph_2,randolph_3,randolph_4,jackson_1,jackson_2,jackson_3,jackson_4,jqadams_1,jqadams_2,jqadams_3,jqadams_4,ejames_1,ejames_2,ejames_3,ejames_4,flint_1,flint_2,flint_3,flint_4,hall_1,hall_2,hall_3,hall_4,paulding_1,paulding_2,paulding_3,paulding_4,pike_1,pike_2,pike_3,pike_4,biddle_1,biddle_2,biddle_3,biddle_4,gregg_1,gregg_2,gregg_3,gregg_4,pattie_1,pattie_2,pattie_3,pattie_4,tjames_1,tjames_2,tjames_3,tjames_4,irving_1,irving_2,irving_3,irving_4,bagby_1,bagby_2,bagby_3,bagby_4,cooke_1,cooke_2,cooke_3,cooke_4,cooke_lee_1,cooke_lee_2,cooke_lee_3,cooke_lee_4,davis_1,davis_2,davis_3,davis_4,page_1,page_2,page_3,page_4,cable_1,cable_2,cable_3,cable_4,eggleston_1,eggleston_2,eggleston_3,eggleston_4,twain_1,twain_2,twain_3,twain_4,twain_letters_1,twain_letters_2,twain_letters_3,twain_letters_4,lee_1,lee_2,lee_3,lee_4,cabell_1,cabell_2,cabell_3,cabell_4,christian_1,christian_2,christian_3,christian_4,pollock_1,pollock_2,pollock_3,pollock_4,shsp_1,shsp_2,shsp_3,shsp_4,poe_goldbug_1,poe_goldbug_2,poe_letters_1,beale_letters,beale_letter1,beale_b2,narrative,morriss,narrative_A,narrative_B,beale_letters_2000,narrative_2000
jefferson_1,0.0000,0.8059,0.8717,0.9446,0.8973,0.9303,0.9659,0.9783,0.9165,0.9414,0.9245,1.0013,0.9465,0.9981,0.9454,0.9459,1.1554,1.1643,1.0564,1.0736,0.9803,1.0397,1.0477,1.0318,1.1072,1.0904,1.0424,0.9341,0.8298,0.9947,1.0185,0.8928,1.1483,1.1050,0.9764,1.0509,1.0648,1.1091,1.1694,1.0786,0.9612,1.0292,1.0483,0.9681,1.0549,1.1336,0.9964,0.9627,1.1471,1.1440,1.1069,1.0227,1.0228,1.0524,1.1248,1.1320,0.8596,0.9806,0.8838,0.9513,0.9907,1.0539,1.1253,1.0330,0.8677,1.0529,1.0898,0.9384,0.9397,0.9482,1.0398,0.9649,1.0458,0.9892,1.0262,1.0871,0.9538,0.9280,1.0155,0.9600,0.9088,0.9735,0.9404,1.0118,0.9470,0.9577,1.0178,0.9715,0.9751,0.8799,1.0196,0.9031,0.9560,0.9666,0.9661,0.8636,1.0014,0.9680,1.0098,1.0110,1.0529,1.0750,1.0614,1.0881,1.0625,1.0265,1.0500,1.0297,1.0079,1.1469,1.0157,1.1081,0.9704,0.9690,0.8786,0.9921,0.9784,1.0583,0.9694,0.9449,0.9979,0.9539,0.9821,1.0000
jefferson_2,0.8059,-0.0000,0.7333,0.8627,1.0093,1.0465,1.0539,1.0142,0.8422,0.9864,0.8997,1.0082,0.8035,0.8522,0.8501,0.9930,1.0804,1.0707,1.0574,1.0549,1.0035,1.0455,1.0332,1.0514,1.0336,0.9361,0.9864,0.9272,1.0947,0.9775,1.0538,1.0633,1.0605,1.1022,0.8321,1.0002,1.0651,1.0915,1.1312,1.1164,1.0119,1.0136,1.0182,0.8783,1.0145,1.1104,0.9721,1.0420,1.0522,1.1369,1.0561,1.0251,1.0247,1.0540,1.1170,1.1118,1.0522,1.0754,1.0325,1.0792,1.0380,1.0007,1.0580,0.9911,0.8639,1.0271,1.0479,0.9367,0.8832,0.9081,0.8695,0.8967,1.0615,1.0430,1.0959,1.1306,1.0888,1.0242,1.1102,1.0073,0.9321,0.9801,1.0276,0.9722,1.0745,1.1117,1.0158,0.9995,1.0094,1.0120,1.0853,1.0236,0.9495,0.8583,0.9194,0.9657,1.0464,0.9915,1.0359,1.0404,1.0240,1.0345,1.0160,1.0464,0.8704,0.9404,0.9541,1.0510,0.9927,1.0421,0.9626,1.0327,1.0496,1.0249,0.9095,0.9018,0.9198,1.0355,0.9296,1.0293,0.9433,0.9420,0.9249,0.9426
jefferson_3,0.8717,0.7333,-0.0000,0.8069,0.9688,1.0897,1.0436,1.0581,0.9319,1.0345,0.8839,1.0053,0.9332,0.8997,0.7933,0.8903,0.9478,1.0559,0.9804,1.0717,0.9360,0.9313,1.0103,1.0594,0.9704,1.0056,0.9654,0.9303,1.0071,0.9599,1.0223,0.9622,1.0761,1.0540,0.9034,1.0246,0.9979,1.0259,0.9981,0.9977,0.9376,0.9434,0.9659,0.9300,1.0137,1.0316,1.0159,1.0487,1.0133,1.0785,1.0440,1.0759,0.9761,1.0215,1.0526,1.0584,1.0331,1.0887,0.9820,1.0592,0.9895,1.0588,1.1156,1.0666,0.8949,1.0486,0.9931,1.0630,0.8295,0.8443,0.8045,0.8556,1.1077,1.1486,1.1350,1.1084,1.0452,1.0870,1.0575,0.9932,0.9754,0.8830,1.0106,0.9884,1.1513,1.0966,1.1054,0.9109,1.0133,1.0089,1.1664,1.0857,1.0189,0.9614,0.9896,0.9976,0.9929,1.0618,1.0538,1.1126,1.0535,1.0700,1.0701,1.0818,0.9777,1.0053,1.0178,1.0815,1.0025,1.1463,1.0517,1.0276,1.0324,1.0215,0.9591,0.8567,0.8440,1.0386,0.8722,0.9483,0.9542,0.8416,0.8583,0.9508
jefferson_4,0.9446,0.8627,0.8069,-0.0000,1.0016,1.0330,1.1020,1.0164,0.8201,0.9709,0.8397,0.9873,0.9082,0.8656,0.8967,0.9514,1.0399,1.0737,1.0157,1.0989,0.9806,1.0875,1.0004,1.0901,0.9514,1.0134,1.0184,0.8042,0.8946,0.8263,0.8728,0.9695,1.1277,1.0808,0.9603,0.9880,1.0176,1.0919,1.0735,1.0821,0.8767,0.9826,0.9259,0.9282,1.0397,1.1234,1.0197,0.9645,1.1322,1.0715,1.1424,1.0105,1.0002,1.1045,1.1149,1.0685,0.9170,1.0757,0.9850,1.0098,1.0558,1.0350,1.1004,1.0658,0.9398,1.0307,1.0549,1.0438,0.7210,0.8802,0.8225,0.8125,1.1075,1.0681,1.1326,1.1373,1.0174,1.0954,1.0585,1.0508,0.9431,0.9977,1.0392,0.9833,1.0719,1.0391,1.0510,0.8103,0.9752,1.0407,1.0902,0.9768,0.9900,1.0291,0.9444,1.0991,1.0459,1.1101,1.0817,1.1143,1.0336,1.1340,1.0786,1.1068,0.9561,0.9625,1.0110,1.0443,1.0135,1.0923,1.0004,1.0745,1.0514,0.9943,1.0605,0.9337,0.9589,1.0243,0.8891,1.1081,0.9568,0.8658,0.9701,0.9552
randolph_1,0.8973,1.0093,0.9688,1.0016,0.0000,0.5641,0.5618,0.7529,0.8291,0.6729,0.8376,1.0264,1.0307,1.0038,0.9998,0.9059,1.1164,1.1516,1.0680,1.0908,1.0448,1.1179,1.0745,1.0457,1.0732,1.0844,1.0160,0.8892,0.9633,1.0352,0.9600,1.0289,1.1406,1.0861,0.8553,1.0504,1.1324,1.0937,1.1284,1.1169,1.0322,1.0932,1.0442,1.0296,1.0660,1.1534,1.0412,0.9655,1.0983,1.1368,1.0764,1.0068,1.0963,1.1277,1.2198,1.1714,0.9811,0.9950,1.0116,0.9357,1.0243,1.0722,1.1151,1.0919,0.9502,1.1150,1.0891,0.9960,1.0691,1.0730,1.1446,0.9853,1.0890,1.0510,1.0500,1.0892,1.0282,0.9571,1.0486,0.7970,1.0948,0.9915,1.0824,1.1062,1.0885,1.0010,1.0612,1.0150,0.8266,0.7441,0.9527,0.7837,0.6584,0.9005,0.6729,1.1352,0.9900,1.0404,1.0509,1.0702,1.0329,1.0965,1.0805,1.0118,1.0666,1.0915,1.0672,1.0232,1.0596,1.0772,1.0268,1.0381,0.8640,1.0184,0.7740,0.8889,0.9347,1.0572,0.8974,0.9527,0.9759,0.8612,0.9847,0.9780
randolph_2,0.9303,1.0465,1.0897,1.0330,0.5641,0.0000,0.6020,0.8245,0.7693,0.7120,0.7520,1.1110,1.0176,0.9988,1.0173,0.8666,1.1405,1.1904,1.1228,1.0961,1.0785,1.1007,1.0937,0.9764,1.1411,1.0649,1.0978,0.9544,0.9479,1.0415,0.9871,0.9612,1.0723,1.0357,0.9140,1.0482,1.1324,0.9724,1.0823,1.0915,1.0507,1.1263,1.1093,1.0808,1.1260,1.1127,1.0552,0.9038,1.1012,1.1093,1.0550,1.0035,1.0782,1.0899,1.1114,1.0884,1.0092,0.9848,1.0441,0.8539,1.0796,1.0602,1.1413,1.0776,0.9787,1.1250,1.1362,1.0361,1.0899,1.0266,1.1822,0.9699,1.1158,0.9923,0.9349,1.0568,1.0405,0.9201,0.9563,0.8378,1.0938,1.0607,1.0232,1.1165,1.0783,0.9645,1.0575,1.0479,0.8062,0.8431,0.9296,0.7862,0.7657,0.8900,0.7284,1.0643,1.0209,1.1103,1.0489,1.0289,1.1101,1.1131,1.1149,1.0046,1.0232,1.1521,1.0164,1.0216,1.1355,1.0285,1.0472,0.9486,0.7311,0.9785,0.8191,0.8837,0.9451,1.0952,0.9129,0.8698,0.9361,0.9224,0.9921,0.9369
randolph_3,0.9659,1.0539,1.0436,1.1020,0.5618,0.6020,0.0000,0.7344,0.8651,0.7980,0.8395,1.0114,1.0493,1.0370,1.0026,0.8887,1.1140,1.1038,1.0660,1.0556,1.0942,1.0761,1.1227,1.0199,1.0905,1.0288,1.0841,1.0708,0.9782,1.0774,0.9477,0.9906,1.0255,0.9245,0.9040,1.0373,1.0996,1.0232,1.0489,1.0913,1.0337,1.1255,1.0648,1.0759,1.0784,1.0767,1.0641,0.9771,1.0523,1.1105,1.0580,1.0042,1.1663,1.0988,1.1255,1.1014,0.9770,1.0008,1.0006,0.9411,1.0837,1.0668,1.0629,1.0519,0.9096,1.0965,1.0589,1.0204,1.1128,1.0172,1.1313,1.0157,1.0797,1.0463,1.0551,0.9896,1.0177,0.9289,1.0698,0.8872,1.0584,1.0797,1.0831,1.1339,1.1005,1.0591,1.0615,1.0167,0.8807,0.8393,0.9687,0.8196,0.8222,0.9652,0.7629,1.1196,1.0901,1.0923,1.0765,1.0607,1.0412,1.0284,1.0344,0.9808,0.9847,1.1359,1.0065,0.8885,1.0603,0.9096,1.0773,0.9447,0.8764,1.0021,0.8550,0.9368,0.9710,1.0633,0.9454,0.9153,0.9757,0.9367,1.0179,0.9752
randolph_4,0.9783,1.0142,1.0581,1.0164,0.7529,0.8245,0.7344,-0.0000,1.0053,0.8573,0.8962,1.0149,0.9582,1.0303,0.9856,0.9900,1.0911,1.0701,1.0948,1.0973,0.9865,1.0776,1.0787,1.0469,1.1079,0.9195,1.1850,0.9413,0.9092,0.9743,0.9153,1.0079,1.0284,1.0587,0.9667,1.0368,1.1371,1.0422,1.0424,1.0496,0.9277,1.0814,1.0198,0.9391,1.0823,1.0527,1.0766,0.9675,1.0848,1.0757,1.1566,0.9873,1.0559,1.1054,1.1304,1.0618,0.9223,1.0020,0.8634,0.8923,1.0375,1.0271,1.1317,1.1176,1.0050,1.1436,1.1303,0.9875,1.0599,1.1290,1.1277,1.0612,1.1024,0.9904,1.0131,1.1056,1.0210,0.8984,0.9223,0.8730,1.0262,1.0819,0.9843,1.0714,0.9634,0.8900,0.9997,0.9144,0.8861,0.8393,0.8477,0.8088,0.8439,1.0222,0.8563,1.0362,0.9997,0.9924,0.9949,0.9819,1.0409,1.1154,1.1076,1.0916,0.9773,1.1764,1.0420,1.0772,1.0830,1.0133,1.0456,0.9670,0.8545,0.9755,0.9343,1.0108,1.0339,1.0405,0.9976,1.0627,0.9870,1.0083,1.0503,0.9902
jackson_1,0.9165,0.8422,0.9319,0.8201,0.8291,0.7693,0.8651,1.0053,-0.0000,0.7772,0.6887,0.9541,0.9027,0.8057,0.9679,0.8710,1.0811,1.1460,1.0802,1.0720,1.0187,1.0801,1.0636,0.9986,1.0754,1.0374,1.0357,0.8693,1.0531,1.0091,1.1054,0.9967,1.0690,1.0116,0.8465,0.9927,1.0201,1.0534,1.1144,1.0968,1.0233,1.0439,1.0015,0.9856,1.1207,1.1550,1.0629,0.9785,1.0365,1.1136,1.0673,1.0035,1.0700,1.1786,1.1575,1.1766,1.0311,1.0428,1.0385,1.0174,1.0879,0.9648,1.0966,0.9317,0.9257,1.0064,1.0517,0.9090,0.9371,0.8429,1.0087,0.8470,1.0902,1.0651,1.0811,1.1524,1.0389,1.0512,1.0604,0.9687,1.0909,1.0508,1.0066,1.0587,1.1449,1.1077,1.0792,0.9493,1.0079,0.9931,1.0210,0.9434,0.9108,0.9293,0.8569,1.1269,1.0372,1.0931,0.9849,1.0278,1.0414,1.0808,1.0794,1.0383,0.9838,0.9690,1.0446,0.9147,1.1285,1.0533,0.9714,0.9942,1.0303,1.0183,0.9868,0.8389,0.9018,1.0216,0.8837,0.9731,0.9472,0.8662,0.9233,0.9468
jackson_2,0.9414,0.9864,1.0345,0.9709,0.6729,0.7120,0.7980,0.8573,0.7772,0.0000,0.7600,0.9182,0.9518,0.9607,0.9875,1.0041,1.1370,1.1516,1.1058,1.0643,1.0163,1.1799,1.0489,1.0406,1.1454,1.0962,1.0895,0.9480,1.0129,1.0379,1.0006,1.0292,1.1299,1.0725,0.9247,1.0825,1.1106,1.0621,1.0789,1.1451,1.0299,1.0923,1.1088,1.0512,1.0296,1.1561,1.0389,0.9833,1.0659,1.1570,1.1218,0.9185,1.1026,1.1509,1.1698,1.1542,0.9207,1.0573,0.9764,0.7933,1.1036,1.0589,1.1502,1.0445,0.9551,1.0191,1.0923,0.9650,1.0455,1.0043,1.0578,0.9648,1.1757,1.0253,0.9784,1.1064,1.0777,0.9584,1.0294,0.7921,1.1178,1.0337,1.0186,1.0746,1.0848,0.9563,0.9886,0.9334,0.8338,0.8201,0.9204,0.8030,0.7302,0.8601,0.6999,1.0611,1.1187,1.0976,1.1135,1.0442,1.0231,1.1496,1.0865,1.0919,1.0165,1.0452,0.9782,1.0047,1.0311,1.0691,0.9828,0.9257,0.8915,1.0131,0.7752,0.8712,0.9232,1.0160,0.9153,0.9512,0.9837,0.8821,0.9390,0.9852
