id,volume,section,page,date,year,heading,addressee,genre,source_code,autograph,hay_hand,other_hand,word_count,flags
basler-I-0001,I,main,2,1830-05-26,1830,Petition to Macon County Commissioners7 Court,,other,DS,False,False,,147,
basler-I-0002,I,main,3,1830-12-16,1830,Appraisal of an Estray,,other,AD,True,False,is in Lincoln's hand,105,
basler-I-0003,I,main,3,1830,1830,Petition to Sangamon County Commissioners,,other,DS,False,False,,87,
basler-I-0004,I,main,3,1831-11-12,1831,Document Drawn for James Eastep,,other,ADS,True,False,entirely in Lincoln's hand,170,
basler-I-0005,I,main,4,1832-01,1832,Bill of Sale Drawn for John Ferguson,,other,AD,True,False,,60,
basler-I-0006,I,main,4,1832,1832,Draft Drawn on James Rutledge,,other,ADS,True,False,,33,
basler-I-0007,I,main,4,1832-03-09,1832,Communication to the People of Sangamo County,,message,,False,False,,324,
basler-I-0008,I,main,8,1832-03-26,1832,Receipt to William Harriett,,other,ADS,True,False,,16,
basler-I-0009,I,main,8,1832-04-21,1832,Receipt to William Sampson,,other,ADS,True,False,,21,
basler-I-0010,I,main,8,1832-04-28,1832,Receipt for Arms,,other,ADS,True,False,,416,
basler-I-0011,I,main,12,1832-09-20,1832,Election Return,,other,ADS,True,False,IHL In Lincoln's hand,145,
basler-I-0012,I,main,12,1832-10-30,1832,"Promissory Note to James D, Henry",,other,,False,False,,52,
basler-I-0013,I,main,14,1832-11-05,1832,Election Return,,other,,False,False,,264,no_footnote_found
basler-I-0014,I,main,15,1833,1833,Bill for Surveying,,other,,False,False,,26,
basler-I-0015,I,main,15,1833,1833,Statement of James Eastep's Accoimt,,other,AD,True,False,,29,multiple_strict_footnotes:2
basler-I-0016,I,main,16,1833-01-31,1833,Bond of David Rutledge,,other,ADS,True,False,,192,heading_relaxed
basler-I-0017,I,main,16,1833-02-04,1833,Petition to the County Commissioners' Court,,other,DS,False,False,,78,
basler-I-0018,I,main,16,1833-02-09,1833,Petition to County Commissioners Concerning Benjamin Elmer e,,other,ADS,True,False,,155,
basler-I-0019,I,main,18,1833-07-26,1833,Deed Drawn for Jesse and Christiana Baker,,other,AD,True,False,ISLA. In Lincoln's hand,285,
basler-I-0020,I,main,19,1833-08-10,1833,To Eli C. Blankenship,Eli C. Blankenship,letter,,False,False,,175,
basler-I-0021,I,main,19,1833-09-28,1833,Letter Written for James Eastep,,other,AD,True,False,,51,
basler-I-0022,I,main,20,1833-10-19,1833,Promissory Note to Reuben Radford,,other,,False,False,,49,
basler-I-0023,I,main,20,1833-10-25,1833,Appraisal of New Salem Lots Owned by Henry Sinco,,other,DS,False,False,,95,
basler-I-0024,I,main,20,1834,1834,Certificate of Survey for Russell Godbey,,other,ADS,True,False,,147,
