pool,id,source,date,words,status,heading
lincoln_pre1860,basler-I-0001,Basler vol. I,1830-05-26,147,dropped: signed only (DS),Petition to Macon County Commissioners7 Court
lincoln_pre1860,basler-I-0002,Basler vol. I,1830-12-16,101,kept,Appraisal of an Estray
lincoln_pre1860,basler-I-0003,Basler vol. I,1830,87,dropped: signed only (DS),Petition to Sangamon County Commissioners
lincoln_pre1860,basler-I-0004,Basler vol. I,1831-11-12,171,kept,Document Drawn for James Eastep
lincoln_pre1860,basler-I-0005,Basler vol. I,1832-01,60,kept,Bill of Sale Drawn for John Ferguson
lincoln_pre1860,basler-I-0006,Basler vol. I,1832,33,kept,Draft Drawn on James Rutledge
lincoln_pre1860,basler-I-0007,Basler vol. I,1832-03-09,323,kept,Communication to the People of Sangamo County
lincoln_pre1860,basler-I-0008,Basler vol. I,1832-03-26,16,kept,Receipt to William Harriett
lincoln_pre1860,basler-I-0009,Basler vol. I,1832-04-21,21,kept,Receipt to William Sampson
lincoln_pre1860,basler-I-0010,Basler vol. I,1832-04-28,442,kept,Receipt for Arms
lincoln_pre1860,basler-I-0011,Basler vol. I,1832-09-20,140,kept,Election Return
lincoln_pre1860,basler-I-0012,Basler vol. I,1832-10-30,51,kept,"Promissory Note to James D, Henry"
lincoln_pre1860,basler-I-0013,Basler vol. I,1832-11-05,244,kept,Election Return
lincoln_pre1860,basler-I-0014,Basler vol. I,1833,21,kept,Bill for Surveying
lincoln_pre1860,basler-I-0015,Basler vol. I,1833,30,kept,Statement of James Eastep's Accoimt
lincoln_pre1860,basler-I-0016,Basler vol. I,1833-01-31,191,kept,Bond of David Rutledge
lincoln_pre1860,basler-I-0017,Basler vol. I,1833-02-04,77,dropped: signed only (DS),Petition to the County Commissioners' Court
lincoln_pre1860,basler-I-0018,Basler vol. I,1833-02-09,153,kept,Petition to County Commissioners Concerning Benjamin Elmer e
lincoln_pre1860,basler-I-0019,Basler vol. I,1833-07-26,282,kept,Deed Drawn for Jesse and Christiana Baker
lincoln_pre1860,basler-I-0020,Basler vol. I,1833-08-10,170,kept,To Eli C. Blankenship
