draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,219.0,-57.9,3.02,16.0,20.0,13.2,17.3,N-S,16.4,36.4,14.1,16.9,185.6,18.5,79.0,12.3,20.4,0,,0,20.86,3.57
1,222.1,-57.6,3.31,16.0,20.0,13.5,18.4,N-S,20.4,37.6,13.2,17.9,184.6,17.5,71.3,13.3,20.7,0,,0,19.69,1.32
2,220.4,-60.4,3.1,20.0,16.0,15.3,18.8,E-W,20.2,37.6,12.7,16.2,186.3,16.6,77.2,12.7,20.2,0,,0,18.98,0.23
3,218.3,-59.6,3.29,20.0,16.0,10.9,15.8,N-S,16.5,39.8,13.8,17.5,184.2,19.8,67.0,12.2,20.0,0,,0,20.16,4.32
4,220.5,-59.8,2.88,20.0,16.0,13.3,18.2,N-S,17.7,37.7,12.7,16.4,186.6,16.5,72.4,12.1,19.5,0,,0,19.69,1.46
5,219.8,-58.2,3.34,20.0,16.0,14.4,19.0,E-W,20.0,36.3,13.8,19.3,187.6,17.7,78.1,12.5,19.2,0,,0,23.2,4.18
6,222.6,-59.1,2.69,20.0,16.0,14.9,18.0,E-W,17.9,38.7,13.9,16.3,184.1,19.2,76.5,12.9,20.6,0,,0,30.23,12.2
7,220.5,-58.4,3.47,16.0,20.0,14.4,18.5,E-W,21.7,35.7,13.7,18.0,184.3,18.4,79.5,12.6,19.9,0,,0,20.39,1.89
8,222.0,-60.2,3.78,16.0,20.0,15.2,19.5,N-S,19.0,38.1,13.6,16.3,184.5,18.7,67.0,11.5,18.9,0,,1,18.75,-0.7
9,223.8,-58.8,2.88,20.0,16.0,15.7,18.8,N-S,18.7,39.3,13.4,18.1,187.8,18.5,72.6,11.7,20.6,0,,0,21.09,2.33
10,222.3,-60.4,3.71,20.0,16.0,15.5,19.8,N-S,20.8,36.7,12.8,17.0,183.8,19.7,70.5,13.6,20.9,0,,0,27.42,7.63
11,218.4,-58.1,3.48,20.0,16.0,14.8,18.5,N-S,19.7,38.0,13.6,18.3,185.7,18.0,66.5,12.0,20.2,0,,0,20.86,2.35
12,220.7,-57.7,2.51,16.0,20.0,15.8,19.2,N-S,19.7,38.2,13.7,16.1,187.6,20.0,66.7,13.5,22.0,0,,0,19.45,0.25
13,221.4,-59.8,3.7,20.0,16.0,10.9,15.2,E-W,16.1,40.9,13.3,16.5,187.2,17.2,70.4,13.6,19.3,0,,0,18.52,3.31
14,223.8,-60.1,3.27,16.0,20.0,15.4,19.0,E-W,18.0,37.4,13.4,16.2,186.2,16.8,72.6,12.4,19.3,0,,0,19.45,0.41
15,219.5,-59.5,2.86,20.0,16.0,11.7,14.8,E-W,17.7,38.0,13.8,16.8,185.5,19.2,69.2,12.8,18.8,0,,0,20.86,6.11
16,219.3,-57.8,3.76,16.0,20.0,12.1,15.4,E-W,18.1,38.7,13.8,17.3,188.4,16.5,77.2,12.7,19.2,0,,0,18.98,3.57
17,220.9,-58.1,3.4,20.0,16.0,15.7,19.5,E-W,20.4,38.6,13.8,17.6,183.7,18.2,64.4,13.5,22.0,0,,0,27.42,7.93
18,220.6,-57.5,2.94,20.0,16.0,12.0,17.0,N-S,21.7,38.9,14.0,18.5,185.3,19.6,67.3,13.2,20.1,0,,0,21.33,4.38
19,220.2,-60.2,3.55,20.0,16.0,10.4,14.2,N-S,21.8,35.3,13.3,15.8,183.7,19.4,63.2,12.2,18.2,0,,0,20.39,6.2
20,222.1,-59.2,2.74,20.0,16.0,11.9,16.4,N-S,17.0,37.2,14.3,17.1,184.3,19.0,74.3,12.0,19.8,0,,0,25.55,9.19
21,218.2,-57.7,2.63,16.0,20.0,13.5,17.1,N-S,16.9,39.0,14.8,16.9,186.5,19.7,73.2,10.9,20.5,0,,0,20.62,3.54
22,220.3,-60.5,3.11,16.0,20.0,15.5,18.7,N-S,18.1,35.9,13.7,16.3,187.1,19.8,61.2,12.2,22.0,0,,0,20.16,1.44
23,219.0,-59.4,2.68,16.0,20.0,11.0,15.0,N-S,17.6,39.2,12.7,18.1,184.0,19.7,72.3,13.3,19.9,0,,0,17.58,2.58
24,223.9,-58.7,2.85,16.0,20.0,11.4,15.4,N-S,19.3,41.2,13.8,17.7,187.5,19.1,66.5,12.5,22.0,0,,0,18.98,3.62
25,222.2,-60.1,3.17,20.0,16.0,13.1,17.3,N-S,21.7,37.9,13.0,17.9,188.7,16.2,67.6,12.6,19.9,0,,0,20.62,3.29
26,224.0,-57.9,3.66,16.0,20.0,11.3,14.7,E-W,16.4,35.1,13.3,15.9,186.4,19.2,67.9,12.3,19.3,0,,0,20.62,5.91
27,219.1,-58.1,2.95,20.0,16.0,11.0,15.6,N-S,16.7,38.8,12.3,16.5,187.6,19.5,77.1,12.3,18.5,0,,0,19.22,3.57
28,219.4,-59.6,3.43,20.0,16.0,16.7,19.8,E-W,18.5,37.9,12.8,18.2,183.6,19.1,69.8,12.6,18.1,0,,0,26.02,6.23
29,219.3,-57.7,2.92,16.0,20.0,14.9,18.4,N-S,18.1,38.4,13.8,16.8,188.7,18.4,69.6,13.0,20.8,0,,0,19.45,1.04
30,220.2,-58.3,2.75,20.0,16.0,14.8,18.6,N-S,21.3,38.2,13.3,16.9,183.5,19.1,65.5,12.3,21.0,0,,0,29.77,11.15
31,222.1,-58.1,3.46,16.0,20.0,14.5,18.8,N-S,19.6,40.1,13.5,16.0,187.3,18.0,71.7,12.9,17.9,0,,1,18.52,-0.31
32,218.1,-57.9,3.47,20.0,16.0,14.6,18.9,E-W,17.6,39.2,12.7,18.2,188.4,18.6,60.0,13.5,19.3,0,,0,19.69,0.77
33,218.2,-60.1,2.53,16.0,20.0,15.7,19.8,N-S,19.7,37.2,13.9,16.9,188.8,16.9,67.6,12.7,19.0,0,,0,19.92,0.14
34,219.8,-60.4,3.51,20.0,16.0,15.6,19.0,N-S,20.1,38.7,13.4,18.1,183.6,17.9,63.3,13.5,22.1,0,,0,19.92,0.97
35,222.4,-58.5,2.94,20.0,16.0,10.3,14.7,E-W,17.2,36.7,13.9,17.9,188.5,17.4,78.7,11.1,20.1,0,,0,23.44,8.75
36,223.5,-58.5,3.47,16.0,20.0,9.7,14.2,E-W,22.0,39.7,14.1,17.9,188.7,17.2,61.3,13.3,18.4,0,,0,19.69,5.46
37,222.2,-59.0,2.97,16.0,20.0,11.2,14.8,E-W,18.8,39.0,13.9,16.9,187.3,18.4,63.8,12.5,18.8,0,,0,19.69,4.89
38,223.4,-58.5,2.75,20.0,16.0,13.4,17.8,N-S,19.8,38.0,14.5,18.2,189.1,20.0,66.9,12.5,18.9,0,,0,23.2,5.43
39,220.0,-60.0,2.9,16.0,20.0,10.6,14.1,E-W,21.7,39.1,13.6,17.6,184.9,16.6,63.9,13.1,21.9,0,,0,18.75,4.61
40,221.9,-59.1,2.54,20.0,16.0,14.5,19.0,N-S,16.0,39.0,13.1,18.4,185.8,18.4,63.0,12.0,19.3,0,,0,21.09,2.05
41,218.9,-58.0,2.69,16.0,20.0,14.1,18.3,N-S,21.5,36.6,13.3,18.0,183.8,19.7,79.4,11.9,21.6,0,,0,20.16,1.84
42,218.5,-59.0,2.58,16.0,20.0,9.7,14.3,N-S,18.1,35.7,13.2,17.1,185.8,18.9,73.8,12.1,20.0,0,,0,20.39,6.12
43,222.3,-59.9,3.75,16.0,20.0,15.1,20.0,N-S,20.0,35.3,13.2,16.8,184.3,20.0,61.5,12.9,18.4,0,,0,26.02,6.03
44,221.9,-57.5,3.44,16.0,20.0,14.0,17.8,E-W,20.0,36.4,13.9,16.2,183.9,16.9,75.0,12.0,18.9,0,,0,26.02,8.19
45,220.2,-59.8,3.76,20.0,16.0,15.3,18.6,N-S,17.0,40.4,12.3,16.0,186.3,16.3,61.1,12.3,19.1,0,,1,17.81,-0.78
46,221.9,-58.3,3.08,20.0,16.0,14.5,17.6,N-S,21.4,39.4,13.1,16.6,185.3,17.8,61.6,12.6,18.9,0,,0,27.66,10.01
47,223.3,-57.7,3.63,16.0,20.0,16.3,19.5,N-S,17.0,39.7,14.1,18.4,186.4,19.3,70.8,11.8,17.5,0,,0,20.16,0.63
48,221.0,-59.0,3.06,16.0,20.0,12.7,16.2,N-S,17.4,39.2,13.6,16.2,187.6,17.8,76.0,12.7,18.4,0,,0,18.75,2.54
49,222.4,-58.4,3.15,20.0,16.0,11.1,15.2,E-W,16.6,37.3,12.9,16.7,184.7,19.0,79.9,13.9,19.4,0,,0,32.11,16.94
50,223.3,-57.6,3.62,20.0,16.0,10.6,15.4,N-S,16.4,40.3,13.7,17.6,185.1,19.3,70.2,13.2,18.0,0,,0,29.53,14.12
51,220.9,-58.5,3.7,20.0,16.0,14.7,18.1,E-W,18.2,39.8,13.1,15.8,186.9,16.4,79.3,12.8,19.0,0,,0,18.98,0.91
52,221.0,-59.4,3.36,20.0,16.0,11.8,15.5,N-S,16.9,39.0,14.9,17.8,184.8,19.6,70.2,14.2,20.5,0,,0,22.03,6.53
53,222.8,-58.3,3.22,20.0,16.0,12.4,16.8,N-S,18.3,37.8,13.9,18.5,186.7,19.4,73.3,12.8,18.9,0,,0,22.5,5.66
54,219.9,-58.2,3.59,16.0,20.0,14.7,19.4,N-S,21.3,36.4,13.9,18.0,183.6,17.4,64.1,12.4,21.0,0,,0,20.39,1.03
55,221.1,-58.7,3.55,16.0,20.0,11.4,15.5,N-S,21.4,36.5,13.1,16.5,185.0,16.7,68.3,12.5,18.5,0,,0,19.45,3.97
56,219.3,-59.5,3.0,20.0,16.0,11.7,15.2,N-S,16.9,38.1,14.1,19.4,183.8,18.3,61.0,10.9,17.5,0,,0,22.27,7.09
57,223.2,-59.5,3.56,16.0,20.0,11.5,15.4,E-W,19.5,41.0,13.8,16.7,185.4,18.5,62.8,12.8,19.4,0,,0,18.28,2.86
58,221.9,-59.0,3.63,20.0,16.0,14.1,17.2,N-S,21.3,38.4,14.5,19.2,188.2,19.3,76.9,14.0,18.4,0,,0,22.03,4.87
59,223.3,-59.4,2.83,20.0,16.0,12.6,16.7,N-S,18.2,38.0,12.8,16.8,184.5,17.2,61.8,12.4,19.4,0,,0,27.89,11.2
60,221.8,-58.9,3.58,16.0,20.0,16.6,19.9,N-S,19.7,39.6,14.4,19.0,186.6,16.3,74.4,12.9,18.4,0,,0,20.16,0.21
61,222.7,-60.1,3.43,16.0,20.0,10.0,14.8,N-S,17.5,37.7,14.8,16.7,188.3,16.7,60.8,11.8,20.6,0,,0,20.62,5.8
62,223.6,-59.2,2.82,20.0,16.0,11.4,16.3,E-W,21.9,38.9,13.1,16.5,188.5,16.6,74.1,13.4,19.0,0,,0,19.92,3.62
