draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,251.5,-60.1,3.57,20.0,16.0,11.9,16.8,N-S,20.2,37.0,14.1,18.4,187.6,17.1,72.0,14.0,22.0,0,,0,36.33,19.5
1,242.9,-54.8,3.57,16.0,20.0,10.2,14.4,N-S,17.1,40.1,14.0,15.7,189.3,16.2,79.0,14.0,19.7,0,,0,37.03,22.61
2,239.4,-54.6,3.33,20.0,16.0,13.8,18.1,E-W,21.9,39.1,13.3,19.0,187.5,16.9,69.2,12.6,18.9,0,,0,34.22,16.12
3,246.6,-56.1,2.59,16.0,20.0,12.3,16.2,N-S,19.6,39.2,13.5,17.6,189.3,19.3,70.8,11.4,17.9,0,,0,33.98,17.75
4,245.0,-57.2,2.98,16.0,20.0,12.7,17.4,E-W,19.7,38.5,12.4,18.1,184.3,18.4,73.1,12.9,18.3,0,,0,31.64,14.24
5,235.1,-59.5,3.32,16.0,20.0,16.8,20.0,E-W,18.9,36.6,12.9,18.5,187.0,19.4,69.9,13.0,20.0,0,,0,29.3,9.32
6,251.6,-60.3,3.76,16.0,20.0,13.8,17.6,N-S,18.5,38.2,12.2,15.7,186.0,17.8,77.2,12.7,21.2,0,,0,35.16,17.52
7,253.9,-51.5,2.68,16.0,20.0,13.8,17.5,N-S,18.5,40.7,13.9,18.3,187.5,17.5,66.4,13.4,19.5,0,,0,33.28,15.76
8,255.7,-56.2,2.65,20.0,16.0,14.4,18.3,E-W,18.2,38.8,13.5,18.4,187.3,17.7,67.2,13.5,20.8,0,,0,33.75,15.47
9,256.8,-55.0,2.73,20.0,16.0,14.7,19.3,E-W,18.9,38.9,13.9,17.3,187.7,16.9,75.1,11.7,21.5,0,,0,34.92,15.64
10,249.8,-59.5,3.09,16.0,20.0,14.2,18.1,N-S,17.5,36.4,13.5,17.1,187.3,18.4,76.2,12.0,18.4,0,,0,31.88,13.75
11,247.3,-56.6,3.49,20.0,16.0,10.5,15.3,N-S,19.1,35.7,14.0,17.6,185.4,17.5,60.9,13.5,21.4,0,,0,35.16,19.82
12,250.1,-58.5,3.0,20.0,16.0,12.0,16.7,N-S,16.5,38.0,14.6,19.0,187.2,18.0,70.0,13.2,21.8,0,,0,36.8,20.12
13,255.7,-50.1,2.9,16.0,20.0,15.6,20.0,N-S,21.0,38.8,13.4,18.6,186.7,17.6,71.7,12.2,17.9,0,,0,29.53,9.55
14,249.6,-59.8,3.5,16.0,20.0,10.9,14.3,N-S,16.4,39.6,14.6,16.5,187.9,17.9,62.0,13.4,18.1,0,,0,31.41,17.07
15,243.4,-52.7,3.01,20.0,16.0,11.2,15.3,N-S,19.9,37.8,13.3,16.5,184.7,18.8,63.6,11.7,18.9,0,,0,32.11,16.86
16,241.4,-56.6,3.5,20.0,16.0,9.9,14.4,E-W,21.6,38.4,12.8,18.5,187.3,16.6,73.4,12.1,18.7,0,,0,32.81,18.4
17,238.3,-51.1,2.8,20.0,16.0,13.7,17.3,N-S,18.8,36.3,13.0,17.2,188.0,20.0,66.0,12.0,20.4,0,,0,40.31,23.01
18,253.3,-51.3,2.68,20.0,16.0,11.0,14.3,N-S,21.0,34.6,13.4,18.2,188.7,17.7,69.6,11.3,20.3,0,,0,34.45,20.18
19,246.3,-54.9,3.44,16.0,20.0,13.7,17.0,N-S,16.5,39.1,13.0,17.3,185.4,17.7,78.1,13.9,21.5,0,,0,37.03,20.06
20,244.5,-56.0,3.09,16.0,20.0,13.5,17.5,E-W,19.0,37.9,12.1,18.1,189.0,17.4,63.6,12.7,19.7,0,,0,36.8,19.35
21,239.8,-52.0,2.73,20.0,16.0,16.1,19.1,N-S,21.5,38.1,12.5,17.2,186.9,19.7,65.9,12.7,19.3,0,,0,35.86,16.79
22,239.8,-53.2,3.05,20.0,16.0,13.7,17.5,N-S,19.0,37.6,13.0,18.6,184.9,19.4,60.2,14.2,20.6,0,,0,36.56,19.03
23,237.0,-56.3,2.58,20.0,16.0,11.3,14.9,E-W,20.3,40.1,13.3,17.0,187.1,17.5,65.5,13.2,18.3,0,,0,34.69,19.81
24,236.5,-53.5,3.59,16.0,20.0,14.9,18.3,N-S,20.1,38.4,13.3,18.2,185.6,17.0,70.2,13.8,22.0,0,,0,41.48,23.19
25,249.7,-58.1,3.29,20.0,16.0,15.0,18.1,N-S,21.2,37.5,14.2,17.2,189.1,18.3,79.9,13.7,19.2,0,,0,33.28,15.13
26,236.8,-60.9,2.97,16.0,20.0,14.8,17.8,E-W,21.0,37.9,13.5,17.2,186.7,18.9,67.2,13.3,20.3,0,,0,34.45,16.61
27,237.8,-57.8,3.21,16.0,20.0,11.4,15.2,E-W,16.5,39.0,14.3,16.2,183.5,18.9,65.9,12.4,20.2,0,,0,36.8,21.61
28,258.2,-52.4,3.52,16.0,20.0,11.6,15.5,N-S,16.2,39.9,13.6,17.2,188.3,19.9,71.1,12.4,20.3,0,,0,33.98,18.44
29,250.4,-58.2,2.72,16.0,20.0,16.1,19.8,N-S,18.7,36.8,13.0,18.8,186.0,17.6,72.8,11.0,20.7,0,,0,35.39,15.55
30,238.0,-56.1,2.93,16.0,20.0,11.9,16.5,E-W,19.1,38.7,12.7,16.8,183.9,16.5,65.2,12.6,18.7,0,,0,33.52,17.0
31,253.8,-55.5,3.46,20.0,16.0,16.7,19.9,E-W,19.2,36.3,13.3,16.1,185.3,18.4,61.8,13.9,19.4,0,,0,30.47,10.58
32,251.0,-58.9,3.7,16.0,20.0,13.3,17.5,E-W,20.3,38.7,13.4,18.1,189.0,18.0,69.0,11.5,18.4,0,,0,31.88,14.4
33,242.5,-52.8,2.55,16.0,20.0,12.5,15.9,N-S,18.0,38.7,13.7,17.8,184.7,17.7,72.6,13.2,20.6,0,,0,37.03,21.11
34,238.9,-52.5,2.93,16.0,20.0,12.4,17.2,N-S,17.2,36.0,12.7,18.5,184.0,17.3,62.2,12.2,18.1,0,,0,32.58,15.38
35,242.9,-52.7,3.55,20.0,16.0,16.1,19.3,N-S,17.7,39.4,13.4,17.4,184.5,16.2,60.6,12.6,19.1,0,,0,31.17,11.89
36,249.5,-59.0,2.74,16.0,20.0,14.5,18.2,E-W,18.5,36.9,12.5,16.2,185.0,16.0,75.1,11.7,19.7,0,,0,32.81,14.59
37,245.3,-55.7,3.58,16.0,20.0,16.5,19.9,N-S,19.6,38.4,13.7,16.9,185.0,17.0,73.6,13.2,20.8,0,,0,35.62,15.75
38,236.5,-58.4,3.2,16.0,20.0,9.4,14.1,E-W,16.7,39.2,14.5,16.3,185.6,18.9,67.2,12.6,17.4,0,,0,33.05,18.95
39,235.6,-60.3,3.19,16.0,20.0,13.1,17.3,N-S,16.7,37.3,13.3,17.0,183.7,16.4,69.3,12.6,20.6,0,,0,37.5,20.18
40,243.7,-57.4,2.85,20.0,16.0,12.5,17.3,E-W,17.1,36.0,13.5,17.5,186.3,19.5,64.3,12.2,19.2,0,,0,33.98,16.68
41,245.4,-55.5,3.19,16.0,20.0,11.7,16.5,E-W,18.9,38.9,13.9,18.5,187.2,18.9,67.3,12.6,19.9,0,,0,36.09,19.6
42,248.8,-56.3,3.3,16.0,20.0,10.3,15.1,N-S,18.9,37.6,13.8,18.1,184.4,18.3,73.3,13.3,20.0,0,,0,33.28,18.19
43,257.6,-59.4,3.41,20.0,16.0,12.2,16.2,N-S,20.8,37.7,13.8,18.4,189.0,19.6,79.4,11.8,17.7,0,,0,28.83,12.61
44,237.6,-51.5,3.76,16.0,20.0,11.8,15.9,N-S,17.6,38.8,12.9,19.3,183.7,17.5,68.2,12.5,17.6,0,,0,30.7,14.8
45,258.5,-54.4,2.76,16.0,20.0,15.8,19.5,E-W,16.8,38.1,14.6,17.9,186.6,19.5,67.8,14.0,22.4,0,,0,37.27,17.8
46,234.3,-58.0,3.52,20.0,16.0,16.7,19.9,N-S,17.2,36.6,13.9,18.6,184.1,18.5,70.4,12.6,21.4,0,,0,38.91,18.96
47,244.0,-52.5,2.99,16.0,20.0,14.7,17.7,N-S,19.2,37.9,13.0,17.6,187.8,19.2,79.6,12.3,21.0,0,,0,39.61,21.87
48,234.8,-59.4,3.62,16.0,20.0,15.6,19.3,N-S,19.7,40.5,12.5,16.6,185.7,16.2,74.7,12.0,19.6,0,,0,31.88,12.59
49,241.8,-54.2,2.82,20.0,16.0,12.4,16.3,N-S,20.4,35.3,12.7,17.0,188.1,17.7,69.6,13.3,21.3,0,,0,39.38,23.09
50,238.9,-55.4,2.51,16.0,20.0,10.9,15.6,N-S,21.6,37.9,13.6,17.3,185.3,16.4,67.4,13.2,21.0,0,,0,39.14,23.52
51,250.6,-52.9,3.43,20.0,16.0,15.2,19.5,N-S,19.3,39.6,14.0,16.4,184.8,18.7,64.8,13.0,19.0,0,,0,30.23,10.77
52,240.3,-52.0,3.11,20.0,16.0,16.1,19.8,N-S,21.8,37.9,14.6,17.6,183.7,16.4,75.0,11.4,18.6,0,,0,30.94,11.1
53,250.2,-57.9,3.79,16.0,20.0,13.9,17.8,N-S,17.8,38.7,12.2,16.2,186.1,17.0,74.1,12.8,17.0,0,,0,27.89,10.12
54,255.6,-60.4,2.7,20.0,16.0,15.8,19.8,N-S,17.4,39.3,13.2,17.9,184.0,18.4,75.3,11.9,20.8,0,,0,32.34,12.5
55,242.8,-53.3,2.78,20.0,16.0,11.6,15.6,E-W,18.8,36.0,12.6,16.6,183.9,17.5,71.7,11.0,18.3,0,,0,30.47,14.89
56,250.9,-54.0,2.83,20.0,16.0,11.7,16.1,E-W,17.6,35.6,13.1,16.2,187.0,19.3,71.0,13.0,19.4,0,,0,32.81,16.74
57,251.1,-60.2,2.62,20.0,16.0,16.4,19.8,N-S,16.7,39.1,13.5,19.2,184.6,18.5,69.1,13.5,20.7,0,,0,33.75,13.91
58,254.8,-58.1,3.51,20.0,16.0,13.0,17.8,N-S,17.6,39.7,13.5,18.5,187.3,18.8,65.8,12.0,17.3,0,,0,27.66,9.86
59,254.0,-56.7,3.78,20.0,16.0,13.7,17.1,E-W,17.6,38.6,13.5,18.8,187.3,16.6,76.6,13.2,20.7,0,,0,33.05,15.95
60,243.7,-53.4,3.1,16.0,20.0,13.2,17.0,N-S,16.1,38.2,13.3,18.8,187.0,16.3,75.5,11.5,19.1,0,,0,34.22,17.2
61,249.0,-52.6,3.33,16.0,20.0,13.3,17.4,E-W,19.4,34.9,13.4,16.3,186.9,17.2,61.5,12.9,19.0,0,,0,32.34,14.97
62,237.2,-55.4,3.35,16.0,20.0,12.4,16.3,E-W,18.5,37.3,14.4,18.8,188.4,17.9,77.7,12.8,19.4,0,,0,37.73,21.42
63,243.2,-51.7,3.68,16.0,20.0,10.3,14.6,N-S,18.5,40.1,12.3,16.9,187.6,16.3,79.8,12.8,18.5,0,,0,33.28,18.65
64,234.5,-57.3,3.03,16.0,20.0,11.0,14.4,E-W,17.9,39.3,12.9,16.0,185.1,17.1,77.6,11.9,19.8,0,,0,37.97,23.6
65,253.0,-58.6,2.7,20.0,16.0,15.1,19.2,E-W,21.3,36.3,13.2,17.2,186.8,19.0,73.0,11.1,17.3,0,,0,28.36,9.18
66,238.0,-55.0,2.7,20.0,16.0,12.0,15.4,E-W,20.8,39.7,13.0,17.9,184.6,16.6,66.1,12.6,19.4,0,,0,34.22,18.8
67,236.7,-50.2,3.06,20.0,16.0,12.2,17.1,E-W,17.7,37.4,13.5,17.9,186.6,19.2,71.0,13.0,18.8,0,,0,35.39,18.33
68,236.8,-55.7,3.07,16.0,20.0,10.0,14.6,E-W,17.4,38.3,13.8,18.2,185.0,17.8,79.2,12.9,20.8,0,,0,38.91,24.32
69,241.7,-54.5,2.83,16.0,20.0,11.6,16.1,E-W,18.7,38.0,13.7,18.8,184.0,18.2,62.7,12.3,20.1,0,,0,35.62,19.53
70,239.6,-56.6,2.5,20.0,16.0,10.2,14.8,N-S,18.1,37.5,13.9,17.9,183.7,18.5,73.6,13.7,20.8,0,,0,36.56,21.74
71,241.1,-58.1,2.66,16.0,20.0,9.9,14.8,N-S,21.9,37.6,13.6,16.6,184.1,16.3,79.5,11.3,18.0,0,,0,31.41,16.56
72,252.0,-54.6,2.97,20.0,16.0,13.5,18.2,N-S,18.1,39.3,12.5,17.0,184.3,19.8,71.4,13.2,20.9,0,,0,33.52,15.35
73,243.4,-58.4,3.4,20.0,16.0,15.2,18.7,E-W,19.4,38.7,12.6,18.8,184.7,16.4,70.1,11.8,20.7,0,,0,34.45,15.79
74,243.2,-59.5,3.28,16.0,20.0,12.1,16.2,N-S,19.2,36.7,14.3,18.6,189.2,16.2,65.0,12.2,19.3,0,,0,36.33,20.1
75,240.7,-52.7,2.82,20.0,16.0,12.7,17.3,N-S,17.0,35.1,13.9,18.5,187.6,17.0,77.3,12.9,19.1,0,,0,34.69,17.37
76,238.0,-53.6,3.69,16.0,20.0,14.5,19.5,E-W,17.6,38.8,13.5,18.9,188.9,16.8,72.1,12.5,18.1,0,,0,35.16,15.68
77,245.0,-59.8,2.91,16.0,20.0,12.9,17.0,N-S,19.2,39.4,12.6,16.1,186.0,16.3,61.6,12.7,20.0,0,,0,35.39,18.37
78,255.2,-54.6,3.64,20.0,16.0,12.2,16.3,E-W,18.0,38.4,13.8,16.2,188.1,16.7,75.4,13.0,21.8,0,,0,35.39,19.12
79,255.5,-56.9,3.71,16.0,20.0,11.6,14.7,E-W,20.5,37.4,14.0,17.7,184.5,18.8,67.0,12.7,18.3,0,,0,29.06,14.36
80,258.4,-50.3,3.48,16.0,20.0,14.5,19.2,E-W,20.2,39.3,12.9,15.9,186.1,19.9,78.6,10.9,18.4,0,,0,29.77,10.52
81,250.1,-54.6,3.64,20.0,16.0,14.6,18.6,E-W,20.1,37.5,14.2,17.8,184.4,16.4,68.9,12.7,20.6,0,,0,32.11,13.51
82,248.8,-60.7,2.71,20.0,16.0,15.5,19.8,N-S,21.6,39.9,14.0,18.2,183.8,18.5,61.6,13.2,20.8,0,,0,33.75,13.91
83,247.9,-52.8,2.96,20.0,16.0,12.6,17.6,N-S,17.7,36.3,13.4,19.0,185.2,19.2,76.0,12.2,18.1,0,,0,29.77,12.19
84,253.1,-58.1,3.73,16.0,20.0,14.7,18.1,E-W,19.3,39.6,13.9,18.2,187.7,18.8,62.3,14.1,21.0,0,,0,35.86,17.73
85,258.1,-59.9,2.82,20.0,16.0,12.3,16.8,E-W,21.6,36.5,14.2,17.0,184.4,18.5,76.7,13.2,19.6,0,,0,30.23,13.42
86,237.9,-55.5,3.28,16.0,20.0,11.8,14.9,N-S,16.0,37.8,14.6,17.0,185.8,16.7,71.5,13.8,20.5,0,,0,38.44,23.58
87,240.6,-52.0,3.21,16.0,20.0,12.6,15.6,E-W,18.0,38.1,13.6,18.9,185.4,18.8,72.0,12.5,18.1,0,,0,33.05,17.4
88,249.3,-51.7,2.65,16.0,20.0,14.2,18.8,E-W,20.9,39.8,13.8,17.6,185.1,16.2,60.9,12.3,18.3,0,,0,30.7,11.89
89,258.2,-57.7,3.3,16.0,20.0,12.2,16.2,E-W,20.2,35.8,13.7,16.8,187.9,18.7,68.7,12.4,18.1,0,,0,30.0,13.79
90,257.1,-51.0,3.19,20.0,16.0,13.6,17.3,N-S,17.5,35.7,12.8,18.5,189.2,17.5,68.6,13.2,21.8,0,,0,35.86,18.6
91,237.7,-52.6,2.9,16.0,20.0,13.6,17.6,N-S,16.2,35.2,13.2,18.9,186.0,19.0,73.4,13.6,20.8,0,,0,40.31,22.76
92,237.3,-56.9,3.4,16.0,20.0,15.0,18.9,N-S,19.2,37.9,14.1,18.8,184.9,17.2,75.2,12.9,18.1,0,,0,33.05,14.19
93,239.1,-60.6,3.78,20.0,16.0,16.0,19.8,E-W,21.3,39.6,13.1,16.2,187.3,19.8,62.4,13.1,18.2,0,,0,33.28,13.5
94,252.7,-57.6,2.9,16.0,20.0,13.1,17.5,E-W,20.9,39.7,12.8,16.9,186.6,19.2,72.7,12.4,20.6,0,,0,35.39,17.93
95,237.6,-59.4,3.75,16.0,20.0,12.0,15.6,N-S,18.2,39.0,13.7,16.4,185.8,18.6,72.7,11.8,19.1,0,,0,34.92,19.29
96,258.4,-58.2,2.97,16.0,20.0,10.2,14.4,N-S,19.7,39.0,14.5,17.9,185.3,19.2,60.3,12.7,18.3,0,,0,29.3,14.87
97,257.7,-60.9,3.49,16.0,20.0,14.2,17.3,N-S,16.7,35.9,12.7,18.0,185.3,19.6,71.7,12.6,18.8,0,,0,30.0,12.69
98,258.4,-57.5,2.89,20.0,16.0,13.4,17.8,E-W,19.0,39.2,12.8,16.2,188.4,19.9,64.4,11.8,18.0,0,,0,29.3,11.47
99,240.9,-51.7,3.11,20.0,16.0,13.2,17.8,E-W,16.4,40.2,14.1,17.1,185.7,17.6,71.0,11.3,17.3,0,,0,29.77,11.93
100,241.0,-54.3,3.61,16.0,20.0,12.3,16.9,E-W,17.2,37.7,13.4,16.0,187.1,18.4,72.7,12.8,17.9,0,,0,33.05,16.13
101,251.0,-56.2,3.5,16.0,20.0,13.2,16.8,N-S,20.8,36.8,13.1,17.9,188.8,18.2,61.9,13.3,18.9,0,,0,33.05,16.26
102,244.1,-53.6,3.61,20.0,16.0,15.3,18.8,E-W,17.7,37.4,14.5,16.9,187.2,18.3,78.6,13.4,19.6,0,,0,33.98,15.18
103,245.7,-55.3,3.1,16.0,20.0,12.7,17.5,E-W,21.2,38.3,12.9,17.8,187.5,17.6,69.2,12.7,19.0,0,,0,34.22,16.68
104,247.8,-55.8,3.49,16.0,20.0,13.5,18.4,N-S,22.0,37.2,13.0,16.8,183.7,18.9,70.8,12.5,19.9,0,,0,33.05,14.63
105,247.5,-52.6,3.71,16.0,20.0,10.4,14.7,N-S,16.9,37.5,14.0,16.9,188.4,18.0,72.3,11.5,18.5,0,,0,32.81,18.07
106,234.8,-60.0,3.03,20.0,16.0,14.9,18.0,E-W,16.1,39.6,12.9,18.9,186.9,19.8,66.1,12.9,21.5,0,,0,33.28,15.32
