draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,250.6,-56.6,5.47,16.0,20.0,12.0,16.8,E-W,16.6,36.5,13.1,18.8,185.2,19.5,71.4,13.7,21.4,0,,0,34.69,17.91
1,251.2,-50.5,5.08,20.0,16.0,13.9,18.5,E-W,20.8,37.1,13.2,17.7,189.3,17.3,67.6,11.7,20.2,0,,0,33.05,14.56
2,251.4,-55.0,5.31,16.0,20.0,12.6,16.3,E-W,19.4,37.1,14.5,16.9,184.7,17.2,64.9,13.3,19.9,0,,0,30.94,14.64
3,254.7,-54.3,5.17,16.0,20.0,12.5,15.8,E-W,16.5,37.5,14.1,16.7,187.0,16.6,71.9,11.9,17.8,0,,0,27.66,11.81
4,252.7,-58.5,5.21,20.0,16.0,11.0,15.1,N-S,17.4,36.3,14.5,16.4,183.9,16.5,65.0,12.9,17.9,0,,0,26.25,11.15
5,238.1,-50.5,5.6,16.0,20.0,14.5,18.0,E-W,16.9,38.3,14.5,18.5,185.2,17.1,75.3,12.5,20.9,0,,0,36.09,18.09
6,237.2,-50.4,5.67,16.0,20.0,15.2,19.7,E-W,19.4,38.1,14.0,16.4,183.6,16.8,61.1,13.3,19.8,0,,0,33.05,13.34
7,248.4,-55.4,5.02,20.0,16.0,11.4,15.9,E-W,21.1,39.4,13.3,19.0,187.7,18.6,64.2,11.6,18.6,0,,0,30.23,14.37
8,248.4,-55.1,5.38,20.0,16.0,13.3,17.1,N-S,18.6,40.5,13.5,19.4,189.1,18.8,70.6,11.4,19.3,0,,0,32.11,14.99
9,248.0,-55.3,5.31,20.0,16.0,11.2,14.5,E-W,21.2,39.6,14.3,17.3,189.1,19.2,66.5,12.6,19.2,0,,0,31.88,17.37
10,237.7,-52.0,5.39,20.0,16.0,13.3,17.3,N-S,19.9,40.2,12.4,18.7,188.7,19.1,78.7,12.7,20.8,0,,0,38.2,20.92
