draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,186.5,-54.1,3.76,20.0,16.0,11.1,15.2,N-S,17.8,40.0,14.0,17.0,184.4,16.7,61.9,12.6,19.4,1,2.19,1,2.11,-13.08
1,200.9,-54.8,3.35,16.0,20.0,16.3,19.9,E-W,21.2,39.6,12.8,17.0,184.0,18.5,69.0,11.1,20.4,1,4.22,1,4.22,-15.67
2,195.9,-59.0,3.36,20.0,16.0,13.3,18.0,E-W,18.4,35.1,13.0,18.3,188.7,19.3,78.5,11.5,20.3,1,3.91,1,3.98,-14.04
3,193.8,-59.8,3.6,20.0,16.0,12.9,16.9,E-W,18.3,36.6,14.7,16.6,187.5,18.2,72.9,12.1,19.0,1,3.44,1,3.52,-13.37
4,187.1,-53.0,3.49,20.0,16.0,14.8,19.5,E-W,19.8,38.2,14.2,16.7,188.9,16.1,70.4,12.8,18.7,1,3.59,1,3.75,-15.72
5,206.7,-57.4,3.09,16.0,20.0,11.9,15.8,N-S,20.9,39.1,13.6,16.8,189.3,18.3,68.1,12.4,19.4,1,4.06,1,4.22,-11.61
6,200.0,-57.7,3.78,20.0,16.0,12.6,17.2,N-S,16.8,37.4,13.2,18.1,186.1,18.4,73.5,13.6,19.3,1,2.66,1,2.58,-14.65
7,192.4,-60.8,3.5,16.0,20.0,12.7,17.0,E-W,17.1,38.1,13.8,15.8,188.2,19.4,75.5,11.7,18.9,1,3.28,1,3.28,-13.71
8,206.0,-56.3,2.91,20.0,16.0,12.3,17.2,E-W,21.0,38.2,12.1,15.8,184.3,19.1,78.7,12.3,19.6,1,4.38,1,4.45,-12.79
9,204.0,-52.7,2.57,16.0,20.0,15.0,18.6,N-S,18.8,37.8,13.2,15.7,184.2,16.8,61.8,12.5,20.9,1,8.59,1,8.67,-9.89
10,193.8,-51.4,2.79,20.0,16.0,12.2,16.9,N-S,20.0,36.9,13.1,16.6,187.2,16.8,65.9,13.1,18.5,1,9.22,1,9.84,-7.02
11,194.2,-58.8,3.79,20.0,16.0,11.3,14.9,N-S,20.8,37.1,13.2,18.6,187.1,18.9,73.5,11.8,18.6,1,5.16,1,5.16,-9.74
12,203.0,-55.0,2.78,16.0,20.0,10.8,14.9,N-S,16.2,39.3,14.3,16.4,189.3,18.4,72.4,11.8,20.2,1,4.84,1,4.92,-9.99
13,189.9,-53.0,3.61,16.0,20.0,15.3,19.0,N-S,19.7,39.4,13.7,16.3,187.3,16.7,62.2,12.6,19.8,1,5.31,1,5.62,-13.33
14,193.4,-58.4,2.6,16.0,20.0,14.1,18.7,N-S,17.8,38.6,13.1,16.6,188.6,19.4,63.2,13.3,20.4,1,7.03,1,7.03,-11.62
15,191.8,-53.3,3.23,16.0,20.0,13.4,18.0,N-S,20.1,36.2,14.8,18.6,185.7,16.5,62.4,12.5,20.2,1,5.31,1,5.62,-12.38
16,201.8,-51.1,3.06,16.0,20.0,10.6,14.6,N-S,20.6,38.5,13.3,16.4,187.1,19.2,67.9,13.9,20.3,1,3.28,1,3.28,-11.36
17,195.3,-56.9,3.44,16.0,20.0,15.7,19.7,N-S,18.9,40.1,14.5,18.1,187.4,17.8,72.3,13.8,20.3,1,2.97,1,2.81,-16.88
18,196.0,-60.7,3.39,16.0,20.0,12.3,16.2,N-S,19.7,38.3,13.5,17.4,186.6,18.0,63.3,13.3,17.8,1,7.66,1,8.2,-7.95
19,204.0,-59.7,3.76,20.0,16.0,15.3,19.4,E-W,18.0,36.4,13.2,17.0,188.8,18.3,66.3,10.6,18.5,1,3.59,1,3.52,-15.93
20,198.1,-50.9,3.44,16.0,20.0,11.2,15.7,E-W,18.7,40.1,13.1,18.0,184.9,17.5,69.4,12.8,18.7,1,5.31,1,5.39,-10.27
21,198.0,-58.4,2.55,20.0,16.0,12.7,17.2,N-S,17.3,38.5,13.7,18.7,188.9,16.1,71.1,11.2,20.4,1,6.41,1,6.33,-10.87
22,207.3,-53.3,3.63,20.0,16.0,9.7,14.6,N-S,18.8,37.3,13.0,18.3,186.7,19.5,77.1,13.3,20.5,0,,0,19.22,4.67
23,192.0,-58.8,3.17,20.0,16.0,12.0,15.2,E-W,17.9,38.7,14.1,16.9,184.8,19.6,72.0,10.7,18.2,1,5.16,1,5.16,-10.05
24,195.2,-58.4,3.01,20.0,16.0,11.6,16.5,N-S,21.6,37.1,13.1,19.0,184.8,19.3,75.9,12.1,18.9,1,8.12,1,8.67,-7.8
25,193.1,-56.7,3.8,16.0,20.0,15.8,19.6,N-S,19.6,35.6,13.9,16.7,185.5,17.5,64.6,13.6,19.3,1,5.47,1,5.62,-13.99
26,198.1,-60.4,2.66,20.0,16.0,12.9,16.5,E-W,16.8,39.5,13.3,16.5,185.7,17.3,69.2,12.3,19.3,1,7.5,1,7.97,-8.51
27,208.1,-50.4,3.57,16.0,20.0,10.7,14.6,N-S,18.5,39.8,12.6,17.2,183.9,18.5,79.5,12.7,18.4,1,7.97,1,7.97,-6.64
28,183.5,-50.9,3.52,20.0,16.0,13.9,18.7,E-W,18.4,38.6,14.2,18.9,185.2,16.3,74.7,12.6,20.6,1,5.47,1,5.39,-13.29
29,194.5,-51.7,3.52,16.0,20.0,13.7,18.2,E-W,18.9,39.0,14.7,18.8,185.2,17.0,74.8,11.4,16.9,1,2.34,1,2.34,-15.9
30,192.6,-54.3,3.21,16.0,20.0,13.0,16.2,N-S,18.3,38.8,14.4,18.0,185.5,19.1,66.8,13.2,19.8,1,4.69,1,4.69,-11.47
31,192.1,-60.8,3.22,16.0,20.0,12.2,15.7,N-S,19.8,40.2,13.2,16.6,185.0,16.3,79.0,13.3,18.2,1,8.12,1,6.09,-9.65
32,192.4,-51.6,3.33,20.0,16.0,13.3,18.1,N-S,18.6,40.6,14.2,17.1,186.0,17.3,64.6,12.5,17.8,1,7.97,1,8.44,-9.62
33,184.8,-60.6,2.9,20.0,16.0,9.7,14.6,N-S,20.3,36.2,13.8,17.3,185.0,16.3,67.2,13.5,21.3,1,7.19,1,8.2,-6.36
34,202.4,-56.3,3.61,16.0,20.0,11.8,16.8,E-W,18.5,39.5,13.0,18.0,185.5,16.8,73.2,13.1,19.4,1,2.81,1,2.81,-13.98
35,206.4,-52.3,2.6,16.0,20.0,10.4,14.4,N-S,18.8,36.9,12.5,18.8,185.8,18.7,62.8,12.6,18.7,1,5.94,1,5.86,-8.53
36,207.1,-58.2,3.37,20.0,16.0,11.9,16.7,E-W,17.8,38.1,14.0,18.1,184.6,16.4,65.1,12.6,18.9,1,5.31,1,5.39,-11.26
37,190.5,-57.8,2.77,20.0,16.0,11.4,16.2,N-S,21.7,38.6,13.2,18.7,184.8,19.9,77.7,12.1,17.7,1,3.59,1,3.75,-12.45
38,190.5,-52.5,2.95,16.0,20.0,13.9,18.0,E-W,21.7,39.3,14.2,18.1,188.1,17.5,74.8,13.4,20.1,1,5.16,1,5.62,-12.37
39,203.0,-51.6,2.53,20.0,16.0,11.5,14.8,E-W,18.2,37.2,13.6,17.0,186.7,17.9,66.8,13.2,18.6,1,7.81,1,5.16,-9.61
40,207.0,-59.3,2.97,20.0,16.0,15.3,19.0,N-S,20.2,38.0,13.2,17.6,186.6,18.5,70.6,12.9,20.8,1,4.22,1,4.22,-14.77
41,195.6,-58.3,2.93,16.0,20.0,10.4,14.7,N-S,16.4,38.6,12.7,16.5,184.1,18.3,70.5,12.9,18.4,1,7.81,1,8.44,-6.29
42,204.1,-56.3,2.78,16.0,20.0,13.4,17.2,E-W,16.3,41.3,13.9,17.3,186.9,18.9,70.3,11.7,20.8,1,5.62,1,5.62,-11.61
43,207.4,-57.5,3.18,20.0,16.0,14.8,18.8,N-S,18.7,38.7,13.6,16.0,185.6,17.5,63.9,11.9,20.0,1,5.62,1,5.62,-13.2
44,202.7,-57.8,2.54,20.0,16.0,13.9,17.8,N-S,19.2,37.8,12.6,18.2,185.1,18.5,61.8,11.1,19.6,1,7.34,1,7.27,-10.49
45,187.2,-59.8,3.51,20.0,16.0,11.9,15.9,E-W,20.9,39.4,12.7,15.9,184.8,19.7,69.5,11.7,20.4,1,5.16,1,5.16,-10.74
46,207.5,-50.2,3.6,16.0,20.0,13.5,18.0,N-S,17.3,37.3,13.1,18.4,187.1,18.5,72.9,12.1,17.5,1,2.97,0,18.05,0.03
47,193.7,-58.3,3.76,20.0,16.0,12.3,16.8,E-W,19.7,38.5,13.0,15.7,189.2,16.8,73.2,14.0,19.6,1,3.44,1,3.52,-13.25
48,190.2,-52.1,3.03,20.0,16.0,13.4,17.8,N-S,18.5,38.5,12.5,16.9,186.5,16.2,71.8,12.6,20.5,1,4.84,1,4.92,-12.86
49,196.6,-53.9,3.59,16.0,20.0,14.6,18.1,E-W,17.3,34.9,13.9,16.5,185.8,18.3,64.8,11.6,20.6,1,4.69,1,4.69,-13.41
50,207.3,-57.0,2.63,16.0,20.0,10.8,14.9,N-S,18.2,36.9,14.4,16.7,189.3,18.7,65.1,13.5,21.7,1,8.28,1,8.2,-6.74
51,197.9,-59.0,3.0,20.0,16.0,15.1,18.5,E-W,20.5,35.7,14.2,16.5,187.7,16.6,75.1,11.9,19.5,1,8.28,1,8.44,-10.06
52,202.4,-50.5,3.45,20.0,16.0,12.5,16.7,N-S,18.6,37.0,14.2,18.5,186.4,19.5,76.4,11.9,20.7,1,4.53,1,4.69,-11.99
53,184.6,-51.6,2.71,20.0,16.0,10.5,15.3,N-S,17.1,38.4,14.1,18.7,183.6,16.7,76.3,13.3,22.2,1,7.03,1,7.5,-7.76
54,187.0,-55.8,3.34,20.0,16.0,11.6,15.9,N-S,21.3,37.9,12.4,16.6,185.5,19.3,72.3,13.2,21.4,1,3.91,1,3.98,-11.89
55,204.5,-51.0,2.82,20.0,16.0,11.9,15.3,N-S,17.9,38.6,14.4,16.4,186.8,18.4,67.4,13.8,21.3,1,4.69,1,4.69,-10.63
56,199.9,-54.5,3.68,16.0,20.0,11.9,16.0,E-W,20.3,35.0,13.1,17.0,185.6,18.0,74.6,12.9,20.9,1,2.34,1,2.34,-13.68
57,200.8,-52.7,3.67,16.0,20.0,13.0,16.5,N-S,18.3,37.4,13.8,17.8,186.7,17.8,73.2,12.2,21.0,1,2.5,1,2.58,-13.87
58,197.0,-60.8,3.64,20.0,16.0,15.3,19.1,N-S,19.6,38.7,13.6,15.8,186.1,18.3,77.5,12.9,20.1,1,2.81,1,2.81,-16.3
59,185.1,-53.0,2.85,20.0,16.0,15.5,19.1,E-W,21.3,39.0,13.5,17.4,187.6,16.7,65.1,12.6,18.5,1,7.5,1,7.03,-12.04
60,188.1,-56.2,2.9,20.0,16.0,9.6,14.2,E-W,17.9,36.7,12.8,16.5,188.4,16.0,74.0,11.6,19.4,1,6.88,1,6.8,-7.44
61,189.2,-52.6,2.75,16.0,20.0,11.4,15.4,N-S,19.9,39.5,13.5,17.8,184.4,18.4,64.6,12.9,20.8,1,6.41,1,6.8,-8.63
62,196.5,-54.7,2.67,20.0,16.0,16.1,20.0,N-S,20.9,39.2,13.9,17.3,185.4,19.8,69.9,12.5,21.0,1,5.31,1,5.39,-14.58
63,208.4,-50.3,2.9,16.0,20.0,11.8,16.2,N-S,17.3,40.5,14.7,18.2,183.7,19.2,63.8,12.3,20.0,1,5.62,1,5.62,-10.55
64,200.9,-57.8,2.91,20.0,16.0,16.5,19.6,E-W,20.1,39.4,13.1,16.5,186.2,17.3,72.4,13.6,20.7,1,4.84,1,4.92,-14.66
65,204.1,-60.6,3.33,20.0,16.0,15.2,19.5,N-S,20.0,37.7,12.8,18.1,188.2,16.6,60.5,13.1,18.9,1,4.84,1,4.92,-14.62
66,199.1,-53.5,3.37,20.0,16.0,10.6,14.5,N-S,21.0,37.7,14.8,16.9,188.7,17.1,74.2,13.0,18.4,1,5.47,1,5.39,-9.07
