draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,162.8,-52.4,4.24,16.0,20.0,13.0,16.6,E-W,16.5,40.3,13.5,18.2,184.9,16.6,60.7,12.0,18.7,1,4.69,1,4.69,-11.93
1,162.2,-60.7,4.57,20.0,16.0,11.6,16.0,E-W,20.7,38.6,14.6,17.4,187.6,16.3,63.3,12.1,17.6,1,3.59,1,7.5,-8.52
2,181.1,-60.3,4.38,16.0,20.0,11.9,16.5,N-S,20.3,38.3,14.4,17.2,184.8,19.9,66.4,12.9,20.5,1,5.16,1,5.16,-11.32
3,166.6,-50.4,4.08,20.0,16.0,10.8,15.7,N-S,21.3,40.1,14.6,17.1,187.0,18.8,76.1,12.4,19.1,1,2.34,1,2.34,-13.4
4,179.2,-60.6,4.72,16.0,20.0,16.1,19.2,N-S,18.6,40.9,12.8,17.0,183.5,17.9,69.3,13.2,19.2,1,2.97,1,3.05,-16.14
5,169.5,-57.2,4.04,20.0,16.0,15.7,19.4,N-S,21.0,38.4,14.3,18.4,188.3,19.8,72.3,13.5,18.0,1,2.03,1,1.88,-17.55
6,171.3,-50.9,4.26,16.0,20.0,12.7,16.0,E-W,21.1,36.9,12.8,17.3,185.7,17.4,79.2,11.5,19.7,1,3.91,1,3.98,-12.05
7,178.2,-50.6,4.18,20.0,16.0,14.1,17.9,N-S,21.1,40.3,13.8,17.6,184.3,16.4,72.2,11.5,18.0,1,2.19,1,2.11,-15.79
8,170.7,-54.2,4.4,20.0,16.0,16.6,19.6,N-S,16.1,36.6,12.4,17.7,186.1,19.7,63.9,13.1,19.9,1,2.66,1,2.58,-17.03
9,176.7,-60.1,4.88,16.0,20.0,12.3,15.8,N-S,17.9,39.2,13.9,16.7,187.7,18.5,61.8,11.6,19.4,1,6.41,1,6.56,-9.28
10,181.0,-53.3,4.0,16.0,20.0,10.8,15.5,N-S,16.6,40.0,13.5,18.7,185.4,19.6,78.4,12.2,20.9,1,4.69,1,4.69,-10.86
11,171.3,-54.3,3.97,20.0,16.0,13.1,17.3,E-W,21.8,34.9,13.7,16.4,184.5,17.8,61.2,12.4,20.2,1,5.0,1,5.39,-11.94
12,174.8,-53.6,4.89,16.0,20.0,10.4,15.4,E-W,17.6,36.6,13.3,18.4,184.1,17.7,67.7,11.5,19.3,1,6.41,1,6.56,-8.82
13,177.5,-52.7,4.02,16.0,20.0,10.8,14.2,E-W,20.6,40.7,14.1,16.2,187.7,19.9,70.1,12.9,20.1,1,4.69,1,4.69,-9.55
