draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,160.0,-51.7,5.11,16.0,20.0,11.4,16.0,N-S,19.2,39.6,13.6,17.8,188.2,16.1,68.1,12.5,19.0,1,2.97,1,10.31,-5.7
1,181.3,-58.0,5.34,20.0,16.0,12.5,16.2,N-S,19.8,36.0,12.9,16.4,185.9,16.1,65.1,12.6,20.0,1,3.12,1,3.05,-13.11
2,172.2,-60.3,5.52,20.0,16.0,10.0,14.8,N-S,19.6,38.5,13.4,17.6,183.8,18.7,68.7,12.4,21.5,1,4.84,1,4.92,-9.83
3,166.7,-60.1,5.3,20.0,16.0,9.7,14.4,N-S,18.9,35.5,13.7,17.9,187.4,17.8,60.8,13.1,18.2,1,1.25,1,1.41,-13.02
4,167.7,-59.6,5.33,16.0,20.0,12.4,15.5,E-W,19.5,36.2,13.2,17.1,184.4,19.5,74.6,12.0,19.2,1,2.66,1,1.64,-13.86
5,173.7,-55.2,5.26,20.0,16.0,12.4,16.8,N-S,20.8,38.9,12.4,18.1,186.5,18.2,78.5,12.3,19.0,1,0.0,1,0.0,-16.79
6,172.6,-53.5,5.27,16.0,20.0,11.0,14.6,E-W,20.4,37.9,14.6,17.1,188.0,16.0,79.2,11.5,18.0,1,8.12,1,8.2,-6.41
7,180.3,-57.0,5.05,16.0,20.0,11.0,14.5,E-W,16.4,36.4,12.8,18.4,185.6,18.7,64.4,12.4,19.8,1,0.31,1,0.0,-14.5
8,173.0,-54.5,5.76,16.0,20.0,10.9,14.2,N-S,16.5,39.5,13.4,19.1,184.3,19.9,72.0,13.7,19.0,1,1.72,1,1.64,-12.51
9,174.8,-53.1,5.48,16.0,20.0,11.9,15.5,N-S,16.3,39.7,13.5,16.6,187.3,17.0,77.7,12.6,21.4,1,2.97,1,2.81,-12.66
10,171.5,-54.8,5.18,16.0,20.0,13.4,17.6,N-S,16.5,38.1,13.2,16.9,187.4,16.6,64.1,13.3,18.4,1,3.75,1,3.98,-13.65
11,177.6,-58.6,5.54,16.0,20.0,14.5,18.0,N-S,19.3,37.5,13.6,16.4,188.9,16.8,67.0,12.3,20.7,1,1.88,1,1.41,-16.62
12,178.4,-55.7,5.25,16.0,20.0,11.3,15.3,E-W,16.6,37.4,13.1,18.7,185.2,18.7,64.8,13.3,20.7,1,0.47,1,0.0,-15.25
13,172.8,-51.3,5.51,16.0,20.0,14.7,17.8,E-W,19.9,38.0,13.5,17.2,187.1,17.9,77.3,13.6,19.2,1,0.0,1,0.0,-17.77
14,159.3,-56.7,5.1,20.0,16.0,12.6,15.6,N-S,21.7,38.1,14.1,17.3,188.2,18.5,73.0,12.5,18.6,1,3.28,1,3.28,-12.31
15,176.7,-53.0,5.53,16.0,20.0,10.1,14.9,N-S,19.3,38.0,12.6,16.4,184.0,18.7,66.1,12.5,17.8,1,0.0,1,0.0,-14.92
16,161.4,-53.4,5.53,20.0,16.0,16.7,19.8,E-W,16.0,37.8,13.2,17.8,183.6,17.2,73.6,12.5,20.3,1,1.25,1,1.41,-18.41
17,177.0,-59.9,5.23,20.0,16.0,14.0,17.3,N-S,21.7,36.7,13.1,16.9,189.4,17.7,61.8,14.3,20.6,1,1.56,1,1.17,-16.16
18,163.8,-54.1,5.66,20.0,16.0,15.6,19.1,E-W,19.6,39.8,14.0,18.2,185.0,16.1,68.0,11.6,18.1,1,2.34,1,3.52,-15.59
19,166.5,-52.9,5.68,20.0,16.0,12.5,15.6,N-S,17.1,39.0,13.5,15.8,184.5,19.4,61.8,13.6,19.3,1,0.0,1,0.0,-15.6
