draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,155.3,-53.8,4.14,20.0,16.0,13.6,16.6,N-S,18.6,37.9,13.4,18.6,184.5,19.0,63.3,12.3,16.8,1,5.16,1,5.16,-11.45
1,145.5,-53.8,4.18,20.0,16.0,14.1,17.9,E-W,17.2,38.6,13.3,17.3,187.3,16.2,62.2,10.9,19.9,0,,0,22.73,4.79
2,155.2,-59.8,4.64,16.0,20.0,15.6,19.6,N-S,21.4,37.3,14.0,18.2,184.9,19.6,75.9,12.7,18.7,1,4.22,1,4.22,-15.39
3,137.5,-58.5,3.99,20.0,16.0,13.1,18.0,E-W,18.8,39.1,12.5,17.9,183.7,18.7,74.3,12.4,21.3,0,,0,23.2,5.22
4,136.4,-53.9,4.94,16.0,20.0,14.6,18.5,N-S,16.9,37.5,12.5,17.9,187.3,16.7,73.0,11.4,19.3,0,,1,18.52,-0.01
5,133.6,-51.4,3.87,20.0,16.0,15.2,18.3,N-S,17.1,39.3,12.4,17.6,184.3,18.0,69.3,13.3,20.3,1,5.31,1,5.39,-12.89
6,133.7,-52.6,4.83,16.0,20.0,16.0,19.6,N-S,20.0,39.1,12.4,16.9,189.2,16.0,68.8,13.9,20.5,1,2.5,1,2.11,-17.54
7,145.6,-60.9,4.74,16.0,20.0,10.1,15.0,E-W,18.1,38.5,12.9,17.8,187.1,19.0,71.8,13.3,19.5,0,,0,25.08,10.07
8,146.3,-60.8,3.82,20.0,16.0,11.2,14.8,E-W,18.5,38.1,12.5,16.8,183.6,16.3,79.8,12.7,19.0,0,,0,22.5,7.71
9,158.3,-60.9,3.92,16.0,20.0,15.0,18.8,E-W,19.9,36.9,13.9,17.7,185.3,17.2,65.3,13.6,19.8,1,2.81,1,9.38,-9.45
10,151.8,-50.4,4.19,16.0,20.0,10.3,14.4,N-S,19.2,37.3,14.0,16.7,189.0,17.0,68.2,11.2,20.9,0,,0,22.5,8.05
11,143.9,-50.8,4.04,20.0,16.0,15.2,19.5,N-S,21.5,37.6,13.0,17.2,187.2,16.4,64.6,11.3,20.5,0,,0,29.53,9.99
12,151.6,-53.5,3.94,16.0,20.0,15.0,18.8,N-S,18.7,39.6,13.3,16.5,184.7,17.3,61.8,13.0,18.5,0,,0,23.44,4.66
13,142.2,-58.5,4.55,20.0,16.0,11.2,14.8,E-W,19.7,37.8,13.0,17.8,186.2,20.0,78.4,12.5,20.2,0,,0,23.2,8.38
14,146.6,-59.6,4.14,20.0,16.0,10.5,14.7,E-W,19.5,41.7,12.9,18.1,186.3,17.5,71.0,11.0,17.7,1,1.88,1,1.88,-12.83
15,155.6,-55.1,4.97,16.0,20.0,10.6,15.2,N-S,20.8,39.1,14.0,16.4,184.4,17.0,65.1,12.5,20.4,1,1.72,1,1.88,-13.28
16,139.8,-52.9,4.85,20.0,16.0,12.5,15.7,E-W,16.3,38.6,12.5,17.1,185.7,18.4,77.7,13.0,20.4,0,,0,22.5,6.78
17,149.1,-50.0,4.06,16.0,20.0,11.5,16.5,N-S,17.9,38.9,13.8,16.8,188.4,18.9,61.3,13.0,19.7,0,,0,22.73,6.28
18,139.9,-50.3,4.19,16.0,20.0,15.1,19.2,N-S,17.7,39.3,13.6,16.7,187.7,19.2,69.6,11.2,19.5,0,,0,23.44,4.21
19,137.7,-60.8,4.7,20.0,16.0,12.1,15.9,N-S,16.9,38.7,12.9,17.0,187.3,17.9,79.0,10.8,17.5,0,,0,21.8,5.94
20,146.9,-51.7,4.41,16.0,20.0,15.1,18.9,N-S,16.4,39.5,14.5,16.6,185.1,16.0,61.5,12.1,18.5,0,,0,25.31,6.38
21,134.8,-50.3,4.7,16.0,20.0,15.9,19.3,N-S,21.1,37.9,14.0,19.2,185.8,18.5,79.3,13.7,18.4,1,2.19,1,1.88,-17.45
22,148.2,-52.1,4.1,16.0,20.0,11.0,15.0,N-S,19.1,36.1,13.6,18.1,189.1,17.7,77.5,12.2,17.5,1,4.84,1,4.92,-10.11
23,144.7,-59.4,3.87,16.0,20.0,11.5,15.5,N-S,19.4,37.9,13.2,16.9,189.2,18.2,66.1,13.0,20.2,0,,0,26.72,11.2
24,134.2,-51.5,4.37,20.0,16.0,13.0,17.8,N-S,21.0,37.0,13.8,18.5,187.2,19.9,65.7,12.3,19.1,1,3.28,1,3.28,-14.56
25,147.1,-55.5,3.82,16.0,20.0,11.5,16.3,E-W,20.2,39.4,13.6,17.1,188.3,17.5,63.6,12.9,21.0,0,,0,23.2,6.86
26,154.2,-52.1,4.54,20.0,16.0,14.1,17.5,E-W,18.5,37.3,13.4,16.9,187.8,19.9,62.2,11.6,18.6,1,1.09,1,1.17,-16.3
27,146.2,-57.3,4.75,20.0,16.0,12.6,16.4,N-S,19.9,39.8,13.2,16.2,187.7,18.2,60.9,11.6,18.0,0,,0,19.45,3.1
28,137.6,-50.8,4.71,20.0,16.0,15.6,18.6,E-W,21.0,37.6,13.7,16.3,187.8,16.6,66.1,13.5,19.5,1,3.75,1,3.75,-14.87
29,151.0,-55.7,4.4,20.0,16.0,16.7,20.0,E-W,18.6,40.0,12.7,16.9,188.7,19.5,63.0,14.1,19.7,1,1.25,1,1.17,-18.79
30,142.8,-60.1,4.08,16.0,20.0,14.7,17.8,E-W,16.1,40.1,14.2,17.4,184.0,19.9,66.8,11.6,19.5,0,,0,26.95,9.11
31,153.3,-56.9,4.26,20.0,16.0,16.2,20.0,N-S,17.6,38.2,13.8,17.0,187.5,17.8,62.1,11.8,21.1,1,3.59,1,3.52,-16.45
32,137.1,-53.1,4.85,16.0,20.0,10.4,14.8,N-S,18.7,36.2,12.9,18.7,185.3,16.5,66.5,13.4,19.2,0,,0,22.73,7.97
33,145.6,-60.5,3.89,16.0,20.0,11.0,15.1,E-W,20.0,37.5,12.3,18.5,183.5,16.8,76.4,12.2,20.1,0,,0,26.72,11.58
34,137.3,-56.7,4.71,16.0,20.0,14.2,17.4,N-S,21.5,37.4,12.5,16.0,186.6,17.9,74.9,12.0,16.9,0,,0,24.84,7.48
35,156.4,-51.5,3.82,16.0,20.0,11.6,16.1,N-S,18.5,39.3,13.8,16.5,186.5,19.5,78.6,12.4,19.2,1,5.16,1,5.16,-10.97
36,139.0,-53.4,3.84,20.0,16.0,9.6,14.1,E-W,18.3,34.9,14.4,18.7,189.1,18.9,68.3,11.3,19.3,0,,0,23.91,9.76
37,141.5,-55.4,4.03,16.0,20.0,12.2,16.9,N-S,17.3,38.8,12.9,18.7,187.8,16.2,69.7,12.9,18.5,0,,0,28.12,11.26
38,135.3,-56.6,4.42,20.0,16.0,10.8,14.5,E-W,17.3,36.3,12.7,16.2,186.9,18.5,62.3,12.5,20.4,0,,0,21.33,6.79
39,140.8,-52.0,4.1,20.0,16.0,13.2,16.3,E-W,20.4,38.0,12.6,16.4,184.9,17.9,76.4,12.3,19.8,0,,0,28.12,11.83
40,154.5,-57.7,4.79,16.0,20.0,15.9,19.7,N-S,18.3,40.0,14.5,17.8,186.2,18.5,64.0,12.2,21.5,1,1.56,1,1.64,-18.09
41,156.7,-55.6,4.99,20.0,16.0,16.8,20.0,N-S,17.3,39.0,12.7,18.4,186.8,17.4,71.8,12.0,19.7,1,2.19,1,2.11,-17.84
