draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
0,136.4,-53.3,5.03,20.0,16.0,11.1,15.3,N-S,20.5,38.0,12.3,18.0,183.6,19.1,60.2,12.8,18.8,0,,0,20.86,5.51
1,133.5,-54.9,5.23,16.0,20.0,14.5,18.2,N-S,19.2,35.0,13.9,18.6,187.1,16.5,78.3,14.0,20.7,1,1.56,1,0.94,-17.27
2,141.7,-51.1,5.34,16.0,20.0,9.9,14.6,E-W,19.3,39.7,12.7,18.0,185.2,19.1,60.6,13.3,20.8,0,,0,24.61,9.99
3,157.5,-55.4,5.64,16.0,20.0,13.9,18.3,N-S,16.2,38.9,14.3,16.2,188.4,17.6,70.9,12.9,20.3,1,2.03,1,2.11,-16.15
4,138.0,-55.0,5.76,16.0,20.0,10.4,14.9,N-S,21.9,39.0,13.1,17.7,184.0,17.3,66.5,12.9,20.0,0,,0,20.16,5.23
5,143.1,-55.0,5.72,20.0,16.0,12.9,17.1,N-S,17.9,39.1,14.6,18.9,188.2,18.3,75.8,13.1,22.3,0,,0,22.03,4.97
6,138.3,-53.5,5.38,20.0,16.0,12.5,16.8,N-S,19.8,38.5,12.8,18.9,189.2,19.8,76.2,13.0,20.3,0,,0,19.69,2.93
7,153.3,-54.4,5.43,20.0,16.0,14.4,19.1,N-S,21.7,38.5,13.1,16.7,188.1,17.1,66.0,13.1,21.8,1,1.56,1,1.64,-17.42
8,140.0,-57.5,5.48,16.0,20.0,13.4,17.6,E-W,21.4,37.1,13.9,18.2,184.8,18.3,61.2,11.8,19.6,0,,0,23.2,5.58
9,154.8,-60.2,5.51,16.0,20.0,14.8,18.6,E-W,18.1,35.8,14.1,18.2,185.6,17.1,73.7,11.3,19.0,1,0.0,1,0.0,-18.62
10,135.7,-59.5,5.35,20.0,16.0,13.0,17.9,E-W,16.0,38.8,12.6,17.4,188.9,16.8,63.4,12.2,18.8,0,,0,20.62,2.71
11,150.6,-56.7,5.13,20.0,16.0,12.1,15.6,N-S,20.8,40.0,13.1,18.1,185.0,19.5,77.9,12.6,19.0,1,3.44,1,3.52,-12.1
12,150.6,-53.9,5.2,20.0,16.0,11.6,15.3,N-S,21.3,41.6,14.0,16.1,188.4,17.9,62.1,12.8,19.3,1,2.97,1,3.05,-12.28
13,136.8,-53.1,5.38,20.0,16.0,15.4,18.5,E-W,18.1,40.8,13.7,18.6,184.3,18.3,79.5,12.2,20.9,1,0.0,1,0.0,-18.48
14,136.2,-54.0,5.56,20.0,16.0,12.2,15.7,N-S,20.2,37.0,12.7,17.9,186.5,17.8,63.5,12.0,20.2,1,1.09,1,0.7,-14.97
15,137.5,-58.4,5.23,16.0,20.0,9.2,14.0,N-S,19.3,40.4,13.7,16.9,184.3,18.8,70.7,12.5,21.1,0,,0,20.62,6.61
