n,p_body,p_ridge,p_above5,p_above10,p_above20,H_med,H_p10,H_p90,above_med,above_p10,above_p90,position,eye
400,0.1675,0.2025,0.56,0.76,0.9775,20.505000000000003,5.62,32.34,4.38,-10.883000000000001,16.034000000000002,P1_white_west_fence_Bales,seated_at_grade
400,0.165,0.2075,0.6125,0.8225,0.9925,19.92,4.69,29.53,3.975,-11.453,12.866000000000003,P1_white_west_fence_Bales,seated_on_raised_walk
400,0.18,0.26,0.66,0.82,0.9925,19.45,3.026000000000001,30.23,3.035,-13.498,13.36,P1_white_west_fence_Bales,standing
400,0.0,0.0,0.0,0.0275,0.8125,33.52,29.53,38.22400000000001,16.435000000000002,12.095,21.612,P2_white_east_130,seated_at_grade
400,0.0,0.0,0.0,0.0575,0.8875,32.58,29.06,36.8,15.6,11.449,20.276,P2_white_east_130,seated_on_raised_walk
400,0.0,0.0,0.0,0.1,0.935,31.41,27.66,35.183,14.33,10.044,19.076,P2_white_east_130,standing
400,0.9725,0.9625,0.995,1.0,1.0,5.39,3.28,8.44,-11.125,-14.552000000000001,-7.396999999999999,P3_own_house_134,seated_at_grade
400,0.9675,0.9675,0.995,1.0,1.0,3.52,1.41,7.73,-13.21,-16.564999999999998,-8.501999999999997,P3_own_house_134,seated_on_raised_walk
400,0.9575,0.965,0.9975,1.0,1.0,2.34,0.0,7.03,-14.36,-17.871000000000002,-9.301999999999996,P3_own_house_134,standing
400,1.0,0.9975,1.0,1.0,1.0,5.16,3.52,7.5,-11.735,-14.612,-8.388,P4_vacant_lot_136,seated_at_grade
400,0.9975,1.0,1.0,1.0,1.0,3.52,1.17,7.054000000000006,-13.55,-16.704,-9.524999999999999,P4_vacant_lot_136,seated_on_raised_walk
400,0.9975,1.0,1.0,1.0,1.0,1.64,0.0,5.883000000000005,-15.035,-18.182,-10.490999999999998,P4_vacant_lot_136,standing
400,0.38,0.37,0.46,0.82,1.0,23.44,3.98,27.66,5.885,-13.600999999999999,11.314000000000002,P5_opposite_oleary,seated_at_grade
400,0.4225,0.4225,0.6125,0.9275,1.0,20.62,1.64,25.573000000000008,3.185,-16.096,9.401,P5_opposite_oleary,seated_on_raised_walk
400,0.3675,0.3825,0.6975,0.9775,1.0,20.16,0.23,24.14,2.925,-16.865,7.637000000000001,P5_opposite_oleary,standing
400,0.02,0.06,0.67,0.945,1.0,20.39,18.52,25.55,3.6799999999999997,0.42900000000000005,8.632000000000001,P1b_white_west_midpoint_Bales,seated_at_grade
400,0.015,0.14,0.75,0.96,1.0,19.69,17.81,22.97,2.9850000000000003,-0.6629999999999998,6.958000000000002,P1b_white_west_midpoint_Bales,seated_on_raised_walk
400,0.015,0.1875,0.8275,0.9925,1.0,19.22,17.34,21.823000000000008,2.48,-0.7809999999999999,5.577000000000002,P1b_white_west_midpoint_Bales,standing
