year,Dobrovolny_DJF_T_anom_C,Dobrovolny_MAM_T_anom_C,Dobrovolny_MAM_DE.ind,Dobrovolny_MAM_CH.ind,Dobrovolny_MAM_CZ.ind,Dobrovolny_JJA_T_anom_C,Dobrovolny_JJA_DE.ind,Dobrovolny_JJA_CH.ind,Dobrovolny_JJA_CZ.ind,Dobrovolny_SON_T_anom_C,Dobrovolny_APR_T_anom_C,Dobrovolny_APR_DE.ind,Dobrovolny_APR_CH.ind,Dobrovolny_APR_CZ.ind,Dobrovolny_MAY_T_anom_C,Dobrovolny_MAY_DE.ind,Dobrovolny_MAY_CH.ind,Dobrovolny_MAY_CZ.ind,Dobrovolny_JUN_T_anom_C,Dobrovolny_JUN_DE.ind,Dobrovolny_JUN_CH.ind,Dobrovolny_JUN_CZ.ind,Dobrovolny_JUL_T_anom_C,Dobrovolny_JUL_DE.ind,Dobrovolny_JUL_CH.ind,Dobrovolny_JUL_CZ.ind,Dobrovolny_AUG_T_anom_C,Dobrovolny_AUG_DE.ind,Dobrovolny_AUG_CH.ind,Dobrovolny_AUG_CZ.ind,Dobrovolny_ANN_T_anom_C,Glaser_Mar_Tindex,Glaser_Apr_Tindex,Glaser_May_Tindex,Glaser_Jun_Tindex,Glaser_Jul_Tindex,Glaser_Aug_Tindex,Glaser_MAM_sum,Glaser_JJA_sum,Luterbacher_EuropeMean_MAM_C,Luterbacher_EuropeMean_MAM_anom_vs_1500-1600,Luterbacher_EuropeMean_JJA_C,Luterbacher_EuropeMean_JJA_anom_vs_1500-1600,GHD_Als_days_after_31Aug,GHD_Bur_days_after_31Aug,GHD_Germany_days_after_31Aug,GHD_Switzerland(Leman_Lake)_days_after_31Aug,GHD_Jura_days_after_31Aug,GHD_Spain_days_after_31Aug,GHD_Northern_Lorraine_days_after_31Aug,GHD_SouthernRhoneValley_days_after_31Aug,Chuine2004_Burgundy_GHD_days_after_1Sep,Chuine2004_Burgundy_AprAug_T_anom_C
1510,-0.14,-1.47,-3.00,,,-0.62,-1.00,,,-0.72,0.48,0.00,,,-1.03,-1.00,,,-0.05,0.00,,,-1.48,-1.00,,,-0.11,0.00,,,-0.94,-2,0,-1,0,-1,0,-3,-1,6.99,-0.13,17.51,-0.05,,30.00,,35.00,,,,,-0.46,-0.46
1511,-2.89,-0.24,-1.00,,,-1.77,-2.00,-6.00,,-0.22,0.48,0.00,,,0.55,0.00,,,-1.15,0.00,-2.00,,-1.94,-1.00,-2.00,,-1.06,-1.00,-1.00,0.00,-1.37,-1,0,0,0,-1,-1,-1,-2,7.21,0.10,17.07,-0.49,,44.00,,35.00,,45.00,,,-1.56,-1.56
1512,-3.74,0.37,0.00,,,0.37,2.00,-1.00,3.00,0.36,0.48,0.00,,,2.14,1.00,,,0.02,0.00,-1.00,1.00,0.78,1.00,,1.00,1.09,1.00,,1.00,-0.50,-1,0,1,0,1,1,0,2,7.14,0.03,17.58,0.02,,24.00,,51.00,,35.00,,,0.03,0.03
1513,-3.74,-0.62,-2.00,-1.00,,-1.03,-2.00,,,-2.18,-1.13,-1.00,-1.00,,0.55,0.00,,,-1.31,-1.00,,,-0.40,0.00,,,-1.30,-1.00,,,-2.38,-1,-1,0,-1,0,-1,-2,-2,7.04,-0.07,17.51,-0.05,,,,33.00,,45.00,,,0.00,0.00
1514,-4.57,-1.64,-3.00,,-3.00,-0.62,-1.00,,,-1.12,-2.48,-2.00,,-1.00,0.55,0.00,,,-2.58,-2.00,,,-0.40,0.00,,,1.08,1.00,,,-1.51,-1,-2,0,-2,0,1,-3,-1,6.91,-0.20,17.57,0.01,,33.00,,35.00,,57.00,,,-1.02,-1.02
1515,0.33,-1.99,-4.00,-4.00,,-1.72,-2.00,-6.00,-3.00,-0.11,-1.13,-1.00,-1.00,,-2.37,-1.00,-3.00,,-1.73,0.00,-3.00,,-2.31,-1.00,-2.00,-2.00,-1.49,-1.00,-1.00,-1.00,-0.50,-2,-1,-1,0,-1,-1,-4,-2,6.65,-0.46,17.03,-0.53,,35.00,,36.00,,,,,-0.89,-0.89
1516,1.95,0.37,0.00,,,1.93,2.00,9.00,5.00,0.06,2.20,1.00,,,0.64,0.00,,0.00,1.93,1.00,,2.00,0.80,0.00,,2.00,1.09,1.00,,1.00,0.07,-1,1,0,1,0,1,0,2,7.47,0.36,18.08,0.52,,12.00,,46.00,,,,,1.29,1.29
1517,-3.68,0.03,1.00,-3.00,,0.20,1.00,,,-1.41,0.89,1.00,-1.00,,2.14,1.00,,,1.22,1.00,,,-0.40,0.00,,,-0.11,0.00,,,-0.65,-1,1,1,1,0,0,1,1,7.33,0.22,17.56,0.00,,26.00,,,,,,,-0.07,-0.07
1518,-1.14,0.49,1.00,,-1.00,-1.10,-2.00,,-2.00,-1.21,0.55,1.00,,-1.00,0.55,0.00,,,-2.17,-2.00,,-1.00,-0.44,1.00,,-1.00,-1.30,-1.00,,,-0.79,0,1,0,-2,1,-1,1,-2,7.18,0.07,17.39,-0.17,,22.00,,24.00,,45.00,,,-0.62,-0.62
1519,-0.50,1.15,0.00,,2.00,-0.55,1.00,-3.00,,-0.72,0.50,0.00,,0.00,0.63,-1.00,,1.00,1.48,2.00,-1.00,2.00,-0.40,0.00,,,-1.30,-1.00,,,-0.22,1,0,-1,2,0,-1,0,1,7.47,0.36,17.59,0.02,,40.00,,35.00,,,,,-1.22,-1.22
1520,0.54,-1.64,-3.00,,-3.00,0.61,2.00,,2.00,-1.21,-1.47,-1.00,,-1.00,-1.20,-1.00,,-1.00,1.29,1.00,,1.00,0.77,1.00,,1.00,-0.19,0.00,,0.00,-0.22,-1,-1,-1,1,1,0,-3,2,6.55,-0.56,17.62,0.06,,,,41.00,,47.00,,,-0.96,-0.96
1521,3.62,1.49,0.00,,3.00,-0.21,0.00,,,0.76,1.46,0.00,,1.00,1.56,0.00,,1.00,0.57,0.00,,1.00,-0.40,0.00,,,-0.11,0.00,,,0.65,0,0,0,0,0,0,0,0,7.65,0.54,17.74,0.18,,,,26.00,,,,,2.64,2.64
1522,-2.20,-0.24,-1.00,,,-0.62,-1.00,,,-0.22,0.48,0.00,,,-1.03,-1.00,,,-1.31,-1.00,,,-0.40,0.00,,,-0.11,0.00,,,-0.65,0,0,-1,-1,0,0,-1,-1,7.21,0.10,17.57,0.01,,36.00,,26.00,,,,,2.48,2.48
1523,0.50,0.37,0.00,,,-0.51,1.00,0.00,-3.00,-0.04,2.20,1.00,,,0.53,0.00,0.00,0.00,-1.76,0.00,-2.00,-2.00,-1.14,0.00,-1.00,-1.00,1.02,1.00,1.00,,0.22,-1,1,0,0,0,1,0,1,7.50,0.39,17.48,-0.08,,26.00,,41.00,,,,,4.10,4.10
1524,1.92,-0.25,-2.00,,0.00,-0.62,-1.00,,,-0.22,0.48,0.00,,,-2.12,-2.00,,-1.00,-1.31,-1.00,,,-0.40,0.00,,,-0.11,0.00,,,-0.50,0,0,-2,-1,0,0,-2,-1,7.10,-0.01,17.57,0.01,,,,35.00,,,,,1.03,1.03
1525,-1.45,-0.04,-1.00,0.00,,0.49,1.00,0.00,4.00,0.51,0.48,0.00,,,0.55,0.00,,,0.43,0.00,0.00,1.00,0.85,1.00,0.00,2.00,0.44,0.00,,1.00,-0.07,-1,0,0,0,1,0,-1,1,6.66,-0.45,17.82,0.26,,21.00,,,25.00,,,,0.38,0.38
