year,pdsi_strasbourg_cell,pdsi_strasbourg_cell_rank_wettest1,pdsi_strasbourg_cell_rank_driest1,pdsi_mean_3x3,pdsi_mean_3x3_rank_wettest1,pdsi_mean_5x5,pdsi_mean_5x5_rank_wettest1,cell_pctile_1000_2012
1510,0.961,28,74,1.156,23,0.959,25,0.748
1511,2.474,7,95,2.367,9,2.204,9,0.902
1512,1.183,24,78,0.825,31,0.599,39,0.776
1513,0.663,35,67,0.321,44,0.283,43,0.708
1514,-0.090,48,54,-0.064,48,-0.233,51,0.604
1515,2.586,5,97,2.705,7,2.384,6,0.917
1516,-0.474,57,45,-2.109,82,-2.027,83,0.542
1517,-6.787,99,3,-6.895,99,-6.474,99,0.013
1518,-4.590,98,4,-3.103,91,-3.005,93,0.083
1519,-1.320,71,31,-0.493,54,-0.633,59,0.412
1520,-1.706,76,26,-1.217,71,-1.332,72,0.365
1521,1.601,16,86,2.137,11,2.003,10,0.825
1522,1.009,25,77,0.863,29,0.843,30,0.755
1523,-1.014,65,37,-0.460,52,-0.566,55,0.456
1524,0.671,34,68,0.914,27,0.732,35,0.711
1525,-2.588,88,14,-2.517,87,-2.858,91,0.246
