year,MAM_precip_mm_cell,MAM_precip_mm_3x3,JJA_precip_mm_cell,JJA_precip_mm_3x3,MAM_precip_mm_cell_anom_vs_1500-1600,MAM_precip_mm_cell_z_1500-1600,MAM_precip_mm_cell_rank_wettest1_1500-1600,MAM_precip_mm_cell_anom_vs_1901-2000,JJA_precip_mm_cell_anom_vs_1500-1600,JJA_precip_mm_cell_z_1500-1600,JJA_precip_mm_cell_rank_wettest1_1500-1600,JJA_precip_mm_cell_anom_vs_1901-2000
1500,186.13,224.12,184.01,219.88,34.32,1.38,7.00,32.19,-48.20,-0.83,86.00,-28.33
1501,162.51,196.27,222.21,264.56,10.70,0.43,37.00,8.57,-10.00,-0.17,52.00,9.87
1502,149.87,179.86,193.18,230.06,-1.94,-0.08,58.00,-4.07,-39.03,-0.67,79.00,-19.16
1503,128.86,156.31,162.32,194.43,-22.95,-0.92,85.00,-25.08,-69.89,-1.20,90.00,-50.02
1504,123.11,150.74,147.85,178.06,-28.70,-1.15,90.00,-30.83,-84.36,-1.45,95.00,-64.49
1505,144.40,173.92,286.02,339.63,-7.41,-0.30,64.00,-9.54,53.81,0.93,20.00,73.68
1506,144.43,176.28,190.51,228.54,-7.38,-0.30,63.00,-9.51,-41.70,-0.72,81.00,-21.83
1507,154.89,189.95,218.94,261.75,3.08,0.12,48.00,0.95,-13.27,-0.23,57.00,6.60
1508,178.75,216.28,302.33,361.36,26.94,1.08,14.00,24.81,70.12,1.21,15.00,89.99
1509,148.80,180.75,188.26,224.27,-3.01,-0.12,59.00,-5.14,-43.95,-0.76,83.00,-24.08
1510,197.83,239.75,229.45,273.79,46.02,1.85,3.00,43.89,-2.76,-0.05,48.00,17.11
1511,178.78,217.28,320.07,381.56,26.97,1.08,13.00,24.84,87.86,1.51,6.00,107.73
1512,169.07,204.30,196.18,233.97,17.26,0.69,26.00,15.13,-36.03,-0.62,75.00,-16.16
1513,165.75,202.10,207.54,247.38,13.94,0.56,29.00,11.81,-24.67,-0.42,70.00,-4.80
1514,168.88,206.11,183.62,220.70,17.07,0.69,28.00,14.94,-48.59,-0.84,88.00,-28.72
1515,198.59,239.93,371.05,440.26,46.78,1.88,2.00,44.65,138.84,2.39,1.00,158.71
1516,150.36,182.88,159.03,190.88,-1.45,-0.06,57.00,-3.58,-73.18,-1.26,91.00,-53.31
1517,119.88,144.23,231.80,275.47,-31.93,-1.28,92.00,-34.06,-0.41,-0.01,46.00,19.46
1518,144.58,176.66,220.99,263.01,-7.23,-0.29,62.00,-9.36,-11.22,-0.19,55.00,8.65
1519,164.85,200.87,256.24,307.70,13.04,0.52,31.00,10.91,24.03,0.41,36.00,43.90
1520,168.92,206.56,218.56,260.08,17.11,0.69,27.00,14.98,-13.65,-0.23,58.00,6.22
1521,165.17,197.38,197.81,237.19,13.36,0.54,30.00,11.23,-34.40,-0.59,74.00,-14.53
1522,183.86,221.36,240.33,287.19,32.05,1.29,8.00,29.92,8.12,0.14,43.00,27.99
1523,158.26,191.50,242.18,289.16,6.45,0.26,45.00,4.32,9.97,0.17,41.00,29.84
1524,156.91,188.12,244.54,292.38,5.10,0.20,47.00,2.97,12.33,0.21,39.00,32.20
1525,160.12,192.65,212.68,254.16,8.31,0.33,39.00,6.18,-19.53,-0.34,64.00,0.34
1526,174.77,209.56,269.61,321.18,22.96,0.92,18.00,20.83,37.40,0.64,27.00,57.27
1527,174.29,209.98,222.01,265.14,22.48,0.90,20.00,20.35,-10.20,-0.18,53.00,9.67
1528,163.43,198.17,263.64,311.88,11.62,0.47,34.00,9.49,31.43,0.54,30.00,51.30
1529,172.69,206.27,339.47,403.73,20.88,0.84,23.00,18.75,107.26,1.84,4.00,127.13
1530,148.08,177.01,205.25,245.12,-3.73,-0.15,60.00,-5.86,-26.96,-0.46,71.00,-7.09
1531,182.06,217.70,244.41,290.43,30.25,1.21,9.00,28.12,12.20,0.21,40.00,32.07
1532,129.26,154.70,185.81,222.55,-22.55,-0.90,84.00,-24.68,-46.40,-0.80,84.00,-26.53
1533,163.75,197.29,266.88,317.60,11.94,0.48,32.00,9.81,34.67,0.60,28.00,54.54
1534,127.60,154.59,109.22,131.65,-24.21,-0.97,89.00,-26.34,-122.99,-2.11,98.00,-103.12
1535,194.87,236.09,223.22,265.25,43.06,1.73,4.00,40.93,-8.99,-0.15,50.00,10.88
1536,134.38,160.84,101.44,122.23,-17.43,-0.70,75.00,-19.56,-130.77,-2.25,100.00,-110.90
1537,191.29,230.08,310.30,366.85,39.48,1.58,6.00,37.35,78.09,1.34,11.00,97.96
1538,151.87,182.15,183.74,218.10,0.06,0.00,56.00,-2.07,-48.47,-0.83,87.00,-28.60
1539,179.78,217.25,236.41,281.13,27.97,1.12,12.00,25.84,4.20,0.07,44.00,24.07
1540,63.37,74.91,61.26,74.50,-88.44,-3.55,101.00,-90.57,-170.95,-2.94,101.00,-151.08
1541,142.75,173.14,259.96,308.10,-9.06,-0.36,68.00,-11.19,27.75,0.48,33.00,47.62
1542,201.78,243.97,300.14,355.10,49.97,2.01,1.00,47.84,67.93,1.17,16.00,87.80
1543,159.23,194.45,263.26,312.43,7.42,0.30,43.00,5.29,31.05,0.53,31.00,50.92
1544,132.34,161.52,292.24,345.42,-19.47,-0.78,79.00,-21.60,60.03,1.03,19.00,79.90
1545,182.04,218.97,194.09,232.26,30.23,1.21,10.00,28.10,-38.12,-0.66,78.00,-18.25
1546,132.06,161.01,214.56,255.22,-19.75,-0.79,81.00,-21.88,-17.65,-0.30,62.00,2.22
1547,137.12,167.67,190.26,227.75,-14.69,-0.59,73.00,-16.82,-41.95,-0.72,82.00,-22.08
1548,163.09,198.84,219.15,261.23,11.28,0.45,35.00,9.15,-13.06,-0.22,56.00,6.81
1549,128.86,155.17,208.61,248.71,-22.95,-0.92,85.00,-25.08,-23.60,-0.41,68.00,-3.73
1550,194.72,236.84,234.99,281.90,42.91,1.72,5.00,40.78,2.78,0.05,45.00,22.65
1551,153.76,184.75,213.15,255.17,1.95,0.08,51.00,-0.18,-19.06,-0.33,63.00,0.81
1552,153.24,186.70,311.68,372.67,1.43,0.06,52.00,-0.70,79.47,1.37,9.00,99.34
1553,158.10,191.13,211.04,251.08,6.29,0.25,46.00,4.16,-21.17,-0.36,65.00,-1.30
1554,108.70,131.50,199.84,239.10,-43.11,-1.73,97.00,-45.24,-32.37,-0.56,73.00,-12.50
1555,160.13,192.51,303.78,361.34,8.32,0.33,38.00,6.19,71.57,1.23,14.00,91.44
1556,139.02,171.03,147.32,177.13,-12.79,-0.51,70.00,-14.92,-84.89,-1.46,96.00,-65.02
1557,133.09,160.22,217.22,259.10,-18.72,-0.75,77.00,-20.85,-14.99,-0.26,59.00,4.88
1558,134.20,160.40,184.06,220.31,-17.61,-0.71,76.00,-19.74,-48.15,-0.83,85.00,-28.28
1559,136.60,166.32,139.39,167.66,-15.21,-0.61,74.00,-17.34,-92.82,-1.60,97.00,-72.95
1560,146.63,176.77,315.36,374.98,-5.18,-0.21,61.00,-7.31,83.15,1.43,8.00,103.02
1561,127.73,152.92,155.86,185.49,-24.08,-0.97,88.00,-26.21,-76.35,-1.31,92.00,-56.48
1562,176.98,214.84,250.36,297.50,25.17,1.01,15.00,23.04,18.15,0.31,37.00,38.02
1563,144.06,173.17,310.61,368.58,-7.75,-0.31,65.00,-9.88,78.40,1.35,10.00,98.27
1564,162.81,199.10,231.60,275.82,11.00,0.44,36.00,8.87,-0.61,-0.01,47.00,19.26
1565,171.44,207.23,228.16,272.33,19.63,0.79,24.00,17.50,-4.05,-0.07,49.00,15.82
1566,159.64,193.35,221.47,264.45,7.83,0.31,40.00,5.70,-10.74,-0.18,54.00,9.13
1567,97.10,117.24,151.42,180.88,-54.71,-2.20,99.00,-56.84,-80.79,-1.39,94.00,-60.92
1568,138.00,168.00,277.79,330.83,-13.81,-0.55,71.00,-15.94,45.58,0.78,22.00,65.45
1569,152.22,184.99,315.54,372.49,0.41,0.02,54.00,-1.72,83.33,1.43,7.00,103.20
1570,128.73,155.66,278.36,336.25,-23.08,-0.93,87.00,-25.21,46.15,0.79,21.00,66.02
1571,89.73,107.53,273.87,329.90,-62.08,-2.49,100.00,-64.21,41.66,0.72,24.00,61.53
1572,122.98,146.71,216.96,261.01,-28.83,-1.16,91.00,-30.96,-15.25,-0.26,60.00,4.62
1573,159.49,193.75,294.94,351.43,7.68,0.31,42.00,5.55,62.73,1.08,17.00,82.60
1574,132.13,159.05,208.08,249.69,-19.68,-0.79,80.00,-21.81,-24.13,-0.41,69.00,-4.26
1575,173.41,210.51,155.36,187.91,21.60,0.87,21.00,19.47,-76.85,-1.32,93.00,-56.98
