year,Strasbourg_Wheat_Cent_per_Kg,Strasbourg_WhiteBread_Cent_per_Kg,Strasbourg_BrownBread_Cent_per_Kg,Strasbourg_Rye_Cent_per_Kg,Strasbourg_Barley_Cent_per_Kg,Strasbourg_Oats_Cent_per_Kg,Strasbourg_Wine_Francs_per_Litre,Strasbourg_wage_Mason_Francs_per_Day,Strasbourg_wage_Labourer_Francs_per_Day,Frankfurt_Rye_pfennig_per_Achtel,Frankfurt_Oats_pfennig_per_Achtel,Frankfurt_Wheat_pfennig_per_Achtel,Frankfurt_Rye_gAg_per_litre,Frankfurt_Wheat_gAg_per_litre,Strasbourg_Wheat_Cent_per_Kg_index_vs_1500-1530_median,Strasbourg_Rye_Cent_per_Kg_index_vs_1500-1530_median,Strasbourg_WhiteBread_Cent_per_Kg_index_vs_1500-1530_median,Frankfurt_Rye_pfennig_per_Achtel_index_vs_1500-1530_median
1500,3.90,8.50,,3.45,2.33,1.14,,1.03,0.83,108.00,,,0.21,,125.00,156.00,111.00,100.00
1501,3.62,8.50,,3.02,2.66,1.60,0.07,0.83,,161.00,95.40,160.00,0.32,0.32,116.00,137.00,111.00,149.00
1502,3.93,8.50,,3.19,1.73,1.36,0.10,1.24,0.83,126.00,,162.00,0.25,0.32,126.00,144.00,111.00,117.00
1503,3.45,7.67,,2.98,2.21,1.60,0.05,1.03,0.83,,92.60,,,,111.00,135.00,100.00,
1504,3.10,7.67,,2.58,1.98,1.77,0.07,1.00,1.00,,99.00,199.00,,0.40,99.00,117.00,100.00,
1505,,,,,,,0.07,1.00,0.80,216.00,,,0.43,,,,,200.00
1506,2.15,6.00,,1.68,0.99,,0.08,1.00,0.80,,48.00,,,,69.00,76.00,78.00,
1507,2.32,6.00,,1.50,0.82,,0.10,1.20,0.80,90.00,48.00,,0.18,,74.00,68.00,78.00,83.00
1508,,,,,,,0.08,1.00,0.80,99.00,58.90,144.00,0.20,0.29,,,,92.00
1509,1.46,5.33,,1.37,0.77,0.92,0.10,1.00,0.80,,72.00,,,,47.00,62.00,69.00,
1510,,,,,,,0.08,1.00,1.00,,62.70,,,,,,,
1511,4.58,10.00,,2.12,1.24,1.13,0.09,1.23,0.87,,50.00,,,,147.00,96.00,130.00,
1512,3.12,7.67,,2.00,1.20,1.07,0.14,0.97,0.77,81.00,85.40,,0.16,,100.00,90.00,100.00,75.00
1513,3.08,7.67,,2.00,1.33,1.07,0.16,1.16,0.77,108.00,89.10,,0.21,,99.00,90.00,100.00,100.00
1514,3.12,7.67,,2.08,1.00,1.29,0.12,1.16,0.77,108.00,,,0.21,,100.00,94.00,100.00,100.00
1515,,,,,,,0.11,1.16,0.77,81.00,45.00,,0.16,,,,,75.00
1516,4.92,9.33,,4.20,2.79,1.95,0.06,,,108.00,102.00,,0.21,,158.00,190.00,122.00,100.00
1517,4.71,10.00,,3.00,2.38,1.71,,0.97,0.77,,,,,,151.00,136.00,130.00,
1518,2.33,6.00,,2.25,1.46,1.29,0.16,1.16,0.77,,96.00,,,,75.00,102.00,78.00,
1519,2.38,6.00,,1.70,1.26,1.37,0.09,0.97,0.87,,,,,,76.00,77.00,78.00,
1520,2.62,7.00,,2.21,1.37,1.29,0.13,,,112.00,,,0.22,,84.00,100.00,91.00,104.00
1521,3.16,7.67,,2.29,1.29,,0.13,0.97,0.77,,,,,,101.00,104.00,100.00,
1522,3.01,7.67,,2.46,1.29,,,0.97,,,,,,,96.00,111.00,100.00,
1523,3.16,7.67,,2.62,1.46,1.25,0.09,1.16,0.77,,,,,,101.00,119.00,100.00,
1524,2.66,7.00,,2.12,2.00,,,0.97,,,,,,,85.00,96.00,91.00,
1525,,,,2.18,,,0.12,1.03,0.75,,,,,,,99.00,,
1526,2.43,6.00,,2.02,,,,,,,,,,,78.00,91.00,78.00,
1527,3.40,7.67,,1.91,1.46,,,,,,68.30,153.00,,0.30,109.00,86.00,100.00,
1528,,,,3.56,,,,,,108.00,72.20,177.00,0.21,0.35,,161.00,,100.00
1529,,,,,,,,,,,84.00,,,,,,,
1530,,,,,,,0.09,1.12,0.84,130.00,108.00,299.00,0.26,0.59,,,,120.00
