year,OWDA_JJA_scPDSI_cell,OWDA_rank_driest1_of_1500-1600,OWDA_3x3_mean,Pauling_MAM_precip_anom_mm,Pauling_MAM_rank_wettest1,Pauling_JJA_precip_anom_mm,Pauling_JJA_rank_wettest1,Luterbacher_cell_MAM_T_anom_C,Luterbacher_cell_JJA_T_anom_C,Luterbacher_cell_JJA_rank_warmest1,Dobrovolny_DJF_T_anom_C,Dobrovolny_MAM_T_anom_C,Dobrovolny_JJA_T_anom_C,Dobrovolny_SON_T_anom_C,Dobrovolny_MAY_T_anom_C,Dobrovolny_JUN_T_anom_C,Dobrovolny_JUL_T_anom_C,Glaser_MAM_sum,Glaser_JJA_sum,GHD_Bur_days_after_31Aug,Chuine2004_Burgundy_AprAug_T_anom_C,Strasbourg_Wheat_Cent_per_Kg,Strasbourg_Rye_Cent_per_Kg,Strasbourg_Rye_Cent_per_Kg_index_vs_1500-1530_median,Strasbourg_WhiteBread_Cent_per_Kg,Strasbourg_wage_Labourer_Francs_per_Day,Frankfurt_Rye_pfennig_per_Achtel
1512,1.18,78,0.82,17.26,26.00,-36.03,75.00,0.44,0.02,47.00,-3.74,0.37,0.37,0.36,2.14,0.02,0.78,0,2,24.00,0.03,3.12,2.00,90.00,7.67,0.77,81.00
1513,0.66,67,0.32,13.94,29.00,-24.67,70.00,-0.25,-0.08,53.00,-3.74,-0.62,-1.03,-2.18,0.55,-1.31,-0.40,-2,-2,,0.00,3.08,2.00,90.00,7.67,0.77,108.00
1514,-0.09,54,-0.06,17.07,28.00,-48.59,88.00,-0.35,0.08,42.00,-4.57,-1.64,-0.62,-1.12,0.55,-2.58,-0.40,-3,-1,33.00,-1.02,3.12,2.08,94.00,7.67,0.77,108.00
1515,2.59,97,2.71,46.78,2.00,138.84,1.00,-1.41,-1.30,92.00,0.33,-1.99,-1.72,-0.11,-2.37,-1.73,-2.31,-4,-2,35.00,-0.89,,,,,0.77,81.00
1516,-0.47,45,-2.11,-1.45,57.00,-73.18,91.00,0.61,0.85,17.00,1.95,0.37,1.93,0.06,0.64,1.93,0.80,0,2,12.00,1.29,4.92,4.20,190.00,9.33,,108.00
1517,-6.79,3,-6.89,-31.93,92.00,-0.41,46.00,0.28,-0.03,52.00,-3.68,0.03,0.20,-1.41,2.14,1.22,-0.40,1,1,26.00,-0.07,4.71,3.00,136.00,10.00,0.77,
1518,-4.59,4,-3.10,-7.23,62.00,-11.22,55.00,0.51,-0.49,73.00,-1.14,0.49,-1.10,-1.21,0.55,-2.17,-0.44,1,-2,22.00,-0.62,2.33,2.25,102.00,6.00,0.77,
1519,-1.32,31,-0.49,13.04,31.00,24.03,36.00,0.61,-0.24,59.00,-0.50,1.15,-0.55,-0.72,0.63,1.48,-0.40,0,1,40.00,-1.22,2.38,1.70,77.00,6.00,0.87,
1520,-1.71,26,-1.22,17.11,27.00,-13.65,58.00,-0.66,0.12,41.00,0.54,-1.64,0.61,-1.21,-1.20,1.29,0.77,-3,2,,-0.96,2.62,2.21,100.00,7.00,,112.00
1521,1.60,86,2.14,13.36,30.00,-34.40,74.00,0.77,0.45,25.00,3.62,1.49,-0.21,0.76,1.56,0.57,-0.40,0,0,,2.64,3.16,2.29,104.00,7.67,0.77,
