11955	17271213	dl	1727-1728	2	p	Double Falshood Or The Distrest Lovers	Principal Parts Wilks Mills Williams Corey Harper Griffin Norris Mrs Porter Mrs Booth but edition of 1728 lists Duke Angelo Corey Roderick Mills Henriquez Wilks Don Bernard Harper Camillo Griffin Julio Booth Citizen Oates Master of Flocks Bridgwater 1st Shepherd Norris 2d Shepherd Ray Leonora Mrs Porter Violante Mrs Booth Prologue by Phillip Frowde Wilks Epilogue Mrs Oldfield	Written Originally by Shakespear  By Lewis Theobald  Theophilus Cibber Booths Illnessreturned soon after his playing King Henry VIII  He was then studying the Part of Julio in the Double Falsehood he rehearsed it several times when the Play begin ready for acting he was prevented appearing in it by a Relapse into his former Indisposition The Part was supplied a few Nights by Mr Charles Williams a promising Player who died young to whom Mr Booth had given the Part to study as doubting the Certainty of his being able to appear in it himself But at Mr Theobalds Entreaty backed by many Gentlemen and Ladies he good naturedly but fatally disregarded his Indisposition which was then an intermitting Fever and acted that Part from the fifth to the twelfth Night which was alas the last time of his Appearance on tle Stage Lives and Characters pp 82 83
11957	17271214	dl	1727-1728	2	p	Double Falshood	As17271213	
11960	17271215	dl	1727-1728	2	p	Double Falshood	As17271213	For the Benefit of the Author of Shakespear Restord
11962	17271216	dl	1727-1728	2	p	Double Falshood	As17271213	
11965	17271218	dl	1727-1728	2	p	Double Falshood	As17271213	
11967	17271219	dl	1727-1728	2	p	Double Falshood	As17271213 but Julio Booth	Benefit the Author of Shakespear Restord
11969	17271220	dl	1727-1728	2	p	Double Falshood	As17271219	
11971	17271221	dl	1727-1728	2	p	Double Falshood	As17271219	
11973	17271222	dl	1727-1728	2	p	Double Falshood	As17271219	Benefit the Author of Shakespear Restord
11975	17271226	dl	1727-1728	2	p	Double Falshood	As17271219 but With the Coronation Scene 	
12001	17280109	dl	1727-1728	2	p	Double Falshood	See17271219 but Julio Booth With the Coronation Scene 	EEgerton 2320 The last time Mr Booth Plaid
12128	17280318	dl	1727-1728	2	p	Double Falshood	See17271213	Benefit Mrs Booth  At the Particular Desire of several Ladies of Quality  Written Originally by Shakespear
12199	17280501	dl	1727-1728	2	p	Double Falshood	See17271219 but Parts Wilks Mills Williams Corey Griffin Harper Norris Bridgwater Mrs Porter Mrs Booth	Benefit Griffin  Written Originally by Shakespear
12688	17290421	dl	1728-1729	2	p	The Double Falshood Or The Distressd Lovers	With the Epilogue Mrs Oldfield	Benefit the Author of Shakespeare Restord  Mainpiece Written Originally by Shakespear
20318	17401213	cg	1740-1741	3	p	Double Falshood Or The Distrest Lovers	Julio Delane Henriquez Hale Leonora Mrs Horton Roderick Ryan Don Bernardo Rosco Duke Angelo Stephens Master of Flocks Bridgwater 1st Shepherd Neale 2d Shepherd James Camillo Hippisley Citizen Oates Fabian Arthur Lopez Stoppelaer Gerald Bencraft Violante Mrs Woffington With a New Prologue  the Original Epilogue 	Written Originally by Shakespear and revised and adapted to the Stage by Mr Theobald  Receipts 129 19s 6d Account Book 130 Rylands MS
20321	17401215	cg	1740-1741	3	p	Double Falshood	As17401213 With a New Prologue  the Original Epilogue  	As 13 Dec  Receipts 35 16s Account Book 35 Rylands MS
20685	17410515	cg	1740-1741	3	p	Double Falshood	As17401213 but Citizen Harrington Violante Mrs Hale With the last new Prologue  the Original Epilogue 	By Command of their Royal Highnesses the Prince and Princess of Wales Prince George and the Lady Augusta  Benefit the last Editor of Shakespear  Written Originally by Shakespear  Revised and adapted to the Stage by Mrs Theobald with the last new Prologue and the Original Epilogue  Receipts 100  Rylands MS Prince up but did not come
33643	17670424	cg	1766-1767	4	p	The Double Falsehood Or The Distrest Lovers	Julio Ross Duke Clarke Roderick Hull Don Bernard Walker Citizen Perry Master of Flocks Buck Camillo Gibson Shepherds Bennet Cushing Gentleman Gardner Servant R Smith Henriquez Smith Violante with original Song Miss Macklin Leonora Mrs Mattocks	Benefit for Gibson  Mainpiece Not acted these 25 years  Written originally by Shakespeare and revivd and adapted to the stage by Mr Theobald  Charges 66 5s  Profit to Gibson 37 18s 6d plus 30 15s from Tickets Box 79 Pit 74  Paid one years Rectors Rate for the Theatre 8 6s 8d and for House in Bow Passage due at Lady Day 8s 4d Account Book  Neville attended noted the information contained in the playbill but could not hear well from his 2s seat in the Gallery  Receipts 104 3s 6d Account Book
