id,feature,lat,lon,source,note
tent_TL1810_office,Tent - TL 18.10 (Konstantinov group; office determination 18 Oct 2012),61.7585611,59.4294361,"dyatlovpass.com/tent-location (A. Konstantinov, 'Determining where the Dyatlov group's tent was found in 1959', 9 Oct 2024)","Published as 61°45'30.82''N 59°25'45.97''E; centre of a ~10 m radius circle; author claims 1-2 m accuracy after 2019/2023 field work"
tent_TL1810_field,Tent - TL 18.10 (on-site GPS 2019/2023),61.7585278,59.4294167,"dyatlovpass.com/tent-location (Konstantinov 2024)","Published as '65° 45' 30.7'' N and 59° 25' 45.9'' E' (the 65 is a typo for 61); discrepancy from office value ~3 m"
tent_dyatlovpass_map,Tent - dyatlovpass.com Google map placemark 'Tent',61.7585389,59.4294268,"dyatlovpass.com Google My Maps (mid=1ir_5s1TxKPbmckWlLdNRzfqb5ZE), KML export","'This is the location where three independent Russian researchers agree the tent was standing when it was found in 1959. It is marked with a cairn and metal pin'"
tent_prosecutors_2019,Tent - Prosecutor's office 2019-20 determination (declared +/-50 m),61.7595562,59.4299706,"dyatlovpass.com Google My Maps placemark 'Tent (prosecutors)'","'According to the prosecutor's calculation from photos taken in 1959 and elaborate geodetic measurements the tent was 116 m to the North'; Konstantinov: 115 m from TL 18.10"
tent_borzenkov_gps_2009,Tent - Borzenkov GPS reading (2009; 'TL VAB'),61.7590333,59.4294167,"dyatlovpass.com/tent-location quoting Borzenkov 2009: 'N = XXgrXX.542'; E = XXgrXX.765'; H = 2965 ft (903.7 m)' deciphered by Konstantinov as 61°45.542'N 59°25.765'E","Konstantinov notes this reading does not coincide with the spot Borzenkov marked in his photo (TL VAB 12 letters, 170 m from TL 18.10); the GPS reading itself lies ~55 m N of TL 18.10"
tent_semyashkin_2010_as_published,Marker of the Semyashkin 2010 winter expedition (as printed),61.7573833,59.4377500,"dyatlovpass.com/tent-location quoting Semyashkin 2010 report: 'N 61.45.443; E 59.26.265'","Read as 61°45.443'N 59°26.265'E this point is ~440 m EAST of all other tent candidates, contradicting the article's own statement that it lies 30-50 m from Buyanov's and Borzenkov's positions; treat as a transcription/datum error - NOT used in the analysis"
new_monument_sculpture,'New monument' sculpture near the tent site,61.7589433,59.4286827,"dyatlovpass.com Google My Maps placemark 'New monument'","Konstantinov: 'an awkward sculpture installed by enthusiasts several years ago'; ~60 m NW of TL 18.10"
cedar,The cedar (fire site; Doroshenko & Krivonischenko found here),61.7650062,59.4554272,"dyatlovpass.com Google My Maps placemark 'The cedar tree' (also 'Dead cedar' 61.7650084 59.4554413)","Ivanov's resolution (sheet 386): 1500 m from the tent at the forest boundary"
doroshenko,Yuri Doroshenko body,61.7650076,59.4554141,"dyatlovpass.com Google My Maps","1 m north of the fire (scene protocol sheet 3)"
krivonischenko,Yuri Krivonischenko body,61.7650092,59.4553966,"dyatlovpass.com Google My Maps","next to Doroshenko"
dyatlov,Igor Dyatlov body,61.7635133,59.4501804,"dyatlovpass.com Google My Maps placemark","Ivanov: 300 m from the fire toward the tent; scene protocol (sheet 4): 400 m SW of the two bodies; Maslennikov (sheet 62-75): 300 m from the cedar"
slobodin,Rustem Slobodin body,61.7626626,59.4472703,"dyatlovpass.com Google My Maps placemark","Ivanov: 180 m from Dyatlov toward the tent; found 5 March 1959 under 15 cm of snow"
kolmogorova,Zinaida Kolmogorova body,61.7621755,59.4445806,"dyatlovpass.com Google My Maps placemark","Ivanov: 150 m from Slobodin (i.e. 630 m from the fire); scene protocol (sheet 4): 500 m SW of Dyatlov; Maslennikov: 350 m from Dyatlov uphill"
ravine_dubinina,Lyudmila Dubinina body (ravine),61.7650727,59.4539013,"dyatlovpass.com Google My Maps placemark","found 5 May 1959; Ivanov: 75 m from the fire toward the 4th tributary valley under 4-4.5 m of snow"
ravine_thibeaux,Nikolay Thibeaux-Brignolle body (ravine),61.7650511,59.4539523,"dyatlovpass.com Google My Maps placemark",""
ravine_zolotaryov,Semyon Zolotaryov body (ravine),61.7650460,59.4539121,"dyatlovpass.com Google My Maps placemark",""
ravine_kolevatov,Aleksander Kolevatov body (ravine),61.7650358,59.4539497,"dyatlovpass.com Google My Maps placemark",""
den_flooring,Den / flooring (nastil) - approximate,61.7650514,59.4539289,"Mean of the four ravine body placemarks; case file (den protocol, sheets 341-343 via dyatlovpass.com/the-den): den found 6 m up the creek from the bodies at 2.5-3 m depth","No separate published coordinate found; position = ravine bodies +/-10 m"
