station,name,dist_km,date,tmax_c,tmin_c,tavg_c,prcp_mm,snwd_mm,flags
RSM00023921,Ivdel,131,1959-01-28,-4.7,-20.4,-11.8,0.0,,PRCP:T
RSM00023921,Ivdel,131,1959-01-29,-6.4,-17.9,-9.4,0.0,,
RSM00023921,Ivdel,131,1959-01-30,-5.7,-22.4,-13.2,0.0,,
RSM00023921,Ivdel,131,1959-01-31,-5.5,-22.3,-9.4,0.0,,
RSM00023921,Ivdel,131,1959-02-01,-4.7,-11.2,-7.5,0.0,,
RSM00023921,Ivdel,131,1959-02-02,-9.7,-20.3,-13.6,0.0,,
RSM00023921,Ivdel,131,1959-02-03,-8.8,-17.3,-11.1,0.0,,
RSM00023921,Ivdel,131,1959-02-04,-10.7,-32.3,-23.4,0.2,,
RSM00023921,Ivdel,131,1959-02-05,-25.7,-36.1,-31.6,0.0,,
RSM00023921,Ivdel,131,1959-02-24,-10.4,-23.6,-16.3,1.2,,
RSM00023921,Ivdel,131,1959-02-25,-4.1,-26.3,-16.3,0.0,,PRCP:T
RSM00023921,Ivdel,131,1959-02-26,-3.7,-20.0,-14.2,0.0,,
RSM00023921,Ivdel,131,1959-02-27,-6.6,-26.9,-17.2,0.0,,
RSM00023921,Ivdel,131,1959-02-28,-5.5,-19.5,-12.4,0.0,,
RSM00023921,Ivdel,131,1959-03-01,-1.2,-21.1,-11.8,0.0,,
RSM00023921,Ivdel,131,1959-03-02,-0.4,-7.7,-3.6,0.3,,
RSM00023921,Ivdel,131,1959-03-03,3.5,-2.6,-0.7,0.0,,
RSM00023921,Ivdel,131,1959-03-04,5.3,-11.7,-4.7,0.0,,
RSM00023921,Ivdel,131,1959-03-05,5.6,-16.1,-5.3,0.0,,
RSM00023921,Ivdel,131,1959-03-06,3.1,-5.2,0.7,0.0,,
RSM00023921,Ivdel,131,1959-03-07,7.8,-9.9,-1.2,0.0,,
RSM00023921,Ivdel,131,1959-03-08,3.1,-14.6,-4.3,0.0,,
RSM00023921,Ivdel,131,1959-03-09,5.5,-11.6,-5.1,0.0,,
RSM00023921,Ivdel,131,1959-03-10,6.2,-10.9,-1.9,0.0,,
RSM00023724,Nyaksimvol,106,1959-01-28,-6.5,-9.1,-8.2,0.0,,PRCP:T
RSM00023724,Nyaksimvol,106,1959-01-29,-8.1,-26.3,-16.8,0.0,,
RSM00023724,Nyaksimvol,106,1959-01-30,-14.4,-27.4,-19.6,0.1,,
RSM00023724,Nyaksimvol,106,1959-01-31,-5.0,-20.1,-10.3,0.5,,
RSM00023724,Nyaksimvol,106,1959-02-01,-4.5,-13.9,-9.4,0.2,,
RSM00023724,Nyaksimvol,106,1959-02-02,-13.1,-30.8,-19.7,1.0,,
RSM00023724,Nyaksimvol,106,1959-02-03,-8.3,-18.3,-12.8,1.4,,
RSM00023724,Nyaksimvol,106,1959-02-04,-17.2,-33.8,-29.0,0.1,,
RSM00023724,Nyaksimvol,106,1959-02-05,-30.3,-39.9,-35.0,0.0,,
RSM00023724,Nyaksimvol,106,1959-02-24,-9.2,-16.7,-13.4,1.0,,
RSM00023724,Nyaksimvol,106,1959-02-25,-6.6,-23.3,-13.9,0.1,,
RSM00023724,Nyaksimvol,106,1959-02-26,-4.5,-18.6,-10.5,0.1,,
RSM00023724,Nyaksimvol,106,1959-02-27,-7.7,-28.3,-18.6,0.0,,
RSM00023724,Nyaksimvol,106,1959-02-28,-8.7,-23.0,-18.5,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-01,-2.4,-29.2,-16.2,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-02,2.5,-6.9,-3.5,0.6,,
RSM00023724,Nyaksimvol,106,1959-03-03,3.5,-4.0,-1.2,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-04,7.1,-10.3,-3.8,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-05,5.5,-17.1,-5.2,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-06,2.0,-1.5,0.0,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-07,7.7,-5.6,1.2,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-08,3.3,-7.4,-2.6,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-09,2.8,-3.3,0.2,0.0,,
RSM00023724,Nyaksimvol,106,1959-03-10,3.0,-3.0,-1.2,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-01-28,-6.5,-11.3,-9.2,2.8,,
RSM00023711,Troitsko-Pechorsk,197,1959-01-29,-5.6,-13.3,-9.6,1.6,,
RSM00023711,Troitsko-Pechorsk,197,1959-01-30,-6.4,-24.6,-18.8,0.1,,
RSM00023711,Troitsko-Pechorsk,197,1959-01-31,-4.6,-19.1,-7.7,2.4,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-01,-4.5,-15.6,-9.6,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-02,-8.7,-20.7,-14.2,0.6,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-03,-9.0,-19.0,-12.5,3.4,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-04,-18.4,-35.5,-31.2,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-05,-18.2,-34.6,-24.8,0.1,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-24,-8.0,-13.2,-10.8,0.2,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-25,-6.4,-13.4,-10.3,1.4,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-26,-6.4,-13.5,-9.2,0.0,,PRCP:T
RSM00023711,Troitsko-Pechorsk,197,1959-02-27,-6.9,-18.7,-13.8,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-02-28,-10.5,-25.7,-17.4,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-03-01,-7.7,-25.6,-16.0,0.7,,
RSM00023711,Troitsko-Pechorsk,197,1959-03-02,1.7,-8.6,-1.8,1.4,,
RSM00023711,Troitsko-Pechorsk,197,1959-03-03,0.4,-5.6,-3.1,0.0,,PRCP:T
RSM00023711,Troitsko-Pechorsk,197,1959-03-04,-2.6,-13.4,-7.0,0.0,,PRCP:T
RSM00023711,Troitsko-Pechorsk,197,1959-03-05,3.4,-5.4,-1.9,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-03-06,5.8,-2.0,1.2,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-03-07,3.3,-8.4,-3.9,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-03-08,0.8,-10.9,-5.7,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-03-09,2.0,-3.9,-0.9,0.0,,
RSM00023711,Troitsko-Pechorsk,197,1959-03-10,1.4,-3.6,-2.3,0.7,,
RSM00023914,Cherdyn,217,1959-01-28,-6.2,-9.9,-8.4,0.9,,
RSM00023914,Cherdyn,217,1959-01-29,-6.6,-9.9,-7.8,0.8,,
RSM00023914,Cherdyn,217,1959-01-30,-8.1,-19.0,-12.8,1.2,,
RSM00023914,Cherdyn,217,1959-01-31,-7.0,-18.6,-9.7,1.4,,
