azimuth_deg,horizon_elev_deg
0,-2.07
1,-2.42
2,-2.76
3,-3.11
4,-3.44
5,-3.56
6,-3.69
7,-3.82
8,-3.99
9,-3.93
10,-3.88
11,-3.85
12,-3.86
13,-3.85
14,-3.82
15,-3.77
16,-3.77
17,-3.77
18,-3.77
19,-3.77
20,-3.77
21,-3.79
22,-3.8
23,-3.85
24,-3.87
25,-3.94
26,-4.02
27,-4.11
28,-4.2
29,-4.29
30,-4.32
31,-4.28
32,-4.23
33,-4.18
34,-4.13
35,-4.12
36,-4.14
37,-4.18
38,-4.23
39,-4.3
40,-4.35
41,-4.27
42,-4.15
43,-4.1
44,-4.09
45,-4.12
46,-4.1
47,-4.08
48,-4.0
49,-3.85
50,-3.72
51,-3.53
52,-3.38
53,-3.25
54,-3.17
55,-3.11
56,-3.02
57,-2.87
58,-2.71
59,-2.54
60,-2.4
61,-2.27
62,-2.13
63,-1.98
64,-1.81
65,-1.63
66,-1.44
67,-1.12
68,-0.71
69,-0.41
70,-0.2
71,-0.08
72,-0.02
73,0.04
74,0.07
75,0.05
76,-0.12
77,-0.25
78,-0.31
79,-0.35
80,-0.39
81,-0.43
82,-0.59
83,-0.82
84,-1.06
85,-1.32
86,-1.47
87,-1.59
88,-1.7
89,-1.78
90,-1.84
91,-1.84
92,-1.82
93,-1.82
94,-1.88
95,-2.01
96,-2.11
97,-2.2
98,-2.29
99,-2.43
100,-2.65
101,-2.89
102,-3.05
103,-3.19
104,-3.07
105,-2.96
106,-2.89
107,-2.85
108,-2.82
109,-2.82
110,-2.86
111,-2.93
112,-3.04
113,-3.17
114,-3.32
115,-3.54
116,-3.77
117,-4.02
118,-4.26
119,-4.45
120,-4.38
121,-4.3
122,-4.23
123,-4.13
124,-4.07
125,-4.0
126,-3.95
127,-3.88
128,-3.81
129,-3.67
130,-3.55
131,-3.42
132,-3.28
133,-3.17
134,-3.02
135,-2.89
136,-2.74
137,-2.59
138,-2.43
139,-2.24
140,-2.02
141,-1.83
142,-1.61
143,-1.37
144,-1.14
145,-0.94
146,-0.73
147,-0.44
148,-0.09
149,0.21
150,0.36
151,0.41
152,0.34
153,0.22
154,0.09
155,-0.02
156,-0.2
157,-0.38
158,-0.63
159,-0.8
160,-0.89
161,-1.02
162,-1.33
163,-1.59
164,-1.7
165,-1.53
166,-1.36
167,-1.19
168,-0.98
169,-0.74
170,-0.5
171,-0.26
172,-0.02
173,0.23
174,0.47
175,0.72
176,0.97
177,1.22
178,1.47
179,1.72
180,1.97
181,2.22
182,2.49
183,2.77
184,3.05
185,3.34
186,3.7
187,4.08
188,4.46
189,4.84
190,5.21
191,5.63
192,6.11
193,6.56
194,7.01
195,7.45
196,7.82
197,8.18
198,8.56
199,8.93
200,9.27
201,9.6
202,9.92
203,10.26
204,10.58
205,10.89
206,11.23
207,11.55
208,11.88
209,12.22
210,12.56
211,12.86
212,13.18
213,13.5
214,13.76
215,13.98
216,14.17
217,14.35
218,14.58
219,14.81
220,15.03
221,15.28
222,15.43
223,15.54
224,15.67
225,15.98
226,16.27
227,16.48
228,16.69
229,16.83
230,16.97
231,17.04
232,17.08
233,17.11
234,17.13
235,17.13
236,17.11
237,17.09
238,17.07
239,17.02
240,16.85
241,16.69
242,16.52
243,16.36
244,16.2
245,16.16
246,16.28
247,16.36
248,16.48
249,16.59
250,16.69
251,16.78
252,16.87
253,16.95
254,17.02
255,17.09
256,17.16
257,17.2
258,17.23
259,17.25
260,17.27
261,17.29
262,17.27
263,17.23
264,17.21
265,17.18
266,17.14
267,17.1
268,17.06
269,17.01
270,16.95
271,16.89
272,16.82
273,16.75
274,16.62
275,16.48
276,16.34
277,16.23
278,16.16
279,16.11
280,16.07
281,16.04
282,16.03
283,16.01
284,15.99
285,15.97
286,15.95
287,15.92
288,15.88
289,15.84
290,15.8
291,15.75
292,15.69
293,15.63
294,15.57
295,15.5
296,15.42
297,15.34
298,15.25
299,15.18
300,15.1
301,15.0
302,14.89
303,14.78
304,14.67
305,14.55
306,14.42
307,14.3
308,14.19
309,14.05
310,13.89
311,13.74
312,13.59
313,13.44
314,13.28
315,13.1
316,12.92
317,12.75
318,12.57
319,12.39
320,12.21
321,11.94
322,11.75
323,11.56
324,11.36
325,11.13
326,10.84
327,10.65
328,10.46
329,10.17
330,9.83
331,9.6
332,9.25
333,8.86
334,8.47
335,8.07
336,7.68
337,7.28
338,6.88
339,6.49
340,6.09
341,5.69
342,5.3
343,4.9
344,4.51
345,4.11
346,3.71
347,3.32
348,2.9
349,2.47
350,2.04
351,1.6
352,1.17
353,0.73
354,0.29
355,-0.13
356,-0.53
357,-0.94
358,-1.34
359,-1.72
