dist_m,lat,lon,elev_m,grad25_deg,grad50_deg,grad100_deg,segment_grad_deg
0.0,61.758539,59.429427,898.9,14.8,14.3,13.9,13.5
25.0,61.758643,59.429846,892.9,13.0,13.3,13.7,12.8
50.0,61.758747,59.430265,887.2,13.2,13.0,12.8,13.1
75.0,61.758852,59.430684,881.4,12.2,12.2,12.5,11.5
100.0,61.758956,59.431103,876.3,11.7,12.0,13.1,12.6
125.0,61.75906,59.431523,870.7,13.7,14.0,13.7,15.2
150.0,61.759164,59.431942,863.9,16.1,15.3,14.3,15.2
175.0,61.759269,59.432361,857.1,14.3,14.7,14.4,14.4
200.0,61.759373,59.43278,850.7,13.5,13.5,14.0,12.6
225.0,61.759477,59.433199,845.1,13.1,13.2,13.7,13.7
250.0,61.759581,59.433618,839.0,14.1,13.9,13.5,14.1
275.0,61.759686,59.434037,832.7,13.9,13.8,12.5,13.5
300.0,61.75979,59.434457,826.7,11.1,11.2,11.5,8.9
325.0,61.759894,59.434876,822.8,8.8,9.2,10.4,9.5
350.0,61.759999,59.435295,818.6,9.9,9.7,9.6,9.8
375.0,61.760103,59.435714,814.3,10.0,9.9,9.9,10.2
400.0,61.760207,59.436133,809.8,9.7,10.0,10.0,9.8
425.0,61.760311,59.436552,805.5,10.5,10.1,10.1,10.2
450.0,61.760416,59.436971,801.0,9.9,10.1,10.2,10.2
475.0,61.76052,59.437391,796.5,10.4,10.4,10.8,10.6
500.0,61.760624,59.43781,791.8,11.5,11.4,11.1,12.2
525.0,61.760728,59.438229,786.4,12.0,11.8,11.5,11.5
550.0,61.760833,59.438648,781.3,11.3,11.6,11.8,11.5
575.0,61.760937,59.439067,776.2,11.9,11.8,12.0,12.0
600.0,61.761041,59.439486,770.9,12.4,12.4,11.9,12.8
625.0,61.761145,59.439905,765.2,12.1,12.1,12.0,11.3
650.0,61.76125,59.440325,760.2,11.4,11.7,12.2,12.0
675.0,61.761354,59.440744,754.9,12.6,12.3,11.7,12.6
700.0,61.761458,59.441163,749.3,11.5,11.7,11.6,10.9
725.0,61.761562,59.441582,744.5,11.1,10.9,11.0,10.9
750.0,61.761667,59.442001,739.7,10.6,10.3,10.2,9.8
775.0,61.761771,59.44242,735.4,9.0,9.5,9.7,9.1
800.0,61.761875,59.442839,731.4,9.1,9.1,9.3,9.3
825.0,61.761979,59.443259,727.3,9.2,9.1,9.2,8.9
850.0,61.762084,59.443678,723.4,8.4,9.3,9.7,9.8
875.0,61.762188,59.444097,719.1,11.4,10.3,9.7,10.9
900.0,61.762292,59.444516,714.3,9.6,10.0,9.8,9.1
925.0,61.762396,59.444935,710.3,9.1,9.2,9.7,9.3
950.0,61.762501,59.445354,706.2,9.7,9.4,9.5,9.5
975.0,61.762605,59.445773,702.0,9.5,9.8,9.8,10.0
1000.0,61.762709,59.446193,697.6,10.4,10.1,9.9,10.2
1025.0,61.762813,59.446612,693.1,9.9,10.0,9.8,9.8
1050.0,61.762918,59.447031,688.8,9.9,9.5,9.6,9.1
1075.0,61.763022,59.44745,684.8,8.1,9.1,9.8,9.1
1100.0,61.763126,59.447869,680.8,10.9,10.0,9.7,11.1
1125.0,61.76323,59.448288,675.9,9.3,10.2,9.4,9.5
1150.0,61.763335,59.448707,671.7,10.2,8.7,9.2,7.7
1175.0,61.763439,59.449127,668.3,7.3,8.2,7.9,8.4
1200.0,61.763543,59.449546,664.6,7.4,7.1,6.4,5.9
1225.0,61.763648,59.449965,662.0,3.9,4.7,5.9,3.4
1250.0,61.763752,59.450384,660.5,5.5,4.7,4.7,5.7
1275.0,61.763856,59.450803,658.0,4.3,4.8,4.1,3.9
1300.0,61.76396,59.451222,656.3,3.8,3.5,4.0,3.2
1325.0,61.764065,59.451642,654.9,2.9,3.1,3.6,3.0
1350.0,61.764169,59.452061,653.6,4.2,3.6,3.1,4.3
1375.0,61.764273,59.45248,651.7,2.9,3.1,2.5,2.1
1400.0,61.764377,59.452899,650.8,1.0,1.3,2.7,0.5
1425.0,61.764482,59.453318,650.6,2.6,2.3,2.8,4.1
1450.0,61.764586,59.453737,648.8,3.5,4.3,3.6,4.6
1475.0,61.76469,59.454156,646.8,5.7,5.0,4.0,5.5
1500.0,61.764794,59.454576,644.4,4.0,3.8,3.1,2.1
1525.0,61.764899,59.454995,643.5,0.7,1.2,2.2,0.2
1550.0,61.765003,59.455414,643.4,0.7,0.7,0.8,
