route,waypoint,km_from_island,stades_177.6,stades_185,z_dem_m,lat,lon,source
R1,Island (i): Isere-Rhone confluence,0.0,0,0,111,44.985,4.855,confluence just north of Valence (manual)
R1,Romans,17.4,98,94,166,45.0458886,5.0528681,Nominatim/OSM relation/36664 (administrative)
R1,Saint-Marcellin,42.5,240,230,286,45.1539715,5.320347,Nominatim/OSM relation/191569 (administrative)
R1,Tullins,64.3,362,347,238,45.2977714,5.4829748,Nominatim/OSM relation/190861 (administrative)
R1,Voreppe,76.8,432,415,218,45.2928424,5.6361825,Nominatim/OSM relation/85956 (administrative)
R1,Grenoble,91.3,514,493,215,45.1875602,5.7357819,Nominatim/OSM relation/80348 (administrative)
R1,Pontcharra,127.6,718,690,269,45.4327537,6.0204233,Nominatim/OSM relation/88810 (administrative)
R1,Montmelian,135.9,765,734,307,45.5009946,6.0587974,Nominatim/OSM relation/113499 (administrative)
R1,Aiguebelle,157.8,888,853,325,45.5415041,6.3060463,Nominatim/OSM node/41644900 (village)
R1,La Chambre,179.9,1013,973,473,45.3575951,6.300967,Nominatim/OSM relation/128282 (administrative)
R1,Saint-Jean-de-Maurienne,190.4,1072,1029,569,45.2775475,6.345172,Nominatim/OSM relation/128281 (administrative)
R1,Saint-Michel-de-Maurienne,203.2,1144,1098,749,45.2178751,6.4750846,Nominatim/OSM relation/129440 (administrative)
R1,Modane,219.9,1238,1189,1072,45.2015369,6.6728169,Nominatim/OSM relation/114188 (administrative)
R1,Bramans,229.3,1291,1239,1255,45.2238391,6.7757428,Nominatim/OSM node/41645019 (village)
R1,Termignon,236.3,1331,1277,1299,45.2769434,6.8169262,Nominatim/OSM relation/133885 (administrative)
R1,Lanslebourg,241.4,1359,1305,1397,45.2852643,6.8766492,Nominatim/OSM node/1704925507 (village)
R1,Col du Mont-Cenis,244.8,1378,1323,2088,45.2598281,6.9008841,Nominatim/OSM node/2178653980 (yes)
R1,Mont-Cenis plateau (lake),249.1,1403,1346,1959,45.232,6.938,"Mont-Cenis plateau by the (modern) lake, on the old road (manual)"
R1,Novalesa,255.0,1436,1378,1464,45.1895,6.9795,"Novalesa, Cenischia valley below the Mont-Cenis (manual)"
R1,Susa,263.0,1481,1422,505,45.1383808,7.0493387,Nominatim/OSM relation/44287 (administrative)
R1,Bussoleno,270.8,1525,1464,439,45.1392706,7.1477166,Nominatim/OSM relation/44134 (administrative)
R1,Sant'Ambrogio di Torino,288.7,1626,1561,354,45.099445,7.362315,Nominatim/OSM relation/44184 (administrative)
R1,Avigliana,292.6,1648,1582,373,45.0779435,7.3983904,Nominatim/OSM relation/44097 (administrative)
R1,Rivoli,302.2,1702,1633,360,45.0697151,7.5176764,Nominatim/OSM relation/44071 (administrative)
R1,Turin,315.4,1776,1705,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R2,Island (i): Isere-Rhone confluence,0.0,0,0,111,44.985,4.855,confluence just north of Valence (manual)
R2,Romans,17.4,98,94,166,45.0458886,5.0528681,Nominatim/OSM relation/36664 (administrative)
R2,Saint-Marcellin,42.5,240,230,286,45.1539715,5.320347,Nominatim/OSM relation/191569 (administrative)
R2,Tullins,64.3,362,347,238,45.2977714,5.4829748,Nominatim/OSM relation/190861 (administrative)
R2,Voreppe,76.8,432,415,218,45.2928424,5.6361825,Nominatim/OSM relation/85956 (administrative)
R2,Grenoble,91.3,514,493,215,45.1875602,5.7357819,Nominatim/OSM relation/80348 (administrative)
R2,Pontcharra,127.6,718,690,269,45.4327537,6.0204233,Nominatim/OSM relation/88810 (administrative)
R2,Montmelian,135.9,765,734,307,45.5009946,6.0587974,Nominatim/OSM relation/113499 (administrative)
R2,Aiguebelle,157.8,888,853,325,45.5415041,6.3060463,Nominatim/OSM node/41644900 (village)
R2,La Chambre,179.9,1013,973,473,45.3575951,6.300967,Nominatim/OSM relation/128282 (administrative)
R2,Saint-Jean-de-Maurienne,190.4,1072,1029,569,45.2775475,6.345172,Nominatim/OSM relation/128281 (administrative)
R2,Saint-Michel-de-Maurienne,203.2,1144,1098,749,45.2178751,6.4750846,Nominatim/OSM relation/129440 (administrative)
R2,Modane,219.9,1238,1189,1072,45.2015369,6.6728169,Nominatim/OSM relation/114188 (administrative)
R2,Bramans,229.3,1291,1239,1255,45.2238391,6.7757428,Nominatim/OSM node/41645019 (village)
R2,Le Planay (Bramans),234.6,1321,1268,1661,45.2070642,6.8349979,Nominatim/OSM node/4036393927 (hamlet)
R2,Lac Savine,242.2,1364,1309,2446,45.1753807,6.9133711,Nominatim/OSM relation/12406687 (lake)
R2,Col Clapier,243.3,1370,1315,2479,45.1681847,6.9231775,Nominatim/OSM node/1409452160 (yes)
R2,Val Clarea upper,246.0,1385,1330,1753,45.16,6.955,upper Val Clarea below Col Clapier (manual valley-floor point)
R2,Val Clarea lower,249.2,1403,1347,1426,45.145,6.985,lower Val Clarea (manual valley-floor point)
R2,Giaglione,251.7,1417,1361,726,45.1402386,7.0147562,Nominatim/OSM relation/44299 (administrative)
R2,Susa,254.4,1433,1375,505,45.1383808,7.0493387,Nominatim/OSM relation/44287 (administrative)
R2,Bussoleno,262.2,1476,1417,439,45.1392706,7.1477166,Nominatim/OSM relation/44134 (administrative)
R2,Sant'Ambrogio di Torino,280.1,1577,1514,354,45.099445,7.362315,Nominatim/OSM relation/44184 (administrative)
R2,Avigliana,284.0,1599,1535,373,45.0779435,7.3983904,Nominatim/OSM relation/44097 (administrative)
R2,Rivoli,293.6,1653,1587,360,45.0697151,7.5176764,Nominatim/OSM relation/44071 (administrative)
R2,Turin,306.8,1728,1659,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R2b,Island (i): Isere-Rhone confluence,0.0,0,0,111,44.985,4.855,confluence just north of Valence (manual)
R2b,Romans,17.4,98,94,166,45.0458886,5.0528681,Nominatim/OSM relation/36664 (administrative)
R2b,Saint-Marcellin,42.5,240,230,286,45.1539715,5.320347,Nominatim/OSM relation/191569 (administrative)
R2b,Tullins,64.3,362,347,238,45.2977714,5.4829748,Nominatim/OSM relation/190861 (administrative)
R2b,Voreppe,76.8,432,415,218,45.2928424,5.6361825,Nominatim/OSM relation/85956 (administrative)
R2b,Grenoble,91.3,514,493,215,45.1875602,5.7357819,Nominatim/OSM relation/80348 (administrative)
R2b,Pontcharra,127.6,718,690,269,45.4327537,6.0204233,Nominatim/OSM relation/88810 (administrative)
R2b,Montmelian,135.9,765,734,307,45.5009946,6.0587974,Nominatim/OSM relation/113499 (administrative)
R2b,Aiguebelle,157.8,888,853,325,45.5415041,6.3060463,Nominatim/OSM node/41644900 (village)
R2b,La Chambre,179.9,1013,973,473,45.3575951,6.300967,Nominatim/OSM relation/128282 (administrative)
R2b,Saint-Jean-de-Maurienne,190.4,1072,1029,569,45.2775475,6.345172,Nominatim/OSM relation/128281 (administrative)
R2b,Saint-Michel-de-Maurienne,203.2,1144,1098,749,45.2178751,6.4750846,Nominatim/OSM relation/129440 (administrative)
R2b,Modane,219.9,1238,1189,1072,45.2015369,6.6728169,Nominatim/OSM relation/114188 (administrative)
R2b,Bramans,229.3,1291,1239,1255,45.2238391,6.7757428,Nominatim/OSM node/41645019 (village)
