prisoner,place,from,to,evidence,status
"The valet delivered by Vauroy ('Eustache Dauger/Danger')","Pignerol, citadel (dungeon prepared by Saint-Mars)",1669-08-20/24,1675-01,"Louvois 19 Jul 1669 (Delort 1829 I 155-157); Saint-Mars 21 Aug 1669 (Roux-Fazillac 1801); Louvois 10 Sep 1669 (Delort 1829 I 157)",documented
"The valet delivered by Vauroy ('Eustache Dauger/Danger')","Pignerol, serving Fouquet in his rooms",1675-01/03,1680-03-23,"Louvois 30 Jan and 2 Mar 1675 (Delort 1829 I 233-234); Louvois 1679 instruction on the Fouquet-Lauzun visits (Delort 1829 I 284-285)",documented
"The valet delivered by Vauroy ('Eustache Dauger/Danger')","Pignerol, lower tower (with La Rivière)",1680-04,1681-10,"Louvois 8 Apr 1680 (AN K 120 no. 302; Iung 1873); Louvois 12 May 1681 'les deux prisonniers de la tour d'en-bas' (Delort 1825 p. 268)",documented
"The valet delivered by Vauroy ('Eustache Dauger/Danger')","Exilles",1681-10,1687-04-17/18,"Louvois 9 Jun 1681 (Delort 1825 p. 269); Saint-Mars 25 Jun 1681 'deux merles' (Ravaisson III 212-213); Louvois 22 Jul 1681 'premiers jours du mois d'octobre' (Delort 1825 p. 274); Saint-Mars 4 Dec 1681 from Exilles (Roux-Fazillac p. 111)",documented for the pair; which of the two survived to 1687 is an inference
"The valet delivered by Vauroy ('Eustache Dauger/Danger')","Île Sainte-Marguerite, Fort Royal",1687-04-30,1698-08/09,"Saint-Mars 3 May 1687 'arrivé ici le 30' (Iung 408-409); Saint-Mars 8 Jan 1688 (Iung 410-411); Barbezieux 13 Aug 1691 'depuis vingt ans' (Topin 333 n.); Saint-Mars 6 Jan 1696 'mon ensien prisonnier' (Iung 415-417); Barbezieux 17 Nov 1697 (Topin 353); Barbezieux 15/17 Jun and 19 Jul 1698 (Topin 355)",documented (single prisoner; identity with the 1669 man inferred from 1691 and 1697)
"The valet delivered by Vauroy ('Eustache Dauger/Danger')","Bastille, Bertaudière tower, third then second chamber",1698-09-18,1703-11-19,"du Junca 18 Sep 1698 (Arsenal ms. 5133); Pontchartrain 3 Nov 1698 'prisonnier de Provence'; du Junca 30 Apr 1701 (Ravaisson X 369); du Junca 19 Nov 1703 (Arsenal ms. 5134 f. 80 v°); Saint-Paul register 20 Nov 1703 'Marchioly, 45 ans ou environ'",documented
"La Rivière (Fouquet's valet)","Pignerol, in Fouquet's service",1665,1680-03-23,"Lair 1890 II; Louvois 8 Apr 1680 'ledit La Rivière'",documented
"La Rivière (Fouquet's valet)","Pignerol, lower tower (with Eustache)",1680-04,1681-10,"Louvois 8 Apr 1680; Louvois 12 May 1681",documented
"La Rivière (Fouquet's valet)","Exilles",1681-10,1687-01-05,"Saint-Mars 25 Jun 1681 'deux merles'; Louvois 16 Apr 1684 asks about his birth (Iung 402); Louvois 9 Jan and 3 Nov 1686 on the prisoner 'qui devient hydropique' (Iung 404); Louvois 13 Jan 1687 'la mort d'un de vos prisonniers' (Iung 405)","death at Exilles in Jan 1687 is an inference (Lair, Mongrédien, Petitfils); no letter names the dead man"
"Nicolas Fouquet","Pignerol, donjon",1665-01,1680-03-23,"Lair 1890 II 472-474; Louvois 9 Apr 1680",documented
"Lauzun","Pignerol, donjon",1671-11,1681-04,"Delort 1829; Lair 1890 II",documented
"Ercole Antonio Mattioli, with his valet","Pignerol, donjon",1679-05-02,1694-03/04,"Louvois 9 Jun 1681 (hardes); Saint-Mars 25 Jun 1681 'Matthioli restera ici avec deux autres prisonniers'; Barbezieux 27 Dec 1693 to La Prade (Topin 349 n.); Barbezieux 26 Feb and 20 Mar 1694 (Topin 350; Iung 413-414)",documented
"Ercole Antonio Mattioli, with his valet","Île Sainte-Marguerite",1694-04,1694-04-29 at the latest,"Barbezieux 10 May 1694 'le valet du prisonnier qui est mort' (Iung 91-92, 414)","death in April 1694 is an inference: only Mattioli had a valet (Iung, Lair, Funck-Brentano 1901, Petitfils)"
"Mattioli's valet","Île Sainte-Marguerite, 'prison voûtée'",1694-05,unknown,"Barbezieux 10 May 1694",documented
"The Jacobin (Dominican monk)","Pignerol, donjon",1674,1694-01,"Barbezieux 11/16 Jan 1694 'le plus ancien est mort' (Iung 90; Topin 350 n.)","identification of the dead man as the Jacobin is an inference (Lair, Funck-Brentano); Iung and Topin took him for Eustache"
"Dubreuil (spy)","Pignerol, donjon",1676,1694-03,"Iung 91; Barbezieux 26 Feb and 20 Mar 1694 (the three state prisoners of the donjon)",documented
"Dubreuil (spy)","Île Sainte-Marguerite",1694-04,c. 1697,"Funck-Brentano 1901",secondary only
"Le sieur de Herse","Pignerol, donjon",1687,1694,"Louvois 22 Aug 1687 and later dispatches (Iung 89-90)",documented
"Le sieur de Herse (?)","Pierre-Encise, Lyon",1698-09,unknown,"Gazette d'Amsterdam 3 Oct 1698 'il en a laissé un autre à Pierre-Cise'; Iung 420 (identification is Iung's guess)",inference
"Chevalier de Thézut","Île Sainte-Marguerite",before 1687-04,unknown,"Louvois 6 Apr 1687 (Iung 408)",documented
"Protestant pastors (Cardel, Salves, Malzac, Gardien, Girard dit Le Rousseau, Lestang)","Île Sainte-Marguerite",1689/1690,1698-08 (left to La Motte-Guérin),"Saint-Mars 4 Jun 1692 (Roux-Fazillac 117); Barbezieux 25 Mar 1695; Barbezieux 27 Oct 1697 'les quatre prisonniers'",documented
"Bénigne de Saint-Mars (jailer)","Pignerol",1665-01,1681-10,"Delort 1829; Saint-Mars 12 Jul 1681 'au moment d'aller à Exilles'",documented
"Bénigne de Saint-Mars (jailer)","Exilles",1681-10,1687-04-17/18,"Saint-Mars 4 Dec 1681; Louvois 8 Jan 1687",documented
"Bénigne de Saint-Mars (jailer)","Île Sainte-Marguerite",1687-04-30,1698-08,"Saint-Mars 3 May 1687; Barbezieux 19 Jul 1698",documented
"Bénigne de Saint-Mars (jailer)","Bastille (governor)",1698-09-18,1708-09-26 (death),"du Junca 18 Sep 1698; Gazette d'Amsterdam 29 Sep 1698",documented
