date,from,to,place_written,key_words,edition_and_page,archive_reference,notes
1669-07-19,Louvois,Saint-Mars,Saint-Germain-en-Laye,"le nommé Eustache d'Auger ... ce misérable ... ce n'est qu'un valet","Delort 1829 I 155-157; Laloy 1913 102-103; Lair 1890 II 453","AN K 120 no. 67","Iung 1873 printed 'le nommé X...' from the war-office minute; the name is written out on the K 120 original"
1669-07-28,Louis XIV,Vauroy; Saint-Mars; Piennes,Saint-Germain,"étant mal satisfait de la conduite du nommé .... et voulant m'assurer de sa personne","Iung 1873 187-188; Laloy 1913 103","Dépôt de la guerre vol. 234 fols 271-274","name left blank in the three minutes"
1669-08-21,Saint-Mars,Louvois,Pignerol,"M. de Vauroy a remis entre mes mains le nommé Eustache d'Auger ... je lui mettrois mon épée dans le ventre","Roux-Fazillac 1801 pièces 103-104; Laloy 1913 104","not given","Louvois's reply of 10 Sep acknowledges letters 'des 24 et dernier'; date 21 or 24 August"
1669-08-31,Saint-Mars,Louvois,Pignerol,"bien du monde croit que c'est un maréchal de France, et d'autres disent un président","Roux-Fazillac 1801; Laloy 1913 104","not given",""
1669-09-10,Louvois,Saint-Mars,,"vostre nouveau prisonnier un livre de prières ... le faire confesser trois ou quatre fois l'année","Delort 1829 I 157","AN K 120 no. 68","mass 'sans pourtant estre dans le même lieu'"
1670-03-26,Louvois,Saint-Mars,,"le prisonnier qui vous a été amené par le major de Dunkerque ... ne puisse voir, ni être vu de personne","Laloy 1913 105","not given",""
1670-04-12,Saint-Mars,Louvois,Pignerol,"le prisonnier amené par le major de Dunkerque ... contes jaunes","Roux-Fazillac 1801 24; Lair 1890 II 455","not given",""
1675-01-30,Louvois,Saint-Mars,,"le prisonnier que le sieur de Vauroy vous a conduit (to serve Fouquet)","Delort 1829 I 233-234","AN K 120",""
1678,Louvois,Fouquet,,"ce à quoi il a été employé avant que d'être à Pignerol (per Caire: draft changed from 'what he had seen')","Lair 1890 II; Caire 1987 (reported by Noone ch. 13)","AN K 120 (draft)","see notes/A when delivered"
1679-02-15,Louvois,Saint-Mars,,"le nommé Eustache Danger","Iung 1873; Delort 1829 I c. 287","Dépôt de la guerre vol. 618 p. 265",""
1680-04-08,Louvois,Saint-Mars,,"les nommés Eustache d'Angers [Iung: Dauger] et ledit La Rivière (shut together in the lower tower after Fouquet's death)","Iung 1873; Dabos transcription (masque-de-fer.com)","AN K 120 no. 302","image saved under sources/masque-de-fer.com/images/1680_04_08_p1.jpg"
1680-07-10,Louvois,Saint-Mars,,"le nommé Eustache (drogues)","Delort 1825 261","",""
1681-05-12,Louvois,Saint-Mars,Versailles,"les deux prisonniers de la tour d'en-bas ... vous n'avez qu'à les marquer de ce nom, sans y mettre autre chose","Delort 1825 268; Iung 1873 396-397","Dépôt de la guerre P. 232 v. 684; Arch. du royaume K 129",""
1681-06-09,Louvois,Saint-Mars,,"les deux prisonniers de la Tour d'en bas ... dans une litière ... les hardes que vous avez du sieur Mattioli ... si jamais Sa Majesté ordonnait qu'il fût mis en liberté","Delort 1825 269; Iung 1873 397","Arch. du royaume K 129","Delort misread the clothes sentence as proof Mattioli went to Exilles"
1681-06-25,Saint-Mars,abbé d'Estrades,Pignerol,"deux merles que j'ai ici, lesquels n'ont point d'autres noms que messieurs de la tour d'en bas; Matthioli restera ici avec deux autres prisonniers","Ravaisson, Archives de la Bastille III 212-213; Topin 329-330","Bibliothèque impériale, papiers d'Estrades",""
1681-07-22,Louvois,Saint-Mars,,"vers les premiers jours du mois d'octobre ... qu'il ne paroisse point d'affectation","Delort 1825 274","Arch. du royaume K 129",""
1681-12-04,Saint-Mars,Louvois,Exilles,"(first letter from Exilles on the prisoners)","Roux-Fazillac 1801 111","",""
1682-03-11,Saint-Mars,Louvois,Exilles,"(the prisoners hear the world; 'ils parlent quelquefois')","Delort 1825 279; Roux-Fazillac 111-113; Iung 400-401","","editions differ: 'peuvent' / 'ne peuvent'"
1684-04-16,Louvois,Saint-Mars,Versailles,"(asks about La Rivière's birth and origins)","Iung 1873 402","",""
1685-01-30,Louvois,Saint-Mars,,"ce que vous ont dit vos prisonniers, qui n'est d'aucune conséquence","Iung 1873 403","Dépôt de la guerre P. 575 v. 741",""
1686-01-09,Louvois,Saint-Mars,,"(the prisoner 'qui devient hydropique')","Iung 1873 404","Dépôt de la guerre P. 107 v. 769","Iung prints two dates for the letter (9 Oct 1686 / 9 Jan 1686)"
1686-11-03,Louvois,Saint-Mars,,"(the sick prisoner)","Iung 1873 404","Dépôt de la guerre P. 23 v. 770",""
1687-01-08,Louvois,Saint-Mars,,"(grant of the îles Sainte-Marguerite; 'les prisonniers', plural)","Iung 1873 404-405","Dépôt de la guerre P. 114 v. 779",""
1687-01-13,Louvois,Saint-Mars,,"J'ai reçu votre lettre du 5 de ce mois, par laquelle j'apprends la mort d'un de vos prisonniers","Iung 1873 405","Dépôt de la guerre P. 231 v. 779","Saint-Mars's letter of 5 Jan is lost"
1687-01-20,Saint-Mars,Louvois,Exilles,"mon prisonnier ... une chaise, couverte de toile cirée ... sans que personne le pût voir","Roux-Fazillac 114-115; Delort 1825 282; Iung 405-406","Archives des Affaires étrangères (per Lacroix)","singular from here on"
1687-03-16,Louvois,Saint-Mars,,"pour rendre sûre la personne de votre prisonnier ... 5,026 liv.","Iung 1873 407","Dépôt de la guerre P. 235 v. 781",""
1687-03-23,Saint-Mars,Louvois,Sainte-Marguerite,"sans que personne le voie ni lui puisse parler ... je ne lui ferai point entendre la messe","Roux-Fazillac 115; Iung 407-408","",""
1687-05-03,Saint-Mars,Louvois,Sainte-Marguerite,"arrivé ici le 30 ... douze jours en chemin ... personne au monde ne l'a vu ... chacun cherche à deviner qui peut être mon prisonnier ... huit porteurs ... chaise de Turin ... 203 livres","Iung 408-409; Roux-Fazillac 116-117","",""
1687-09-04,Nouvelles ecclésiastiques (manuscript newsletter),,,"M. de cinq mars a transporté ... un prisonnier d'état ... ayant un masque d'acier sur le visage","transcription at masque-de-fer.com/ressources/gazette-du-4-septembre-1687/","Bibl. Sainte-Geneviève, Réserve, ms. 1477 f. 396 v°","first mention of a mask; image saved under sources/masque-de-fer.com/images/1687_09_04.jpg"
1688-01-08,Saint-Mars,Louvois,Aux Isles,"mon prisonnier quy est toujours valtudinaire ... l'on dit que le mien est monsieur de Baufort, et dautres dissent que cest le fis de feu Cronvel","Iung 1873 410-411 (original spelling)","original then in private hands (Mauge du Bois des Entes)",""
1691-08-13,Barbezieux,Saint-Mars,Versailles,"du prisonnier qui est sous vostre garde depuis vingt ans ... les mesmes précautions","Topin 1883 333 n.; Iung 412","Dépôt de la guerre P. 246 v. 1034","Barbezieux's first letter after Louvois's death (16 Jul 1691)"
1694-01-11/16,Barbezieux,Saint-Mars,,"le plus ancien est mort et qu'il n'en sait pas le nom ... me le mander en chiffres","Iung 90; Topin 350 n.","Dépôt de la guerre P. 128 v. 1242",""
1694-02-26,Barbezieux,Saint-Mars,,"(three state prisoners coming from the Pignerol donjon) Je ne vous en mande pas le nom, persuadé que vous le sçavez","Topin 340, 350","",""
1694-03-20,Barbezieux,Saint-Mars,,"de plus de conséquence, au moins un, que ceux qui sont présentement aux îles","Topin 350","","Topin's key text for Mattioli"
1694-05-10,Barbezieux,Saint-Mars,,"faire mettre dans la prison voûtée le valet du prisonnier qui est mort","Iung 91-92, 414","Dépôt de la guerre P. 139 v. 1245","only Mattioli had a valet"
1696-01-06,Saint-Mars,Barbezieux,Aux Isles,"la prison de mon ensien prisonnier par ou l'on commence ... trois portes","Iung 415-417 (original spelling); Funck-Brentano 1901 89-90","original then in private hands","daily routine"
1697-11-17,Barbezieux,Saint-Mars,,"sans vous expliquer à qui que ce soit de ce qu'a fait vostre ancien prisonnier","Topin 353 (original spelling); Iung 418 ('ce que fait')","Dépôt de la guerre P. 171 v. 1392","Topin's reading 'ce qu'a fait' (what he has done) vs Iung's 'ce que fait' (what he does)"
1698-06-15/17,Barbezieux,Saint-Mars,Versailles,"amener avec vous en toute seureté vostre ancien prisonnier","Topin 355; Iung 419","Dépôt de la guerre P. 126 v. 1431",""
1698-07-19,Barbezieux,Saint-Mars,Marly,"prenant vos précautions pour empescher qu'il ne soit veu ny conneu de personne","Topin 355; Iung 419","Dépôt de la guerre P. 129 v. 1432",""
1698-08-04,Barbezieux,Saint-Mars,,"les précautions que vous devez prendre pour la conduite de votre prisonnier ... approuvées","Iung 420","Dépôt de la guerre P. 56 v. 1432",""
1698-09-18,du Junca (lieutenant du roi),register of entries,Bastille,"un ensien prisonnier qu'il avet à pignerol lequel il fait tenir touiours masqué dont le nom ne se dit pas","Topin 476-477; Funck-Brentano 1894 254; Griffet 1769","Arsenal ms. 5133 f. 37 v° (F.-B.) / 57 v° (Topin)",""
1698-10-03,Gazette d'Amsterdam,,,"un prisonnier qu'il avait amené avec lui, et il en a laissé un autre à Pierre-Cise","Iung 422","",""
1698-11-03,Pontchartrain,Saint-Mars,,"votre prisonnier de Provence se confesse et communie toutes les fois que vous le jugerez à propos","Topin 356; Iung 423; Lair II 484 n.","Registres du secrétariat de la maison du roi",""
1701-04-30,du Junca,register,Bastille,"dans la seconde chambre de la tour de la Bretaudière, avec l'ancien prisonnier, tous les deux bien renfermés","Ravaisson X 369","Arsenal ms. 5133 f. 60 r°",""
1703-11-19,du Junca,register of exits,Bastille,"le prisonnier inconeu touiours masqué d'un masque de velours noir ... mort cejourd'huy sur les dix hures du soir ... M. de Marchiel","Topin 477-478; Iung 424; Griffet 1769","Arsenal ms. 5134 f. 80 v°",""
1703-11-20,Saint-Paul parish,register of burials,Paris,"Marchioly, âgé de quarante-cinq ans ou environ ... Rosarges, Reilhe","Funck-Brentano 1894 296 (facsimile in Topin 5th ed. 1878); Loiseleur 1882 256 n. ('Marchialy')","original destroyed 1871","readings Marchioly / Marchialy"
