Madison/03-01-02-0380	From James Madison to William Eustis, 30 August 1809
Madison/03-01-02-0381	To James Madison from Samuel Dexter, 30 August 1809
Madison/03-01-02-0382	To James Madison from Isaiah Eiland, 31 August 1809 (Abstract)
Madison/03-01-02-0383	To James Madison from William Branch Giles, 31 August 1809 (Ab …
Madison/03-01-02-0384	To James Madison from Joel Lewis and Others, [ca. September] 1 …
Madison/03-01-02-0385	To James Madison from John Graham, 1 September 1809
Madison/03-01-02-0386	From James Madison to John Graham, 2 September 1809
Madison/03-01-02-0387	From James Madison to John Graham, 3 September 1809
Madison/03-01-02-0388	To James Madison from Isaac A. Coles, 4 September 1809
Madison/03-01-02-0389	To James Madison from John Graham, 4 September 1809
Madison/03-01-02-0390	To James Madison from the Republican Meeting of Columbia, Sout …
Madison/03-01-02-0391	To James Madison from Albert Gallatin, 5 September 1809
Madison/03-01-02-0392	To James Madison from Chevalier Lejeune Malherbe and Others, 5 …
Madison/03-01-02-0393	To James Madison from Charles Pinckney, 5 September 1809
Madison/03-01-02-0394	To James Madison from David Ramsay, 5 September 1809
Madison/03-01-02-0395	To James Madison from Thomas Dixon, 6 September 1809
Madison/03-01-02-0396	To James Madison from John Graham, 6 September 1809
Madison/03-01-02-0397	To James Madison from Caesar A. Rodney, 6 September 1809
Madison/03-01-02-0398	To James Madison from Robert Smith, 6 September 1809
Madison/03-01-02-0399	From James Madison to Richard Cutts, 7 September 1809
Madison/03-01-02-0400	To James Madison from Benjamin Henry Latrobe, 8 September 1809
Madison/03-01-02-0401	To James Madison from the Right Reverend James Madison, 8 Sept …
Madison/03-01-02-0402	To James Madison from Robert Smith, 8 September 1809
Madison/03-01-02-0403	Benjamin Henry Latrobe to Dolley Madison, 8 September 1809
Madison/03-01-02-0404	To James Madison from Stephen S. Hallet, 9 September 1809
Madison/03-01-02-0405	To James Madison from George Joy, 9 September 1809 (Abstract)
Madison/03-01-02-0406	To James Madison from William Eustis, 10 September 1809
Madison/03-01-02-0407	From James Madison to the President of the Virginia Agricultur …
Madison/03-01-02-0408	From James Madison to Thomas Jefferson, 11 September 1809
Madison/03-01-02-0409	To James Madison from Albert Gallatin, 11 September 1809
Madison/03-01-02-0410	To James Madison from John Graham, 11 September 1809
Madison/03-01-02-0411	To James Madison from the Republican Meeting of Nashville, Ten …
Madison/03-01-02-0412	To James Madison from Robert Smith, 11 September 1809
Madison/03-01-02-0413	To James Madison from Thomas Jefferson, 12 September 1809
Madison/03-01-02-0414	Dolley Madison to Benjamin Henry Latrobe, 12 September 1809
Madison/03-01-02-0415	To James Madison from William McKinley, 13 September 1809
Madison/03-01-02-0416	To James Madison from the Republican Meeting of Washington Cou …
Madison/03-01-02-0417	From James Madison to Robert Smith, 15 September 1809
Madison/03-01-02-0418	To James Madison from William Short, 15 September 1809
Madison/03-01-02-0419	To James Madison from the Republican Committee of New York, 15 …
Madison/03-01-02-0420	To James Madison from Meriwether Lewis, 16 September 1809
Madison/03-01-02-0421	To James Madison from James J. Wilmer, 16 September 1809
Madison/03-01-02-0422	To James Madison from David Bailie Warden, 17 September 1809
Madison/03-01-02-0423	To James Madison from John Armstrong, 18 September 1809
Madison/03-01-02-0424	To James Madison from Daniel Baldwin, 18 September 1809
Madison/03-01-02-0425	To James Madison from John F. Price, 18 September 1809
Madison/03-01-02-0426	To James Madison from Thomas Jefferson, 18 September 1809
Madison/03-01-02-0427	From James Madison to Samuel Dexter, 20 September 1809
Madison/03-01-02-0428	From James Madison to David Ramsay, 20 September 1809
Madison/03-01-02-0429	To James Madison from John Armstrong, 20 September 1809
Madison/03-01-02-0430	To James Madison from Charles W. Goldsborough, 20 September 1809
Madison/03-01-02-0431	From James Madison to John Graham, 24 September 1809
Madison/03-01-02-0432	From James Madison to the Republican Committee of New York, 24 …
Madison/03-01-02-0433	From James Madison to Albert Gallatin, 25 September 1809
Madison/03-01-02-0434	To James Madison from the Republican Meeting of McIntosh Count …
Madison/03-01-02-0435	From James Madison to John F. Price, 26 September 1809
Madison/03-01-02-0436	From James Madison to the Chairman of the Republican Meeting o …
Madison/03-01-02-0437	To James Madison from the Muskingum County, Ohio, Militia, 30 …
