Jefferson/03-01-02-0470	George Williamson to Thomas Jefferson, 10 October 1809
Jefferson/03-01-02-0471	Thomas Jefferson to Albert Gallatin, 11 October 1809
Jefferson/03-01-02-0472	Thomas Jefferson to William Thornton, 11 October 1809
Jefferson/03-01-02-0473	Isaac Riley to Thomas Jefferson, 16 October 1809
Jefferson/03-01-02-0474	Clotworthy Stephenson to Thomas Jefferson, 16 October 1809
Jefferson/03-01-02-0475	Luis de Onís to Thomas Jefferson, 17 October 1809
Jefferson/03-01-02-0476	John Brahan to Thomas Jefferson, 18 October 1809
Jefferson/03-01-02-0477	Valentín de Foronda to Thomas Jefferson, 18 October 1809
Jefferson/03-01-02-0478	James Neelly to Thomas Jefferson, 18 October 1809
Jefferson/03-01-02-0479	Thomas Jefferson to John Austin, 20 October 1809
Jefferson/03-01-02-0480	Thomas T. Hewson to Thomas Jefferson, 20 October 1809
Jefferson/03-01-02-0481	Citizens of Richmond to Thomas Jefferson, [20 October 1809]
Jefferson/03-01-02-0482	Augustin François Silvestre to Thomas Jefferson, 20 October 1809
Jefferson/03-01-02-0483	John Tyler to Thomas Jefferson, 20 October 1809
Jefferson/03-01-02-0484	Henry Banks to Thomas Jefferson, 21 October 1809
Jefferson/03-01-02-0485	Alexander McRae to Thomas Jefferson, 21 October 1809
Jefferson/03-01-02-0486	ERR HTTP Error 404: NOT FOUND
Jefferson/03-01-02-0487	William W. Hening to Thomas Jefferson, 22 October 1809
Jefferson/03-01-02-0488	Thomas Jefferson to the Citizens of Richmond, 22 October 1809
Jefferson/03-01-02-0489	Alexander Burot to Thomas Jefferson, 23 October 1809
Jefferson/03-01-02-0490	William Eustis to Thomas Jefferson, 25 October 1809
Jefferson/03-01-02-0491	Samuel Greenhow to Thomas Jefferson, 25 October 1809
Jefferson/03-01-02-0492	Thomas Jefferson to James Madison, 25 October 1809
Jefferson/03-01-02-0493	Lafayette to Thomas Jefferson, 26 October 1809
Jefferson/03-01-02-0494	David Bailie Warden to Thomas Jefferson, 27 October 1809
Jefferson/03-01-02-0495	Zadok Cramer to Thomas Jefferson, 30 October 1809
Jefferson/03-01-02-0496	Thomas Lomax to Thomas Jefferson, 30 October 1809
Jefferson/03-01-02-0497	James Madison to Thomas Jefferson, 30 October 1809
Jefferson/03-01-02-0498	Thomas Jefferson to Louis H. Girardin, 31 October 1809
Jefferson/03-01-02-0499	Thomas Jefferson to George Jefferson, 31 October 1809
Jefferson/03-01-02-0500	Gideon Fitz to Thomas Jefferson, 1 November 1809
Jefferson/03-01-02-0501	Elias Glover to Thomas Jefferson, 1 November 1809
Jefferson/03-01-02-0502	Thomas Jefferson to William Miller, 1 November 1809
Jefferson/03-01-02-0503	Thomas Jefferson to John Porter, 2 November 1809
Jefferson/03-01-02-0504	Thomas Jefferson to Dudley Richardson, 2 November 1809
Jefferson/03-01-02-0505	William Fontaine to Thomas Jefferson, 3 November 1809
Jefferson/03-01-02-0506	David K. Hopkins to Thomas Jefferson, 3 November 1809
Jefferson/03-01-02-0507	Thomas Jefferson to Clotworthy Stephenson, 3 November 1809
Jefferson/03-01-02-0508	Thomas Jefferson to Albert Gallatin, 4 November 1809
Jefferson/03-01-02-0509	Thomas Jefferson to Luis de Onís, 4 November 1809
Jefferson/03-01-02-0510	Johann Severin Vater to Thomas Jefferson, 4 November 1809
Jefferson/03-01-02-0511	David Campbell to Thomas Jefferson, 5 November 1809
Jefferson/03-01-02-0512	Thomas Eston Randolph to Thomas Jefferson, 5 November 1809
Jefferson/03-01-02-0513	William Turpin to Thomas Jefferson, [received 5 November 1809]
Jefferson/03-01-02-0514	Thomas Jefferson to George Jefferson, 6 November 1809
Jefferson/03-01-02-0515	Jacob L. Kesteloot to Thomas Jefferson, 6 November 1809
Jefferson/03-01-02-0516	Thomas Jefferson to Thomas Lomax, 6 November 1809
Jefferson/03-01-02-0517	ERR <urlopen error [Errno 104] Connection reset by peer>
Jefferson/03-01-02-0518	ERR <urlopen error [Errno 104] Connection reset by peer>
