Jefferson/03-02-02-0001	William Thornton to Thomas Jefferson, 16 November 1809
Jefferson/03-02-02-0002	Aron S. Barton to Thomas Jefferson, 17 November 1809
Jefferson/03-02-02-0003	Benjamin B. Ford to Thomas Jefferson, 17 November 1809
Jefferson/03-02-02-0004	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0005	Thomas Jefferson to James Steptoe, 17 November 1809
Jefferson/03-02-02-0006	ERR <urlopen error [Errno 104] Connection reset by peer>
Jefferson/03-02-02-0007	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0008	William C. Rives to Thomas Jefferson, 20 November 1809
Jefferson/03-02-02-0009	Samuel Greenhow to Thomas Jefferson, 21 November 1809
Jefferson/03-02-02-0010	William W. Hening to Thomas Jefferson, 21 November 1809
Jefferson/03-02-02-0011	Thomas Jefferson to C. &amp; A. Conrad &amp; Company, 23 November 1809
Jefferson/03-02-02-0012	Thomas Jefferson to George W. Erving, 23 November 1809
Jefferson/03-02-02-0013	Thomas Jefferson to William Thornton, 23 November 1809
Jefferson/03-02-02-0014	William Miller to Thomas Jefferson, 24 November 1809
Jefferson/03-02-02-0015	Thomas Jefferson to James Madison, 26 November 1809
Jefferson/03-02-02-0016	James Madison to Thomas Jefferson, 27 November 1809
Jefferson/03-02-02-0017	Thomas Jefferson to William Fleming, 28 November 1809
Jefferson/03-02-02-0018	Thomas Jefferson to Benjamin B. Ford, 28 November 1809
Jefferson/03-02-02-0019	Thomas Jefferson to J. B. Moussier, 28 November 1809
Jefferson/03-02-02-0020	Thomas Jefferson’s Notes on Winter Vegetable Needs, 28 Novembe …
Jefferson/03-02-02-0021	Agreement with Youen Carden, 29 November 1809
Jefferson/03-02-02-0022	Thomas Jefferson to Isaac A. Coles, 29 November 1809
Jefferson/03-02-02-0023	James Leitch to Thomas Jefferson, 29 November 1809
Jefferson/03-02-02-0024	Thomas Jefferson to Richard Barry, 30 November 1809
Jefferson/03-02-02-0025	Thomas Jefferson to Mary Daingerfield, 30 November 1809
Jefferson/03-02-02-0026	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0027	Thomas Jefferson to John Breck Treat, 30 November 1809
Jefferson/03-02-02-0028	Barthélemy Faujas de Saint-Fond to Thomas Jefferson, [ca. Nove …
Jefferson/03-02-02-0029	Thomas Jefferson to William W. Hening, 1 December 1809
Jefferson/03-02-02-0030	Thomas Jefferson to William W. Hening, 1 December 1809
Jefferson/03-02-02-0031	James Martin to Thomas Jefferson, 2 December 1809
Jefferson/03-02-02-0032	William C. Rives to Thomas Jefferson, 3 December 1809
Jefferson/03-02-02-0033	Thomas Jefferson to Charles F. Welles, 3 December 1809
Jefferson/03-02-02-0034	Richard Barry to Thomas Jefferson, 5 December 1809
Jefferson/03-02-02-0035	Joseph Dougherty to Thomas Jefferson, 5 December 1809
Jefferson/03-02-02-0036	William Lambert to Thomas Jefferson, 5 December 1809
Jefferson/03-02-02-0037	Randolph Jefferson to Thomas Jefferson, 7 December 1809
Jefferson/03-02-02-0038	Thomas Jefferson to James Madison, 7 December 1809
Jefferson/03-02-02-0039	Thomas Jefferson to John Wayles Eppes, 8 December 1809
Jefferson/03-02-02-0040	Erastus Granger to Thomas Jefferson, 8 December 1809
Jefferson/03-02-02-0041	Thomas Jefferson to Randolph Jefferson, 8 December 1809
Jefferson/03-02-02-0042	William Lambert to Thomas Jefferson, 8 December 1809
Jefferson/03-02-02-0043	ERR <urlopen error [Errno 104] Connection reset by peer>
Jefferson/03-02-02-0044	Thomas Jefferson to Nathaniel Chapman, 11 December 1809
Jefferson/03-02-02-0045	Thomas Jefferson to C. &amp; A. Conrad &amp; Company, 11 December 1809
Jefferson/03-02-02-0046	James Madison to Thomas Jefferson, 11 December 1809
Jefferson/03-02-02-0047	Thomas Jefferson to John Monroe, 11 December 1809
Jefferson/03-02-02-0048	Nicholas Biddle to Thomas Jefferson, 12 December 1809
Jefferson/03-02-02-0049	Elias Glover to Thomas Jefferson, 12 December 1809
Jefferson/03-02-02-0050	John Garland Jefferson to Thomas Jefferson, 12 December 1809
Jefferson/03-02-02-0051	James Leitch to Thomas Jefferson, 12 December 1809
Jefferson/03-02-02-0052	Thomas Jefferson to Charles Clay, 15 December 1809
Jefferson/03-02-02-0053	Thomas Jefferson to James Martin, 15 December 1809
Jefferson/03-02-02-0054	Authorization to Thomas Mann Randolph to Sell Land, 15 Decembe …
Jefferson/03-02-02-0055	Thomas Jefferson to James Steptoe, 15 December 1809
Jefferson/03-02-02-0056	Thomas Jefferson to Richard Barry, 16 December 1810
Jefferson/03-02-02-0057	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0058	Thomas Jefferson to Archibald Thweatt, 18 December 1809
Jefferson/03-02-02-0059	Thomas Jefferson to Eli Alexander, 22 December 1809
Jefferson/03-02-02-0060	Peter V. Daniel to Thomas Jefferson, 22 December 1809
Jefferson/03-02-02-0061	George Richardson to Thomas Jefferson, 22 December 1809
Jefferson/03-02-02-0062	Reuben Perry to Thomas Jefferson, 23 December 1809
Jefferson/03-02-02-0063	Bernard McMahon to Thomas Jefferson, 24 December 1809
Jefferson/03-02-02-0064	Thomas Jefferson to John Wayles Eppes, 25 December 1809
Jefferson/03-02-02-0065	Archibald Stuart to Thomas Jefferson, 25 December 1809
Jefferson/03-02-02-0066	Thomas Jefferson to Nicholas Biddle, 26 December 1809
Jefferson/03-02-02-0067	Thomas Jefferson to Jonathan Shoemaker, 26 December 1809
Jefferson/03-02-02-0068	John Wood to Thomas Jefferson, 26 December 1809
Jefferson/03-02-02-0069	Burgess Griffin to Thomas Jefferson, 27 December 1809
Jefferson/03-02-02-0070	Thomas Jefferson to William D. Meriwether, 27 December 1809
Jefferson/03-02-02-0071	John W. Quincy to Thomas Jefferson, 27 December 1809
Jefferson/03-02-02-0072	Joseph Dougherty to Thomas Jefferson, 28 December 1809
Jefferson/03-02-02-0073	Thomas Jefferson to John Harvie, 28 December 1809
Jefferson/03-02-02-0074	Thomas Jefferson to Ann C. Bankhead, 29 December 1809
Jefferson/03-02-02-0075	William A. Burwell to Thomas Jefferson, 29 December 1809
Jefferson/03-02-02-0076	Isaac A. Coles to Thomas Jefferson, 29 December 1809
Jefferson/03-02-02-0077	Thomas Jefferson’s Resurvey of Lego, 29 December 1809
Jefferson/03-02-02-0078	Thomas Jefferson to Gordon, Trokes &amp; Company, 30 December 1809
Jefferson/03-02-02-0079	Thomas Jefferson to Thomas Jefferson Randolph, 30 December 1809
Jefferson/03-02-02-0080	Thomas Jefferson to Joel Barlow, 31 December 1809
Jefferson/03-02-02-0081	Thomas Jefferson’s Memorandum on the Expiration of John H. Cra …
Jefferson/03-02-02-0082	Daniel Belteshazzar Plantagenet Eccleston to Thomas Jefferson …
Jefferson/03-02-02-0083	John Harvie to Thomas Jefferson, 1 January 1810
Jefferson/03-02-02-0084	Honoré Julien to Thomas Jefferson, 1 January 1810
Jefferson/03-02-02-0085	Thomas Jefferson to George Jefferson, 3 January 1810
Jefferson/03-02-02-0086	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0087	Jonathan &amp; Thomas Foster to Thomas Jefferson, 4 January 1810
Jefferson/03-02-02-0088	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0089	Archibald Thweatt to Thomas Jefferson, 4 January [1810]
Jefferson/03-02-02-0090	Isaac A. Coles to Thomas Jefferson, 5 January 1810
Jefferson/03-02-02-0091	William Baldwin to Thomas Jefferson, 7 January 1810
Jefferson/03-02-02-0092	Thomas Jefferson to William A. Burwell, 7 January 1810
Jefferson/03-02-02-0093	Thomas Jefferson to Martha B. Eppes, 7 January 1810
Jefferson/03-02-02-0094	Thomas Jefferson to Isaac A. Coles, 8 January 1810
Jefferson/03-02-02-0095	Thomas T. Hewson to Thomas Jefferson, 8 January 1810
Jefferson/03-02-02-0096	Thomas Jefferson to Honore Julien, 8 January 1810
Jefferson/03-02-02-0097	Thomas Jefferson to Pierre Provenchere, 8 January 1810
Jefferson/03-02-02-0098	Thomas Jefferson to Elizabeth Eppes, 9 January 1810
Jefferson/03-02-02-0099	John Wayles Eppes to Thomas Jefferson, 10 January 1810
Jefferson/03-02-02-0100	Thomas Main to Thomas Jefferson, 10 January 1810
Jefferson/03-02-02-0101	Thomas Jefferson to Craven Peyton, 10 January [1810]
Jefferson/03-02-02-0102	Thomas Jefferson to Peter V. Daniel, 11 January 1810
Jefferson/03-02-02-0103	Thomas Jefferson to John Wood, 11 January 1810
Jefferson/03-02-02-0104	John Barnes to Thomas Jefferson, 12 January 1810
Jefferson/03-02-02-0105	William C. C. Claiborne to Thomas Jefferson, 12 January 1810
