Jefferson/03-02-02-0130	Thomas Jefferson to Thomas Main, 20 January 1810
Jefferson/03-02-02-0160	Eli Alexander to Thomas Jefferson, 6 February 1810
Jefferson/03-02-02-0190	Thomas Jefferson to Charles Johnston, 18 February 1810
Jefferson/03-02-02-0220	Jonathan Shoemaker to Thomas Jefferson, [ca. 1 March 1810]
Jefferson/03-02-02-0250	Thomas Jefferson to William Johnson, 17 March 1810
Jefferson/03-02-02-0280	Thomas Jefferson to Samuel J. Harrison, 9 April 1810
Jefferson/03-02-02-0310	Jean B. Porée to Thomas Jefferson, 2 May 1810
Jefferson/03-02-02-0340	Joseph Dougherty to Thomas Jefferson, 14 May 1810
Jefferson/03-02-02-0370	Thomas Jefferson to Archibald Thweatt, 29 May 1810
Jefferson/03-02-02-0400	Gideon Fitz’s Drawing of his Windmill, [ca. 10 June 1810]
Jefferson/03-02-02-0430	Thomas Jefferson to William Wirt, 28 June 1810
Jefferson/03-02-02-0460	James Madison to Thomas Jefferson, 17 July 1810
Jefferson/03-02-02-0490	Thomas Ladd to Thomas Jefferson, 9 August 1810
Jefferson/03-02-02-0520	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0550	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0580	ERR HTTP Error 404: NOT FOUND
Jefferson/03-02-02-0610	ERR HTTP Error 404: NOT FOUND
Madison/03-01-02-0380	From James Madison to William Eustis, 30 August 1809
Madison/03-01-02-0400	To James Madison from Benjamin Henry Latrobe, 8 September 1809
Madison/03-01-02-0420	To James Madison from Meriwether Lewis, 16 September 1809
Madison/03-01-02-0440	ERR HTTP Error 404: NOT FOUND
Madison/03-01-02-0460	ERR <urlopen error [Errno 104] Connection reset by peer>
Madison/03-01-02-0480	ERR HTTP Error 404: NOT FOUND
Madison/03-01-02-0500	ERR HTTP Error 404: NOT FOUND
Madison/03-01-02-0520	ERR HTTP Error 404: NOT FOUND
Madison/03-02-02-0020	To James Madison from the Inhabitants of the Michigan Territor …
Madison/03-02-02-0050	From James Madison to John Strode, 26 October 1809
Madison/03-02-02-0080	To James Madison from Andrew Ellicott, 8 November 1809
Madison/03-02-02-0110	From James Madison to Thomas Jefferson, 27 November 1809
Madison/03-02-02-0140	To James Madison from Alexander McRae, 8 December 1809
Madison/03-02-02-0170	To James Madison from Paul Hamilton, 22 December 1809
Madison/03-02-02-0200	To James Madison from Evan Lewis, 8 January 1810
