Jefferson/03-03-02-0084	Thomas Jefferson to Henry Wheaton, 29 September 1810
Jefferson/03-03-02-0087	Robert Smith to Thomas Jefferson, 1 October 1810
Jefferson/03-03-02-0090	Benjamin Morgan to Thomas Jefferson, 5 October 1810
Jefferson/03-03-02-0093	Thomas Jefferson to George Hay, 7 October 1810
Jefferson/03-03-02-0096	Thomas Jefferson to William Bentley, 9 October 1810
Jefferson/03-03-02-0099	Thomas Jefferson to James McKinney, 9 October 1810
Jefferson/03-03-02-0104	Thomas Jefferson to Samuel Haines, 12 October 1810
Jefferson/03-03-02-0107	Benjamin Smith Barton to Thomas Jefferson, 16 October 1810
Jefferson/03-03-02-0110	ERR HTTP Error 404: NOT FOUND
Jefferson/03-03-02-0113	James Madison to Thomas Jefferson, 19 October 1810
Jefferson/03-03-02-0116	Thomas Jefferson to Nathaniel H. Hooe, 20 October 1810
Jefferson/03-06-02-0326	Thomas Jefferson to Joseph Dougherty, 15 August 1813
Jefferson/03-06-02-0329	Thomas Jefferson to Samuel H. Smith, 15 August 1813
Jefferson/03-06-02-0332	Peter Minor to Thomas Jefferson, 16 August 1813
Jefferson/03-06-02-0335	Thomas Jefferson to George Divers, 17 August 1813
Jefferson/03-06-02-0338	Thomas Jefferson to Francis Smith, 17 August 1813
Jefferson/03-06-02-0341	ERR <urlopen error [Errno 104] Connection reset by peer>
Jefferson/03-06-02-0344	Thomas Jefferson to Paul Allen, 20 August 1813
Jefferson/03-06-02-0347	James Leitch to Thomas Jefferson, 20 August 1813
Jefferson/03-06-02-0350	Thomas Jefferson to Abigail Adams, 22 August 1813
