# We Proceeded On (Lewis and Clark Trail Heritage Foundation quarterly) — index of items whose article text/title/author matched death-related search terms, built 2026-09-14 from the WPO search engine at https://lewisandclark.org/search-wpo/ (POST search1=<term>&type1=<Article Text|Article Titles|Authors>).
# Columns: status (OPEN = PDF online at https://lewisandclark.org<href>; PRINT = issue younger than one year, print only) | href | citation as given by the index | search terms that matched (t:=article text, ti:=title, a:=author)
status	href	citation	matched_terms
OPEN	/wpo/pdf/vol1no1.pdf#page=1	"Foundation's Sixth Annual Meeting Well Attended," Winter 1974, Vol.1 No. 1, Page 1.	t:Chuinard
OPEN	/wpo/pdf/vol1no1.pdf#page=4	"Wm. Clark Adreon Reports Missouri Activities," Winter 1974, Vol.1 No. 1, Page 4.	t:Phelps
OPEN	/wpo/pdf/vol1no1.pdf#page=5	Donald Jackson, "Thomas Jefferson and the Pacific Northwest," Winter 1974, Vol.1 No. 1, Page 5.	a:Jackson
OPEN	/wpo/pdf/vol1no2.pdf#page=9	"Oregon Foundation's February Quarterly Meeting," Spring 1975, Vol.1 No. 2, Page 9.	t:Chuinard
OPEN	/wpo/pdf/vol1no2.pdf#page=10	"Oregon Highway Division Develops New Design for Lewis and Clark Markers," Spring 1975, Vol.1 No. 2, Page 10.	t:Chuinard
OPEN	/wpo/pdf/vol1no2.pdf#page=12	Viola Forrest, Wilbur P. Werner, and David G. Ainsworth, "Letters to '...We Proceeded On... '," Spring 1975, Vol.1 No. 2, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol1no3.pdf#page=4	E.G. 'Frenchy' Chuinard, "Charlottesville - Monticello, Virginia, Revisited," Summer 1975, Vol.1 No. 3, Page 4.	a:Chuinard
OPEN	/wpo/pdf/vol1no3.pdf#page=7	"Camera Records Activities at Bismarck Meeting," Summer 1975, Vol.1 No. 3, Page 7.	t:Chuinard
OPEN	/wpo/pdf/vol1no3.pdf#page=8	"Annual Meeting Registrants," Summer 1975, Vol.1 No. 3, Page 8.	t:Chuinard
OPEN	/wpo/pdf/vol1no4.pdf#page=5	"Missouri Committee Reports Oct. 27th Meet," Fall 1975, Vol.1 No. 4, Page 5.	t:Phelps
OPEN	/wpo/pdf/vol1no4.pdf#page=9	"Oregon-Washington 3rd Annual Symposium," Fall 1975, Vol.1 No. 4, Page 9.	t:Chuinard
OPEN	/wpo/pdf/vol1no4.pdf#page=11	"A Special Item For You or For Your Gift Giving," Fall 1975, Vol.1 No. 4, Page 11.	t:Chuinard
OPEN	/wpo/pdf/vol2no1.pdf#page=4	George H. Tweney, "Including Two Captains/A Later Look Westward (Book Review)," Winter 1976, Vol.2 No. 1, Page 4.	t:Grinder,t:suicide
OPEN	/wpo/pdf/vol2no1.pdf#page=11	"Up-dating Lewis & Clark In Recent Periodicals," Winter 1976, Vol.2 No. 1, Page 11.	t:Chuinard
OPEN	/wpo/pdf/vol2no1.pdf#page=12	"Preview of Forth-coming 'Feature Stories' in WPO," Winter 1976, Vol.2 No. 1, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol2no2.pdf#page=4	"Missouri Activities Reported by Bassman," Spring 1976, Vol.2 No. 2, Page 4.	t:Phelps
OPEN	/wpo/pdf/vol2no2.pdf#page=5	"Oregon L. & C. Group Meeting on March 18th," Spring 1976, Vol.2 No. 2, Page 5.	t:Chuinard
OPEN	/wpo/pdf/vol2no2.pdf#page=13	"Radio Broadcast Project Involves Oregon Group," Spring 1976, Vol.2 No. 2, Page 13.	t:Chuinard
OPEN	/wpo/pdf/vol2no3.pdf#page=1	Irving W. Anderson, "Secretary Reports Eighth Annual Meeting as 'Great Experience'," Summer 1976, Vol.2 No. 3, Page 1.	t:Chuinard
OPEN	/wpo/pdf/vol2no3.pdf#page=4	E.G. 'Frenchy' Chuinard, "The Photographs of Sergeant Patrick Gass," Summer 1976, Vol.2 No. 3, Page 4.	a:Chuinard,t:Chuinard
OPEN	/wpo/pdf/vol2no3.pdf#page=6	"President, Past Presidents, and Members of Foundation Attend Ft. Benton Bicentennial Event," Summer 1976, Vol.2 No. 3, Page 6.	t:Chuinard
OPEN	/wpo/pdf/vol2no3.pdf#page=12	"8th Annual Meeting Registrants Listed," Summer 1976, Vol.2 No. 3, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol2no3.pdf#page=13	"Presentation of Awards at 8th Annual Meeting," Summer 1976, Vol.2 No. 3, Page 13.	t:Chuinard
OPEN	/wpo/pdf/vol2no3.pdf#page=14	"Cameras Record Field Trip Activities at Eighth Annual Meeting," Summer 1976, Vol.2 No. 3, Page 14.	t:Chuinard
OPEN	/wpo/pdf/vol2no3.pdf#page=15	"8th Annual Meeting Business Sessions Banquet," Summer 1976, Vol.2 No. 3, Page 15.	t:Chuinard
OPEN	/wpo/pdf/vol2no3.pdf#page=15	"Up-dating Lewis & Clark In Recent Periodicals," Summer 1976, Vol.2 No. 3, Page 15.	t:Chuinard
OPEN	/wpo/pdf/vol2no4.pdf#page=5	Wilbur P. Werner, "Foundation Has Part In Passage Of Missouri River 'Wild And Scenic Rivers' Legislation," December 1976, Vol.2 No. 4, Page 5.	t:Chuinard
OPEN	/wpo/pdf/vol2no4.pdf#page=6	Donald Jackson, "Meriwether Lewis Comes Home," December 1976, Vol.2 No. 4, Page 6.	a:Jackson
OPEN	/wpo/pdf/vol3no1.pdf#page=6	"Washington - Oregon 4th Annual Symposium," February 1977, Vol.3 No. 1, Page 6.	t:Chuinard
OPEN	/wpo/pdf/vol3no1.pdf#page=7	"Governor Enlarges And Appoints New Members To Oregon L. & C. Comm.," February 1977, Vol.3 No. 1, Page 7.	t:Chuinard
OPEN	/wpo/pdf/vol3no2.pdf#page=1	"Program Announced for Foundation's Ninth Annual Meeting Activities to be at St. Charles, St. Louis, and Wood River," May 1977, Vol.3 No. 2, Page 1.	t:Phelps
OPEN	/wpo/pdf/vol3no2.pdf#page=7	"Washington State Committee Meet," May 1977, Vol.3 No. 2, Page 7.	t:Chuinard
OPEN	/wpo/pdf/vol3no2.pdf#page=7	"New Virginia Foundation To Preserve Birthplace of Meriwether Lewis," May 1977, Vol.3 No. 2, Page 7.	t:Chuinard
OPEN	/wpo/pdf/vol3no2.pdf#page=8	E.G. 'Frenchy' Chuinard, "A Medical Mystery at Fort Clatsop," May 1977, Vol.3 No. 2, Page 8.	a:Chuinard,t:Chuinard
OPEN	/wpo/pdf/vol3no2.pdf#page=12	"Secretary Anderson Commended in Letters To Montana Magazine," May 1977, Vol.3 No. 2, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol3no3.pdf#page=3	"News Note," July 1977, Vol.3 No. 3, Page 3.	t:Chuinard
OPEN	/wpo/pdf/vol3no4.pdf#page=4	"Resolution Drafted At Annual Meeting Seeks Procedure For Liaison With Dept. Of Interior," October 1977, Vol.3 No. 4, Page 4.	t:Chuinard
