ngram,year,freq_per_1e9,source
dunder and blixum,1780,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1781,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1782,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1783,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1784,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1785,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1786,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1787,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1788,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1789,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1790,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1791,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1792,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1793,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1794,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1795,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1796,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1797,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1798,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1799,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1800,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1801,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1802,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1803,4.1155,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1804,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1805,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1806,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1807,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1808,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1809,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1810,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1811,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1812,1.4959,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1813,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1814,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1815,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1816,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1817,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
