legion,database,province,count,dated_count,pre70,b70_107,b108_140,later141,undated,notes
IX Hispana,EDCS,Britannia,123,5,0,4,1,0,118,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Roma,5,5,2,0,2,1,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Venetia et Histria / Regio X,5,4,4,0,0,0,1,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Latium et Campania / Regio I,4,4,1,1,1,1,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Galatia,3,1,0,0,1,0,2,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Provincia incerta,3,0,0,0,0,0,3,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Liguria / Regio IX,2,2,1,0,0,1,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Gallia Narbonensis,2,0,0,0,0,0,2,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Germania inferior,2,1,0,0,0,1,1,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Numidia,2,2,0,0,0,2,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Samnium / Regio IV,1,1,0,0,1,0,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Belgica,1,0,0,0,0,0,1,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Africa proconsularis,1,0,0,0,0,0,1,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Macedonia,1,1,1,0,0,0,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Syria,1,1,0,1,0,0,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Arabia,1,0,0,0,0,0,1,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Etruria / Regio VII,1,1,1,0,0,0,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Hispania citerior,1,0,0,0,0,0,1,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Umbria / Regio VI,1,1,0,0,0,1,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,Moesia inferior,1,1,0,0,1,0,0,regex q=(VIIII|IX) ?/? ?Hisp (mode=r); total hits 161; ids not in index 0
IX Hispana,EDCS,ALL,161,30,10,6,7,7,131,regex q=(VIIII|IX) ?/? ?Hisp; date band = midpoint of EDCS date range; includes tile stamps/graffiti (categories not filtered)
XXII Deiotariana,EDCS,Aegyptus,5,2,0,2,0,0,3,regex q=XXII ?/? ?Deiot (mode=r); total hits 11; ids not in index 0
XXII Deiotariana,EDCS,Bruttium et Lucania / Regio III,1,1,0,1,0,0,0,regex q=XXII ?/? ?Deiot (mode=r); total hits 11; ids not in index 0
XXII Deiotariana,EDCS,Britannia,1,1,0,0,1,0,0,regex q=XXII ?/? ?Deiot (mode=r); total hits 11; ids not in index 0
XXII Deiotariana,EDCS,Palaestina,1,1,0,0,1,0,0,regex q=XXII ?/? ?Deiot (mode=r); total hits 11; ids not in index 0
XXII Deiotariana,EDCS,Latium et Campania / Regio I,1,1,0,0,1,0,0,regex q=XXII ?/? ?Deiot (mode=r); total hits 11; ids not in index 0
XXII Deiotariana,EDCS,Roma,1,1,0,1,0,0,0,regex q=XXII ?/? ?Deiot (mode=r); total hits 11; ids not in index 0
XXII Deiotariana,EDCS,Sicilia,1,1,0,1,0,0,0,regex q=XXII ?/? ?Deiot (mode=r); total hits 11; ids not in index 0
XXII Deiotariana,EDCS,ALL,11,8,0,5,3,0,3,regex q=XXII ?/? ?Deiot; date band = midpoint of EDCS date range; includes tile stamps/graffiti (categories not filtered)
X Fretensis,EDCS,Palaestina,77,21,1,4,8,8,56,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Roma,12,12,3,1,2,6,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Syria,11,4,3,1,0,0,7,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Africa proconsularis,6,1,1,0,0,0,5,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Provincia incerta,5,0,0,0,0,0,5,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Venetia et Histria / Regio X,4,3,0,0,1,2,1,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Latium et Campania / Regio I,4,4,1,1,1,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Asia,3,2,1,1,0,0,1,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Samnium / Regio IV,3,2,1,0,0,1,1,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Lugudunensis,3,0,0,0,0,0,3,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Numidia,2,1,0,0,0,1,1,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Macedonia,2,2,1,0,0,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Picenum / Regio V,2,2,0,1,0,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Etruria / Regio VII,2,2,0,1,1,0,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Umbria / Regio VI,2,2,0,0,0,2,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Dacia,2,2,0,0,1,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Achaia,2,1,0,0,1,0,1,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Moesia inferior,2,2,0,0,1,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Dalmatia,2,2,1,0,0,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Pannonia inferior,2,2,0,0,0,2,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Hispania citerior,1,1,0,0,0,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Britannia,1,1,0,0,1,0,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Moesia superior,1,1,0,0,1,0,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Aegyptus,1,1,0,1,0,0,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Lusitania,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Galatia,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Pannonia superior,1,1,0,0,0,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Cilicia,1,1,0,0,1,0,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Sardinia,1,1,0,0,1,0,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,Arabia,1,1,0,0,0,1,0,regex q=(^|[^IVX])X ?/? ?Fret (mode=r); total hits 158; ids not in index 0
X Fretensis,EDCS,ALL,158,75,13,11,20,31,83,regex q=(^|[^IVX])X ?/? ?Fret; date band = midpoint of EDCS date range; includes tile stamps/graffiti (categories not filtered)
VI Ferrata,EDCS,Palaestina,16,8,0,0,3,5,8,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Syria,9,6,1,4,1,0,3,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Galatia,9,2,0,0,0,2,7,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Roma,7,7,0,1,0,6,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Transpadana / Regio XI,6,6,0,5,1,0,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Numidia,6,1,0,0,0,1,5,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Latium et Campania / Regio I,6,2,0,0,2,0,4,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Arabia,5,1,0,0,1,0,4,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Africa proconsularis,4,0,0,0,0,0,4,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Venetia et Histria / Regio X,3,3,0,0,1,2,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Asia,3,3,1,1,0,1,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Hispania citerior,3,0,0,0,0,0,3,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Samnium / Regio IV,2,2,1,1,0,0,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Apulia et Calabria / Regio II,2,2,2,0,0,0,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Noricum,2,2,0,2,0,0,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Etruria / Regio VII,2,2,0,0,1,1,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Umbria / Regio VI,2,2,0,0,1,1,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Sicilia,1,1,0,0,1,0,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Dacia,1,1,0,1,0,0,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Cilicia,1,1,0,1,0,0,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Picenum / Regio V,1,1,0,0,0,1,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Macedonia,1,1,0,0,0,1,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Pannonia superior,1,1,0,0,0,1,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Dalmatia,1,1,0,0,0,1,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Pannonia inferior,1,1,0,0,0,1,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Moesia superior,1,1,1,0,0,0,0,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
VI Ferrata,EDCS,Creta et Cyrenaica,1,0,0,0,0,0,1,regex q=(^|[^IVX])VI ?/? ?Ferr (mode=r); total hits 100; ids not in index 0
