QUERY: "silver star" AND date within "1947-01-01 1955-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: silverstar AND date within "1947-01-01 1955-12-31" | collection: DDD_artikel | numberOfRecords: 111 
1953/10/24 | 't Nieuws voor Kampen | p4 | MMSAK01:164713100:mpeg21:a00060 | NUNSPEET Deel van huis uitgebrand | Stadsarchief Kampen
1955/03/05 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010404530:mpeg21:a0021 | Winkels open op Zondag | KB C 251
1953/06/16 | Winschoter courant | p2 | MMRHCG03:163551038:mpeg21:a00052 | BEERTA | Groninger archieven
1954/09/23 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p6 | ddd:010404396:mpeg21:a0090 | Toeristenschepen beozken Curacao | KB C 251
1951/10/22 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije Twentsche courant | p | MMSAEN01:000069367:mpeg21:a0061 | LAATSTE NIEUWS Mevrouw Den Ouden ontving de „Silver-Star" | Stadsarchief Enschede
1954/12/28 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010404474:mpeg21:a0050 | Toeristen in Willemstad Winkels morgen open | KB C 251
1955/03/07 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010404531:mpeg21:a0013 | Vijf schepen, maar weinig passagiers | KB C 251
1955/10/05 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010988449:mpeg21:a0021 | DRUK TOERISTENSEIZOEN 55 schepen zullen Curacao aandoen | Koninklijke Bibliotheek C 251
1955/10/05 | Amigoe di Curacao | p | KBDDD02:000210491:mpeg21:a0013 | DRUK TOERISTENSEIZOEN 55 schepen zullen Curacao aandoen | Koninklijke Bibliotheek
1949/04/28 | Provinciale Drentsche en Asser courant | p | MMDA03:000143495:mpeg21:a0039 | Advertentie | Drents Archief
1949/04/28 | Provinciale Drentsche en Asser courant | p | MMDA03:000143493:mpeg21:a0040 | Advertentie | Drents Archief
1952/04/19 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010987884:mpeg21:a0036 | SCHEEPVAARTBERICHTEN | Koninklijke Bibliotheek C 251
1955/07/20 | Provinciale Drentsche en Asser courant | p7 | MMKB23:001569017:mpeg21:a00147 | Advertentie | Universiteitsbibliotheek Rijksuniversite
1955/07/30 | Zutphens dagblad | p6 | MMRAZ03:179308075:mpeg21:a00097 | Nationaal concours-hippique te Diepenheim Prinses Beatrix en Prinses Armgard onder de toes | Regionaal Archief Zutphen
1947/08/04 | Algemeen Dagblad | p4 | MMSARO03:259003030:mpeg21:a00084 | — Abbedijk, 2 te Antwerpen v. Londen: | Stadsarchief Rotterdam
1949/06/15 | De Noord-Ooster | p | MMVEEN01:000084666:mpeg21:a0037 | SCHIP VOOR AMMAN IN EGYPTE VASTGEHOUDEN | Veenkoloniaal Museum
1954/01/23 | Nieuwe Haarlemsche courant | p7 | MMNHA03:179260019:mpeg21:a00092 | In de komende weken zullen wij | Noord-Hollands Archief
1949/06/15 | De Tĳd : godsdienstig-staatkundig dagblad | p2 | ddd:011199652:mpeg21:a0055 | Besprekingen Syrië— Israël verbroken | Koninklijke Bibliotheek C 236
1954/01/23 | De Tĳd : godsdienstig-staatkundig dagblad | p9 | ddd:011202998:mpeg21:a0181 | Door RAYMONDSCHEYVEN | Koninklijke Bibliotheek C 236
1954/06/29 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p3 | ddd:010404322:mpeg21:a0059 | Door RAYMOND SCHEYVEN | KB C 251
1955/07/30 | Trouw | p | ABCDDD:010817195:mpeg21:a0143 | Concours-hippique Diepenheim | Koninklijke Bibliotheek
1955/02/07 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p5 | ddd:010404507:mpeg21:a0080 | Curacao Trading Compan; S.A. (Afdeling Scheepvaart | KB C 251
1955/07/30 | Het Binnenhof | p6 | MMKB19:000386026:mpeg21:a00103 | Koninklijke belangstelling bij concours in Diepenheim | Koninklijke Bibliotheek
1947/08/28 | De Nederlandsche transportcourant | p3 | MMKB19:000824197:mpeg21:a00041 | Te Rotterdam verwacht | Koninklijke Bibliotheek
1947/09/19 | De Nederlander | p4 | MMKB19:000080069:mpeg21:a00039 | Scheepvaart | Koninklijke Bibliotheek
