path,case,what,basis,source
cases/beale-ciphers/sources/gillogly_1980_plain.txt,beale-ciphers,article or web page still in copyright (Gillogly 1980 in Cryptologia,article or web page still in copyright (Gillogly 1980 in Cryptologia; George Love; unmuseum.org),https://web.archive.org/web/20060126085231/http://members.fortunecity.com/jpeschel/gillog3.htm
cases/beale-ciphers/sources/love_plain.txt,beale-ciphers,article or web page still in copyright (Gillogly 1980 in Cryptologia,article or web page still in copyright (Gillogly 1980 in Cryptologia; George Love; unmuseum.org),https://web.archive.org/web/20060420134206/http://www.myoutbox.net/blove.htm
cases/beale-ciphers/sources/papers/king_1993_fragments/1885_pamphlet.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""1885 pamphlet"""
cases/beale-ciphers/sources/papers/king_1993_fragments/aaabbcdeff.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""aaabbcdeff"""
cases/beale-ciphers/sources/papers/king_1993_fragments/differ_pamphlet.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""differ pamphlet"""
cases/beale-ciphers/sources/papers/king_1993_fragments/elaborate_hoax.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""elaborate hoax"""
cases/beale-ciphers/sources/papers/king_1993_fragments/flush_out.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""flush out"""
cases/beale-ciphers/sources/papers/king_1993_fragments/gillogly_302.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""gillogly 302"""
cases/beale-ciphers/sources/papers/king_1993_fragments/hart_version.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""hart version"""
cases/beale-ciphers/sources/papers/king_1993_fragments/hill_independently.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""hill independently"""
cases/beale-ciphers/sources/papers/king_1993_fragments/hoax_gillogly_holst.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""hoax gillogly holst"""
cases/beale-ciphers/sources/papers/king_1993_fragments/later_versions.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""later versions"""
cases/beale-ciphers/sources/papers/king_1993_fragments/misnumbered.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""misnumbered"""
cases/beale-ciphers/sources/papers/king_1993_fragments/published_versions.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""published versions"""
cases/beale-ciphers/sources/papers/king_1993_fragments/purposely.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""purposely"""
cases/beale-ciphers/sources/papers/king_1993_fragments/reconstruction_title.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""reconstruction title"""
cases/beale-ciphers/sources/papers/king_1993_fragments/seven_simple.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""seven simple"""
cases/beale-ciphers/sources/papers/king_1993_fragments/versions_ciphers.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""versions ciphers"""
cases/beale-ciphers/sources/papers/poundstone_fragments/big_secrets_1983_beale.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""big secrets 1983 beale"""
cases/beale-ciphers/sources/papers/poundstone_fragments/big_secrets_1983_poe_beale.json,beale-ciphers,"excerpts of a work still in copyright (King 1993, Cryptologia","excerpts of a work still in copyright (King 1993, Cryptologia; Poundstone, Big Secrets 1983 and Biggest Secrets 1993)","no URL recorded; the file name gives the source: ""big secrets 1983 poe beale"""
